,2019,2020
04-18,50.80130004882813,
04-20,,63.0
04-21,,63.0
04-22,50.80130004882813,63.0
04-23,50.80130004882813,63.0
04-24,50.80130004882813,63.0
04-25,50.80130004882813,
04-26,50.80130004882813,
04-27,,63.0
04-28,,63.0
04-29,50.80130004882813,63.0
04-30,50.80130004882813,63.0
05-01,50.80130004882813,63.0
05-02,50.80130004882813,
05-03,50.80130004882813,
05-04,,63.0
05-05,,63.0
05-06,50.80130004882813,63.0
05-07,50.80130004882813,63.0
05-08,50.80130004882813,63.0
05-09,50.80130004882813,
05-10,50.80130004882813,
05-11,,63.0
05-12,,63.0
05-13,50.80130004882813,63.0
05-14,50.80130004882813,63.0
05-15,50.80130004882813,63.0
05-16,50.80130004882813,
05-17,50.80130004882813,
05-18,,63.0
05-19,,63.0
05-20,50.80130004882813,63.0
05-21,50.80130004882813,63.0
05-22,50.80130004882813,63.0
05-23,50.80130004882813,
05-24,50.80130004882813,
05-26,,63.0
05-27,,63.0
05-28,50.80130004882813,63.0
05-29,50.80130004882813,63.0
05-30,50.80130004882813,
05-31,50.80130004882813,
06-01,,63.0
06-02,,63.0
06-03,50.80130004882813,63.0
06-04,50.80130004882813,63.0
06-05,50.80130004882813,63.0
06-06,50.80130004882813,
06-07,50.80130004882813,
06-08,,63.0
06-09,,63.0
06-10,50.80130004882813,53.08050155639648
06-11,63.0,53.08050155639648
06-12,63.0,53.08050155639648
06-13,63.0,
06-14,63.0,
06-15,,53.08050155639648
06-16,,53.08050155639648
06-17,63.0,53.08050155639648
06-18,63.0,53.08050155639648
06-19,63.0,53.08050155639648
06-20,63.0,
06-21,63.0,
06-22,,53.08050155639648
06-23,,53.08050155639648
06-24,63.0,53.08050155639648
06-25,63.0,53.08050155639648
06-26,63.0,53.08050155639648
06-27,63.0,
06-28,63.0,
06-29,,53.08050155639648
06-30,,53.08050155639648
07-01,63.0,53.08050155639648
07-02,63.0,53.08050155639648
07-03,63.0,
07-05,63.0,
07-06,,53.08050155639648
07-07,,53.08050155639648
07-08,63.0,53.08050155639648
07-09,63.0,53.08050155639648
07-10,63.0,53.08050155639648
07-11,63.0,
07-12,63.0,
07-13,,53.08050155639648
07-14,,53.08050155639648
07-15,63.0,53.08050155639648
07-16,63.0,53.08050155639648
07-17,63.0,53.08050155639648
07-18,63.0,
07-19,63.0,
07-20,,53.08050155639648
07-21,,53.08050155639648
07-22,63.0,53.08050155639648
07-23,63.0,53.08050155639648
07-24,63.0,53.08050155639648
07-25,63.0,
07-26,63.0,
07-27,,53.08050155639648
07-28,,53.08050155639648
07-29,63.0,53.08050155639648
07-30,63.0,53.08050155639648
07-31,63.0,53.08050155639648
08-01,63.0,
08-02,63.0,
08-03,,53.08050155639648
08-04,,53.08050155639648
08-05,63.0,53.08050155639648
08-06,63.0,53.08050155639648
08-07,63.0,53.08050155639648
08-08,63.0,
08-09,63.0,
08-10,,53.08050155639648
08-11,,53.08050155639648
08-12,63.0,53.08050155639648
08-13,63.0,53.08050155639648
08-14,63.0,53.08050155639648
08-15,63.0,
08-16,63.0,
08-17,,53.08050155639648
08-18,,53.08050155639648
08-19,63.0,53.08050155639648
08-20,63.0,53.08050155639648
08-21,63.0,53.08050155639648
08-22,63.0,
08-23,63.0,
08-24,,53.08050155639648
08-25,,53.08050155639648
08-26,63.0,53.08050155639648
08-27,63.0,53.08050155639648
08-28,63.0,53.08050155639648
08-29,63.0,
08-30,63.0,
08-31,,53.08050155639648
09-01,,53.08050155639648
09-02,,53.08050155639648
09-03,63.0,53.08050155639648
09-04,63.0,53.08050155639648
09-05,63.0,
09-06,63.0,
09-08,,53.08050155639648
09-09,63.0,53.08050155639648
09-10,63.0,53.08050155639648
09-11,63.0,53.08050155639648
09-12,63.0,
09-13,63.0,
09-14,,53.08050155639648
09-15,,53.08050155639648
09-16,63.0,53.08050155639648
09-17,63.0,53.08050155639648
09-18,63.0,
09-19,63.0,
09-20,63.0,
09-21,,53.08050155639648
09-22,,53.08050155639648
09-23,63.0,53.08050155639648
09-24,63.0,53.08050155639648
09-25,63.0,53.08050155639648
09-26,63.0,
09-27,63.0,
09-28,,53.08050155639648
09-29,,53.08050155639648
09-30,63.0,53.08050155639648
10-01,63.0,53.08050155639648
10-02,63.0,53.08050155639648
10-03,63.0,
10-04,63.0,
10-05,,53.08050155639648
10-06,,48.77939987182617
10-07,63.0,48.77939987182617
10-08,63.0,48.77939987182617
10-09,63.0,48.77939987182617
10-10,63.0,
10-11,63.0,
10-12,,48.77939987182617
10-13,,48.77939987182617
10-14,63.0,48.77939987182617
10-15,63.0,48.77939987182617
10-16,63.0,48.77939987182617
10-17,63.0,
10-18,63.0,
10-19,,48.77939987182617
10-20,,48.77939987182617
10-21,63.0,48.77939987182617
10-22,63.0,48.77939987182617
10-23,63.0,48.77939987182617
10-24,63.0,
10-25,63.0,
10-26,,48.77939987182617
10-27,,48.77939987182617
10-28,63.0,48.77939987182617
10-29,63.0,48.77939987182617
10-30,63.0,48.77939987182617
10-31,63.0,
11-01,63.0,
11-02,,48.77939987182617
11-03,,48.77939987182617
11-04,63.0,48.77939987182617
11-05,63.0,48.77939987182617
11-06,63.0,48.77939987182617
11-07,63.0,
11-08,63.0,
11-09,,48.77939987182617
11-10,,48.77939987182617
11-11,63.0,48.77939987182617
11-12,63.0,
11-13,63.0,
11-14,63.0,
11-15,63.0,
11-18,63.0,
11-19,63.0,
11-20,63.0,
11-21,63.0,
11-22,63.0,
11-25,63.0,
11-26,63.0,
11-27,63.0,
11-29,63.0,
12-02,63.0,
12-03,63.0,
12-04,63.0,
12-05,63.0,
12-06,63.0,
12-09,63.0,
12-10,63.0,
12-11,63.0,
12-12,63.0,
12-13,63.0,
12-16,63.0,
12-17,63.0,
12-18,63.0,
12-19,63.0,
12-20,63.0,
12-23,63.0,
12-24,63.0,
12-26,63.0,
12-27,63.0,
12-30,63.0,
12-31,63.0,
