,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
176,PEAK,Healthpeak Properties Inc,30.35000038,False,2009.0,,6-Mar,20-May,6.0,5.0,5.0,6.0,12-Nov,26-Jan,4.784702327,22-Mar,21-May,6.0,5.0,6.0,5.0,7-Mar,6-May,4.055914823999999,19-Mar,3-May,6.0,5.0,5.0,6.0,19-Mar,3-May,7.023099029,8-Mar,7-Apr,6.0,5.0,6.0,5.0,8-Mar,7-Apr,-0.039102772,10-Jul,25-Jul,6.0,5.0,6.0,5.0,10-Jul,25-Jul,2.175837506
177,VRTY,Healthcare Solutions Management Group Inc,0.050000000999999995,False,2009.0,,18-Dec,3-Mar,5.0,5.0,6.0,6.0,18-Dec,3-Mar,-14.23010629,18-Apr,17-Jun,4.0,7.0,4.0,7.0,18-Apr,17-Jun,15.67435506,29-Oct,13-Dec,4.0,6.0,4.0,6.0,29-Oct,13-Dec,-1.167805116,15-May,14-Jun,5.0,5.0,5.0,5.0,15-May,14-Jun,23.49104039,17-Aug,1-Sep,5.0,4.0,5.0,4.0,17-Aug,1-Sep,19.41714892
178,HCSG,Healthcare Services Group Inc,23.31999969,False,2009.0,,10-Sep,24-Nov,7.0,7.0,4.0,4.0,10-Sep,24-Nov,6.733291687,13-Aug,12-Oct,8.0,3.0,8.0,3.0,13-Aug,12-Oct,4.280441209,9-Sep,24-Oct,7.0,4.0,7.0,4.0,9-Sep,24-Oct,6.821148652000001,30-Aug,29-Sep,7.0,4.0,7.0,4.0,30-Aug,29-Sep,4.339475406,11-Sep,26-Sep,6.0,5.0,6.0,5.0,11-Sep,26-Sep,1.6591805290000001
179,HR,Healthcare Realty Trust Inc,30.70999908,False,2009.0,,12-Nov,26-Jan,9.0,8.0,2.0,3.0,12-Nov,26-Jan,5.054733837,23-Nov,22-Jan,9.0,2.0,9.0,2.0,23-Nov,22-Jan,3.6392394689999996,19-Mar,3-May,8.0,3.0,8.0,3.0,19-Mar,3-May,4.08739485,15-Mar,14-Apr,8.0,3.0,8.0,3.0,15-Mar,14-Apr,4.072658294,15-Jan,30-Jan,8.0,3.0,8.0,3.0,15-Jan,30-Jan,2.7998493410000003
180,CDDRF,Headwater Exploration Inc,1.299999952,False,2009.0,,23-Oct,6-Jan,4.0,4.0,7.0,7.0,23-Oct,6-Jan,-2.780059736,5-Oct,4-Dec,5.0,6.0,5.0,6.0,5-Oct,4-Dec,5.463135341,16-Jun,31-Jul,4.0,7.0,4.0,7.0,16-Jun,31-Jul,3.515766063,9-Dec,8-Jan,4.0,7.0,4.0,7.0,9-Dec,8-Jan,3.963154114,28-Oct,12-Nov,5.0,6.0,5.0,6.0,28-Oct,12-Nov,7.1350744420000005
181,HDUP,HeadsUp Entertainment International Inc,0.079999998,False,2010.0,,22-Mar,5-Jun,4.0,4.0,6.0,6.0,22-Mar,5-Jun,38.37084225,6-Apr,5-Jun,6.0,4.0,6.0,4.0,6-Apr,5-Jun,42.96256282,21-Apr,5-Jun,4.0,6.0,4.0,6.0,21-Apr,5-Jun,41.59005629999999,21-Apr,21-May,6.0,4.0,6.0,4.0,21-Apr,21-May,31.70184806,12-Apr,27-Apr,4.0,6.0,4.0,6.0,12-Apr,27-Apr,18.445005300000002
182,HDB,HDFC Bank Ltd,67.16000366,False,2009.0,,7-May,21-Jul,6.0,6.0,5.0,5.0,7-May,21-Jul,8.641747909,23-May,22-Jul,3.0,8.0,3.0,8.0,23-May,22-Jul,9.514692555,23-May,7-Jul,3.0,8.0,3.0,8.0,23-May,7-Jul,8.369527015,23-Mar,22-Apr,4.0,7.0,4.0,7.0,23-Mar,22-Apr,6.937655798,23-Mar,7-Apr,4.0,7.0,4.0,7.0,23-Mar,7-Apr,5.045205346
183,HCI,HCI Group Inc,51.79000092,False,2009.0,,16-Sep,30-Nov,7.0,7.0,4.0,4.0,18-Sep,2-Dec,7.715890109,19-Sep,18-Nov,7.0,4.0,6.0,5.0,19-Sep,18-Nov,8.519070719,30-Sep,14-Nov,7.0,4.0,7.0,4.0,30-Sep,14-Nov,6.393807431,10-Oct,9-Nov,7.0,4.0,7.0,4.0,10-Oct,9-Nov,3.839540467,3-Feb,18-Feb,7.0,4.0,7.0,4.0,3-Feb,18-Feb,3.16029569
184,HCBN,HCB Financial Corp,21.5,False,2009.0,,25-Sep,9-Dec,6.0,6.0,5.0,5.0,20-Mar,3-Jun,3.1331642960000003,12-Sep,11-Nov,7.0,4.0,7.0,4.0,20-Mar,19-May,4.463706161,20-Sep,4-Nov,6.0,5.0,6.0,5.0,20-Mar,4-May,4.794263502,27-Mar,26-Apr,5.0,6.0,5.0,6.0,5-Oct,4-Nov,3.814727656,27-Mar,11-Apr,4.0,7.0,4.0,7.0,15-Oct,30-Oct,3.003913358
185,HCHC,HC2 Holdings Inc,2.289999962,False,2009.0,,28-May,11-Aug,3.0,8.0,8.0,3.0,10-Apr,24-Jun,9.281194747,1-Jun,31-Jul,4.0,7.0,7.0,4.0,16-Mar,15-May,7.829041106,21-Jun,5-Aug,4.0,7.0,7.0,4.0,19-Dec,2-Feb,8.007529459,9-Jul,8-Aug,4.0,7.0,7.0,4.0,19-Dec,18-Jan,7.4666515229999995,19-Jul,3-Aug,4.0,7.0,7.0,4.0,29-Dec,13-Jan,6.307869557
