symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
RGLD,Royal Gold Inc,109.7350006,FALSE,2009,,8-Apr,22-Jun,4,3,7,8,8-Apr,22-Jun,5.511764991,18-Apr,17-Jun,6,5,6,5,18-Apr,17-Jun,7.707574486,22-Apr,6-Jun,6,5,6,5,22-Apr,6-Jun,6.515124483,13-Jul,12-Aug,5,6,5,6,13-Jul,12-Aug,4.891312781,15-Mar,30-Mar,6,5,6,5,15-Mar,30-Mar,2.925964099
RYFL,Royal Financial Inc,13.14000034,FALSE,2009,,20-Dec,5-Mar,8,8,3,3,20-Dec,5-Mar,8.177386295,21-Dec,19-Feb,8,3,8,3,21-Dec,19-Feb,5.627144997,21-Dec,4-Feb,8,3,8,3,21-Dec,4-Feb,7.526676314,4-Jan,3-Feb,7,4,7,4,4-Jan,3-Feb,3.90015776,20-Jan,4-Feb,5,6,5,6,20-Jan,4-Feb,4.008167755
RYDAF,Royal Dutch Shell PLC,16.30999947,FALSE,2009,,14-Mar,28-May,4,4,7,7,15-Mar,29-May,4.231543305,14-Mar,13-May,4,7,3,8,14-Mar,13-May,6.867358463,15-Mar,29-Apr,3,8,2,9,15-Mar,29-Apr,7.570048069,3-Apr,3-May,3,8,3,8,3-Apr,3-May,4.255010781,15-Mar,30-Mar,7,4,7,4,18-Apr,3-May,4.407626278
RCL,Royal Caribbean Group,73.79000092,FALSE,2009,,10-Aug,24-Oct,6,6,5,5,10-Aug,24-Oct,7.780258616,7-Oct,6-Dec,7,4,7,4,7-Oct,6-Dec,9.928719453,6-Aug,20-Sep,7,4,7,4,6-Aug,20-Sep,9.489094234,19-Aug,18-Sep,8,3,8,3,19-Aug,18-Sep,8.768682897,25-Oct,9-Nov,9,2,9,2,25-Oct,9-Nov,5.396889702
RY,Royal Bank of Canada,79.02999878,FALSE,2009,,8-Jul,21-Sep,7,6,4,5,29-May,12-Aug,1.77728375,4-Oct,3-Dec,6,5,6,5,4-Oct,3-Dec,2.727290624,4-Jun,19-Jul,6,5,6,5,4-Jun,19-Jul,2.914954093,3-Apr,3-May,7,4,7,4,24-Jun,24-Jul,3.765091475,16-Apr,1-May,7,4,7,4,27-Jan,11-Feb,0.971730347
ROSYY,Rostelecom PJSC,7.489999771,FALSE,2009,,18-Aug,1-Nov,6,6,5,5,18-Aug,1-Nov,4.643412452,2-Sep,1-Nov,6,5,6,5,2-Sep,1-Nov,4.319524541,5-Jun,20-Jul,7,4,7,4,12-Sep,27-Oct,2.779186515,20-Jun,20-Jul,7,4,7,4,8-Jul,7-Aug,2.086493732,1-Jun,16-Jun,7,4,7,4,1-Jun,16-Jun,2.62812006
ROST,Ross Stores Inc,110.2949982,FALSE,2009,,8-Jul,21-Sep,8,8,3,3,1-Sep,15-Nov,6.287071581,21-Jul,19-Sep,9,2,9,2,21-Jul,19-Sep,5.368822718,2-Aug,16-Sep,9,2,9,2,2-Aug,16-Sep,4.401685153,10-Aug,9-Sep,6,5,6,5,10-Aug,9-Sep,4.002691203,4-Feb,19-Feb,9,2,9,2,4-Feb,19-Feb,2.969905313
RST,Rosetta Stone Inc,29.98999977,FALSE,2009,,19-Mar,2-Jun,6,6,5,5,19-Mar,2-Jun,10.82795836,5-Mar,4-May,4,7,4,7,5-Mar,4-May,10.97421324,27-Mar,11-May,6,5,6,5,27-Mar,11-May,12.35752088,1-Apr,1-May,2,9,2,9,1-Apr,1-May,10.23062122,11-Apr,26-Apr,6,5,6,5,11-Apr,26-Apr,4.273027445
RIHC,Rorine International Holding Corp,1.100000024,FALSE,2010,,12-Apr,26-Jun,4,4,6,6,12-Apr,26-Jun,14.81845606,22-Apr,21-Jun,3,7,3,7,22-Apr,21-Jun,11.16780428,12-Nov,27-Dec,2,8,2,8,12-Nov,27-Dec,24.27233186,23-Nov,23-Dec,2,8,2,8,23-Nov,23-Dec,17.42016678,6-Jun,21-Jun,0,10,0,10,6-Jun,21-Jun,10.23611675
ROP,Roper Technologies Inc,409.2749939,FALSE,2009,,27-Oct,10-Jan,8,8,3,3,27-Oct,10-Jan,4.779337607,23-May,22-Jul,9,2,9,2,23-May,22-Jul,4.532437114,27-Oct,11-Dec,8,3,8,3,27-Oct,11-Dec,3.740991612,31-Oct,30-Nov,6,5,6,5,31-Oct,30-Nov,3.634314154,3-Feb,18-Feb,7,4,7,4,3-Feb,18-Feb,3.501417802
