,2019,2020
04-24,,4.369999885559082
04-27,,4.900000095367432
04-28,,4.71999979019165
04-29,,4.880000114440918
04-30,,4.659999847412109
05-01,,4.829999923706055
05-04,,4.78000020980835
05-05,,4.860000133514404
05-06,,5.650000095367432
05-07,,6.699999809265137
05-08,,7.329999923706055
05-09,13.800000190734863,
05-10,13.920000076293945,
05-11,,7.699999809265137
05-12,,5.989999771118164
05-13,13.949999809265137,5.340000152587891
05-14,14.09000015258789,4.389999866485596
05-15,13.75,3.9700000286102295
05-16,13.869999885559082,
05-17,13.800000190734863,
05-18,,4.110000133514404
05-19,,4.21999979019165
05-20,14.0600004196167,4.199999809265137
05-21,14.399999618530273,5.25
05-22,14.279999732971191,6.199999809265137
05-23,14.0,
05-24,14.180000305175781,
05-26,,5.449999809265137
05-27,,5.170000076293945
05-28,14.199999809265137,5.670000076293945
05-29,13.710000038146973,6.0
05-30,14.199999809265137,
05-31,14.270000457763672,
06-01,,6.03000020980835
06-02,,5.960000038146973
06-03,14.770000457763672,5.789999961853027
06-04,14.949999809265137,5.5
06-05,14.920000076293945,5.329999923706055
06-06,14.399999618530273,
06-07,14.170000076293945,
06-08,,5.590000152587891
06-09,,5.630000114440918
06-10,13.180000305175781,5.320000171661377
06-11,12.869999885559082,4.829999923706055
06-12,12.619999885559082,5.019999980926514
06-13,12.819999694824219,
06-14,10.960000038146973,
06-15,,5.440000057220459
06-16,,5.389999866485596
06-17,9.949999809265137,5.53000020980835
06-18,9.819999694824219,5.75
06-19,10.100000381469727,5.829999923706055
06-20,10.079999923706055,
06-21,9.949999809265137,
06-22,,5.699999809265137
06-23,,5.389999866485596
06-24,9.930000305175781,5.0
06-25,9.199999809265137,5.289999961853027
06-26,8.510000228881836,5.079999923706055
06-27,9.119999885559082,
06-28,9.3100004196167,
06-29,,5.21999979019165
06-30,,5.53000020980835
07-01,8.699999809265137,5.480000019073486
07-02,8.75,5.289999961853027
07-03,9.039999961853027,
07-05,9.260000228881836,
07-06,,5.079999923706055
07-07,,5.039999961853027
07-08,8.789999961853027,5.150000095367432
07-09,8.149999618530273,5.139999866485596
07-10,8.3100004196167,5.090000152587891
07-11,8.210000038146973,
07-12,7.889999866485596,
07-13,,4.489999771118164
07-14,,4.289999961853027
07-15,7.900000095367432,4.434999942779541
07-16,7.880000114440918,4.690000057220459
07-17,7.769999980926514,5.110000133514404
07-18,8.109999656677246,
07-19,7.710000038146973,
07-20,,4.949999809265137
07-21,,4.800000190734863
07-22,7.360000133514404,4.619999885559082
07-23,7.519999980926514,4.510000228881836
07-24,7.320000171661377,4.409999847412109
07-25,7.480000019073486,
07-26,8.079999923706055,
07-27,,4.199999809265137
07-28,,4.5
07-29,8.279999732971191,4.510000228881836
07-30,8.210000038146973,4.610000133514404
07-31,8.479999542236328,4.489999771118164
08-01,7.070000171661377,
08-02,7.420000076293945,
08-03,,4.980000019073486
08-04,,5.21999979019165
08-05,7.079999923706055,5.300000190734863
08-06,7.75,5.230000019073486
08-07,7.5,5.15500020980835
08-08,7.559999942779541,
08-09,7.260000228881836,
08-10,,5.239999771118164
08-11,,5.480000019073486
08-12,7.0,5.889999866485596
08-13,7.679999828338623,5.429999828338623
08-14,7.940000057220459,5.710000038146973
08-15,7.599999904632568,
08-16,7.909999847412109,
08-17,,5.909999847412109
08-18,,5.760000228881836
08-19,7.940000057220459,5.730000019073486
08-20,7.920000076293945,5.690000057220459
08-21,8.109999656677246,5.320000171661377
08-22,7.909999847412109,
08-23,7.789999961853027,
08-24,,5.25
08-25,,5.340000152587891
08-26,7.900000095367432,5.320000171661377
08-27,7.815000057220459,5.170000076293945
08-28,7.730000019073486,5.074999809265137
08-29,7.159999847412109,
08-30,6.929999828338623,
08-31,,5.0
09-01,,4.889999866485596
09-02,,4.670000076293945
09-03,7.0,4.480000019073486
09-04,7.239999771118164,4.420000076293945
09-05,6.900000095367432,
09-06,7.199999809265137,
09-08,,4.670000076293945
09-09,7.199999809265137,4.679999828338623
09-10,7.099999904632568,4.679999828338623
09-11,6.849999904632568,4.550000190734863
09-12,6.900000095367432,
09-13,6.760000228881836,
09-14,,4.860000133514404
09-15,,4.730000019073486
09-16,6.769999980926514,4.724999904632568
09-17,6.400000095367432,4.775000095367432
09-18,6.190000057220459,4.809999942779541
09-19,6.199999809265137,
09-20,6.289999961853027,
09-21,,4.659999847412109
09-22,,4.699999809265137
09-23,5.949999809265137,4.289999961853027
09-24,5.46999979019165,4.119999885559082
09-25,5.400000095367432,4.710000038146973
09-26,5.309999942779541,
09-27,5.25,
09-28,,4.639999866485596
09-29,,4.690000057220459
09-30,5.659999847412109,4.619999885559082
10-01,5.320000171661377,4.699999809265137
10-02,5.300000190734863,4.710000038146973
10-03,5.644999980926514,
10-04,5.300000190734863,
10-05,,4.829999923706055
10-06,,4.789999961853027
10-07,5.099999904632568,4.960000038146973
10-08,5.300000190734863,5.059999942779541
10-09,5.409999847412109,4.929999828338623
10-10,5.519999980926514,
10-11,5.650000095367432,
10-12,,4.929999828338623
10-13,,5.070000171661377
10-14,5.480000019073486,4.940000057220459
10-15,5.75,4.840000152587891
10-16,5.230000019073486,4.820000171661377
10-17,5.239999771118164,
10-18,5.150000095367432,
10-19,,4.619999885559082
10-20,,4.53000020980835
10-21,5.25,4.46999979019165
10-22,5.25,4.5
10-23,5.25,4.449999809265137
10-24,5.25,
10-25,5.0,
10-26,,4.429999828338623
10-27,,4.75
10-28,5.0,4.400000095367432
10-29,4.900000095367432,4.420000076293945
10-30,5.0,4.239999771118164
10-31,5.289999961853027,
11-01,5.550000190734863,
11-02,,4.510000228881836
11-03,,4.630000114440918
11-04,5.0,4.809999942779541
11-05,5.900000095367432,4.75
11-06,5.099999904632568,4.610000133514404
11-07,4.760000228881836,
11-08,4.5,
11-09,,4.789999961853027
11-10,,5.039999961853027
11-11,4.21999979019165,5.329999923706055
11-12,3.950000047683716,
11-13,3.8299999237060547,
11-14,3.5799999237060547,
11-15,3.5,
11-18,3.0799999237060547,
11-19,3.380000114440918,
11-20,3.559999942779541,
11-21,3.3499999046325684,
11-22,3.430000066757202,
11-25,3.430000066757202,
11-26,3.5799999237060547,
11-27,3.9700000286102295,
11-29,4.0,
12-02,4.360000133514404,
12-03,4.699999809265137,
12-04,4.619999885559082,
12-05,4.489999771118164,
12-06,3.5899999141693115,
12-09,3.5,
12-10,3.490000009536743,
12-11,3.5350000858306885,
12-12,3.549999952316284,
12-13,3.4800000190734863,
12-16,3.359999895095825,
12-17,3.4100000858306885,
12-18,3.4000000953674316,
12-19,3.390000104904175,
12-20,3.4100000858306885,
12-23,3.450000047683716,
12-24,3.559999942779541,
12-26,4.099999904632568,
12-27,3.8299999237060547,
12-30,3.700000047683716,
12-31,4.010000228881836,
