,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
04-10,,,79.43262481689453,75.85804748535156,115.50847625732422,108.73941040039062,,76.0999984741211,91.0,88.55999755859375,
04-11,,70.22932434082031,80.0876235961914,78.17796325683594,115.50847625732422,,77.94999694824219,75.1500015258789,91.0,88.55999755859375,
04-12,59.64940643310547,67.62042236328125,84.07313537597656,78.60169219970703,,,77.94999694824219,75.1500015258789,91.8499984741211,88.55999755859375,
04-13,59.64940643310547,69.0969467163086,81.65296936035156,,,108.73941040039062,80.05000305175781,75.1500015258789,91.8499984741211,,50.119998931884766
04-14,60.74847412109375,68.86381530761719,,,110.13771057128906,108.73941040039062,80.30000305175781,,,,50.02000045776367
04-15,60.74847412109375,68.86381530761719,,75.44491577148438,110.13771057128906,108.73941040039062,80.4000015258789,,,88.55999755859375,46.29999923706055
04-16,60.37101745605469,,81.65296936035156,78.37923431396484,111.70550537109375,108.73941040039062,,,91.8499984741211,88.55999755859375,47.11000061035156
04-17,,,81.65296936035156,76.50423431396484,113.17796325683594,108.15677642822266,,75.1500015258789,93.6500015258789,92.4000015258789,48.709999084472656
04-18,,66.12169647216797,81.65296936035156,76.50423431396484,,,80.4000015258789,75.1500015258789,93.6500015258789,89.0199966430664,
04-19,59.00550842285156,66.12169647216797,81.65296936035156,76.50423431396484,,,83.19000244140625,75.1500015258789,94.73999786376953,,
04-20,60.049068450927734,68.99703216552734,81.65296936035156,,,108.15677642822266,81.44999694824219,73.7300033569336,94.73999786376953,,48.099998474121094
04-21,59.58279800415039,70.77330780029297,,,113.17796325683594,109.7987289428711,81.44999694824219,73.7300033569336,,,46.31999969482422
04-22,60.237796783447266,,,75.8262710571289,115.21186065673828,111.25,82.83999633789062,,,89.0199966430664,46.65999984741211
04-23,60.104576110839844,,81.65296936035156,76.9703369140625,116.29237365722656,111.25,,,94.73999786376953,89.0199966430664,47.869998931884766
04-24,,,81.65296936035156,77.89195251464844,116.26058959960938,109.80931854248047,,73.7300033569336,92.80000305175781,89.0199966430664,47.939998626708984
04-25,,70.3847427368164,85.22771453857422,81.3559341430664,117.37287902832031,,81.5,75.5,92.80000305175781,89.0199966430664,
04-26,60.104576110839844,71.161865234375,84.07313537597656,80.26483154296875,,,81.5,75.5,89.30000305175781,85.44999694824219,
04-27,59.183135986328125,74.32584381103516,85.37203216552734,,,109.43856048583984,82.9000015258789,75.5,89.30000305175781,,48.29999923706055
04-28,57.3957633972168,75.18067932128906,,,117.37287902832031,109.43856048583984,82.5999984741211,76.23999786376953,,,49.0099983215332
04-29,59.68271255493164,74.9586410522461,,80.26483154296875,116.09110260009766,109.43856048583984,83.69999694824219,,,85.44999694824219,51.119998931884766
