,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-18,,0.7259762287139893,0.8896975517272949,1.4277626276016235,,,,1.8553253412246704,2.300994634628296,1.6116702556610107,
01-19,0.3368062973022461,0.7134594321250916,0.9073739647865295,,,,1.0341248512268066,1.8486268520355225,2.3479537963867188,,
01-20,0.31763842701911926,0.7152473330497742,0.8985359072685242,,,1.3405756950378418,1.0063258409500122,1.882116675376892,,,
01-21,0.30120888352394104,0.6991544365882874,,,1.565492868423462,1.4006011486053467,1.0285650491714478,,,,2.910526990890503
01-22,0.29710158705711365,,,1.4240539073944092,1.5801695585250854,1.4006011486053467,1.0396846532821655,,2.280869483947754,1.5105193853378296,2.910526990890503
01-23,,,0.8985359072685242,1.4240539073944092,1.5703849792480469,1.4006011486053467,,1.882116675376892,2.280869483947754,1.5105193853378296,3.040105104446411
01-24,,0.7098832130432129,0.8838056921958923,1.4240539073944092,1.5703849792480469,,,2.0763561725616455,2.3747873306274414,1.5105193853378296,2.960364818572998
01-25,0.30120888352394104,0.6902138590812683,0.9162119626998901,1.4463051557540894,,,1.0452443361282349,2.0763561725616455,2.408329486846924,1.5846964120864868,
01-26,0.30531635880470276,0.7063069939613342,0.9279962182044983,,,1.4006011486053467,1.0508044958114624,1.962491512298584,2.408329486846924,,
01-27,0.2957323491573334,0.7045189142227173,0.9309420585632324,,1.516571283340454,1.4006011486053467,1.0563640594482422,1.9423978328704834,,,2.8208189010620117
01-28,0.29299402236938477,0.6866374611854553,,1.4166373014450073,1.565492868423462,1.4006011486053467,1.0563640594482422,,,1.5846964120864868,2.8108513355255127
01-29,0.27656447887420654,,,1.442596673965454,1.5410324335098267,1.3705883026123047,1.0508044958114624,,2.428454637527466,1.5644663572311401,2.890591859817505
01-30,,,0.9221042394638062,1.442596673965454,1.5410324335098267,1.3705883026123047,,1.9423978328704834,2.321119785308838,1.5644663572311401,2.890591859817505
01-31,,0.6991544365882874,0.9221042394638062,1.442596673965454,1.5850614309310913,,,1.9423978328704834,2.321119785308838,1.5644663572311401,2.6912405490875244
02-01,0.2820410430431366,0.7206118702888489,0.9456720352172852,1.442596673965454,,,1.073043704032898,2.083054304122925,2.4150378704071045,1.6116702556610107,
02-02,0.3039471209049225,0.7349168658256531,0.9574564099311829,,,1.3705883026123047,1.0396846532821655,2.083054304122925,2.428454637527466,,
02-03,0.29436323046684265,0.7295525074005127,0.9810240268707275,,1.5703849792480469,1.4006011486053467,1.0230053663253784,2.0763561725616455,,,2.551694631576538
02-04,0.2834102213382721,0.738493025302887,,1.4277626276016235,1.565492868423462,1.4006011486053467,1.1119623184204102,,,1.6116702556610107,2.7610135078430176
02-05,0.2820410430431366,,,1.4759727716445923,1.565492868423462,1.515650749206543,1.0452443361282349,,2.227201461791992,1.6116702556610107,2.7610135078430176
02-06,,,0.9810240268707275,1.4759727716445923,1.565492868423462,1.5106488466262817,,2.0763561725616455,2.3077032566070557,1.6116702556610107,2.900559425354004
02-07,,0.738493025302887,0.9751326441764832,1.442596673965454,1.565492868423462,,,2.029470682144165,2.3077032566070557,1.6116702556610107,2.8307862281799316
02-08,0.2820410430431366,0.7152473330497742,0.9692403674125671,1.420345664024353,,,1.0341248512268066,2.029470682144165,2.1802425384521484,1.5846964120864868,
02-09,0.2957323491573334,0.6937903761863708,0.9692403674125671,,,1.5306572914123535,0.9729668498039246,2.0763561725616455,2.1802425384521484,,
