,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
02-15,3.0,31.0,660.0,,,,0.8999999761581421,1.5,0.5099999904632568,
02-16,3.0,31.0,,,,1.7000000476837158,0.8999999761581421,1.5,,
02-17,3.0,31.0,,,5.0,1.6000000238418581,1.0,,,
02-18,3.0,,,220.0,6.5,1.6000000238418581,,,,0.16599999368190765
02-19,,,690.0,215.0,6.5,1.6000000238418581,,,0.5099999904632568,0.16599999368190765
02-20,,,700.0,180.0,5.800000190734862,,,2.0,0.5099999904632568,0.16599999368190765
02-21,,31.0,730.0,185.0,,,1.0,2.0,0.699999988079071,0.16599999368190765
02-22,3.0,31.0,700.0,,,1.6000000238418581,1.0,2.0,0.699999988079071,
02-23,3.0,31.0,,,5.0,1.6000000238418581,1.0,2.0,,
02-24,3.0,31.0,,165.5,5.0,1.6000000238418581,1.0,,,0.16599999368190765
02-25,3.0,,585.0,170.0,5.0,1.6000000238418581,,,0.699999988079071,0.16599999368190765
02-26,,,370.0,155.0,4.5,1.6000000238418581,,2.0,1.0,0.16599999368190765
02-27,,31.0,350.1000061035156,161.0,4.5,,1.0,2.0,1.0,0.16599999368190765
02-28,3.0,31.0,430.0,160.0,,,1.0,2.0,1.0,0.16599999368190765
02-29,,31.0,,,,1.6000000238418581,,,,
03-01,3.0,31.0,400.0,,,1.6000000238418581,1.100000023841858,2.0,1.0,
03-02,3.0,31.0,,,12.199999809265135,1.6000000238418581,1.7000000476837158,2.0,,0.16599999368190765
03-03,3.0,,,160.0,12.199999809265135,1.6000000238418581,1.7000000476837158,,,0.18299999833106995
03-04,3.0,,440.0,155.0,4.599999904632568,1.7999999523162842,,,1.0,0.18299999833106995
03-05,,31.0,450.0,191.0,8.399999618530272,,,2.0,1.0,0.18299999833106995
03-06,,31.0,460.0,160.0,6.0,,1.0,2.0,1.0,0.18299999833106995
03-07,3.0,31.0,440.0,156.0,,1.399999976158142,1.0,2.0,0.6000000238418579,
03-08,3.0,31.0,392.0,,,1.399999976158142,1.0,2.0,0.6000000238418579,
03-09,3.0,31.0,,,6.0,1.399999976158142,1.0,2.0,,0.18299999833106995
03-10,17.299999237060547,,,150.0,5.0,1.399999976158142,1.0,,,0.18299999833106995
03-11,17.299999237060547,,371.0,145.0,5.0,1.399999976158142,,,0.6000000238418579,0.18299999833106995
03-12,,31.0,358.0,139.0,5.0,,,2.0,1.0,0.18299999833106995
03-13,,31.0,338.0,130.0,5.0,,1.0,2.0,1.0,0.18299999833106995
03-14,17.299999237060547,31.0,320.0,130.0,,1.399999976158142,1.0,2.0,1.0,
03-15,17.299999237060547,31.0,300.1000061035156,,,1.399999976158142,1.0,1.25,1.0,
03-16,17.299999237060547,31.0,,,5.0,1.399999976158142,1.0,1.25,,0.18299999833106995
03-17,17.299999237060547,,,100.0,10.0,1.2999999523162842,1.0,,,0.18299999833106995
03-18,17.299999237060547,,310.0,100.0,9.0,1.2999999523162842,,,1.0,0.18299999833106995
03-19,,31.0,280.10000610351557,90.0,9.0,,,1.25,1.0,0.16599999368190765
03-20,,31.0,300.0,89.0,8.899999618530273,,1.0,1.25,1.0,0.16599999368190765
03-21,17.299999237060547,31.0,305.0,86.0,,1.2999999523162842,1.0,1.25,1.0,
03-22,18.700000762939453,31.0,285.0,,,1.2999999523162842,1.0,1.25,1.0,
03-23,18.700000762939453,31.0,,,8.899999618530273,1.5,1.0,1.25,,0.16599999368190765
03-24,18.700000762939453,,,70.0,8.899999618530273,1.5,1.0,,,0.17000000178813934
03-25,18.700000762939453,,280.0,73.0,8.899999618530273,,,,1.0,0.17000000178813934
03-26,,31.0,303.0,72.0,8.899999618530273,,,1.25,1.0,0.17000000178813934
03-27,,31.0,300.0,72.0,6.0,,1.0,1.25,1.0,0.17000000178813934
03-28,18.700000762939453,31.0,290.1000061035156,74.0,,1.2000000476837158,1.0,2.0,1.0,
03-29,18.700000762939453,31.0,,,,1.2000000476837158,1.0,2.0,1.0,
03-30,18.700000762939453,31.0,,,8.899999618530273,1.2000000476837158,1.0,,,0.16599999368190765
03-31,18.700000762939453,,,72.5,8.800000190734863,1.6000000238418581,1.0,,,0.16599999368190765
04-01,18.700000762939453,,300.0,73.0,8.800000190734863,2.0,,,1.0,0.16599999368190765
04-02,,31.0,300.0,73.0,6.0,,,1.0,1.0,0.16599999368190765
04-03,,31.0,310.0,71.5,,,1.0,1.7000000476837158,1.0,0.16599999368190765
04-04,18.700000762939453,31.0,290.0,71.0999984741211,,2.0,1.0,1.7000000476837158,0.6000000238418579,
04-05,18.700000762939453,31.0,320.0,,,2.0,1.0,1.7000000476837158,0.6000000238418579,
04-06,18.700000762939453,,,,6.0,1.100000023841858,0.699999988079071,1.7000000476837158,,0.16599999368190765
04-07,18.700000762939453,,,80.0,9.0,1.100000023841858,0.699999988079071,,,0.16599999368190765
04-08,18.700000762939453,,290.0,84.0,10.0,1.100000023841858,,,0.6299999952316284,0.1599999964237213
04-09,,31.0,260.0,88.0,10.0,,,1.7000000476837158,0.6299999952316284,0.1599999964237213
04-10,,31.0,260.0,90.0,10.0,,0.699999988079071,1.7000000476837158,0.6299999952316284,
04-11,18.700000762939453,31.0,290.0,102.0,,1.100000023841858,0.699999988079071,1.7000000476837158,0.6299999952316284,
04-12,18.700000762939453,31.0,255.0,,,1.100000023841858,0.699999988079071,1.7000000476837158,0.6299999952316284,
04-13,18.700000762939453,31.0,,,10.0,1.100000023841858,0.699999988079071,1.7000000476837158,,0.1599999964237213
04-14,18.700000762939453,,,90.0999984741211,10.0,1.2999999523162842,,,,0.1599999964237213
04-15,18.700000762939453,,255.0,90.0,11.0,1.2999999523162842,,,0.6299999952316284,0.1599999964237213
04-16,,31.0,290.0,90.0,20.0,,,1.7000000476837158,0.6299999952316284,0.1599999964237213
04-17,,31.0,290.0,72.0999984741211,15.0,,0.699999988079071,1.7000000476837158,0.6299999952316284,0.1599999964237213
04-18,18.700000762939453,31.0,300.0,,,1.2999999523162842,0.699999988079071,1.7000000476837158,0.6299999952316284,
04-19,18.700000762939453,31.0,250.0,,,1.2999999523162842,0.699999988079071,1.7000000476837158,,
04-20,18.700000762939453,31.0,,,15.0,1.2999999523162842,0.699999988079071,1.7000000476837158,,0.1599999964237213
04-21,18.700000762939453,,,72.0,11.899999618530273,1.2999999523162842,0.699999988079071,,,0.1599999964237213
04-22,,,250.1000061035156,79.0999984741211,10.5,1.2999999523162842,,,0.6299999952316284,0.1599999964237213
04-23,,31.0,250.1000061035156,80.0,10.5,,,1.7000000476837158,0.6299999952316284,0.1599999964237213
04-24,,31.0,270.0,75.0999984741211,10.5,,0.699999988079071,1.7000000476837158,0.6299999952316284,0.1599999964237213
04-25,18.700000762939453,31.0,260.20001220703125,86.0,,1.2999999523162842,0.699999988079071,1.7000000476837158,0.6299999952316284,
04-26,25.0,31.0,260.20001220703125,,,1.2999999523162842,0.699999988079071,1.7000000476837158,0.6299999952316284,
04-27,25.0,31.0,,,10.5,1.2999999523162842,0.699999988079071,1.7000000476837158,,0.1599999964237213
04-28,25.0,,,75.0999984741211,11.0,1.2999999523162842,0.699999988079071,,,0.1599999964237213
04-29,25.0,,260.20001220703125,75.19999694824219,7.5,1.2999999523162842,,,0.6299999952316284,0.1599999964237213
04-30,,31.0,280.0,80.0,7.5,,,1.7000000476837158,0.6299999952316284,0.1599999964237213
05-01,,31.0,270.0,75.0999984741211,7.5,,0.699999988079071,1.7000000476837158,0.6299999952316284,0.1599999964237213
05-02,25.0,31.0,300.0,80.0,,1.2999999523162842,0.699999988079071,1.7000000476837158,0.6299999952316284,
05-03,25.0,31.0,290.1000061035156,,,1.2999999523162842,0.699999988079071,1.7000000476837158,0.6299999952316284,
05-04,25.0,31.0,,,7.5,1.399999976158142,0.699999988079071,1.7000000476837158,,0.1599999964237213
05-05,25.0,,,75.0,7.5,1.399999976158142,0.699999988079071,,,0.1599999964237213
05-06,25.0,,292.0,72.0,7.5,1.399999976158142,,,0.6299999952316284,0.1599999964237213
05-07,,31.0,292.0,72.0,7.5,,,1.7000000476837158,0.6299999952316284,0.1599999964237213
05-08,,31.0,345.0,72.0,8.399999618530272,,0.699999988079071,1.7000000476837158,0.6299999952316284,0.1599999964237213
05-09,25.0,31.0,302.0,74.0,,1.399999976158142,0.699999988079071,1.0199999809265137,0.6299999952316284,
05-10,25.0,31.0,310.0,,,1.399999976158142,0.699999988079071,1.0199999809265137,0.6299999952316284,
05-11,25.0,31.0,,,7.5,1.399999976158142,0.699999988079071,1.0199999809265137,,0.1599999964237213
05-12,25.0,,,68.0,7.0,1.399999976158142,0.699999988079071,,,0.1599999964237213
05-13,25.0,,310.0,70.0,7.0,1.399999976158142,,,0.6299999952316284,0.1599999964237213
05-14,,31.0,310.0,70.0,7.0,,,1.0199999809265137,0.6299999952316284,0.1599999964237213
05-15,,31.0,310.0,68.0,7.0,,0.699999988079071,1.0199999809265137,0.6299999952316284,0.1599999964237213
05-16,25.0,31.0,300.0,79.69999694824219,,1.399999976158142,0.699999988079071,1.0199999809265137,0.6299999952316284,
05-17,25.0,31.0,260.10000610351557,,,1.399999976158142,0.699999988079071,1.0199999809265137,0.6299999952316284,
05-18,25.0,31.0,,,7.4000000953674325,1.399999976158142,0.699999988079071,1.0199999809265137,,0.1599999964237213
05-19,25.0,,,71.0,3.5,1.399999976158142,1.0,,,0.1599999964237213
05-20,25.0,,320.0,74.9000015258789,4.0,1.399999976158142,,,0.6299999952316284,0.1599999964237213
05-21,,31.0,280.0,78.4000015258789,5.0,,,1.0199999809265137,0.6299999952316284,0.1599999964237213
05-22,,31.0,300.0,69.5,5.0,,1.0,1.0199999809265137,0.6299999952316284,0.1599999964237213
05-23,23.29999923706055,31.0,290.0,70.0,,1.399999976158142,1.0,1.0199999809265137,0.6299999952316284,
05-24,23.29999923706055,31.0,290.0,,,1.399999976158142,1.2000000476837158,1.0199999809265137,0.6299999952316284,
05-25,23.29999923706055,31.0,,,,1.399999976158142,1.2000000476837158,1.0199999809265137,,
05-26,23.29999923706055,,,,6.5,1.399999976158142,1.2000000476837158,,,0.1599999964237213
05-27,23.29999923706055,,,68.09999847412111,6.5,1.399999976158142,,,,0.1599999964237213
05-28,,,280.0,63.0,6.5,,,,0.6299999952316284,0.1599999964237213
05-29,,31.0,260.10000610351557,65.0,7.5,,,1.0199999809265137,0.6299999952316284,0.1599999964237213
05-30,,31.0,260.10000610351557,65.0,,,1.100000023841858,1.0199999809265137,0.6299999952316284,
05-31,23.29999923706055,31.0,260.10000610351557,,,1.399999976158142,1.2000000476837158,1.0199999809265137,0.6299999952316284,
06-01,23.29999923706055,31.0,,,7.5999999046325675,1.399999976158142,1.2000000476837158,1.0199999809265137,,0.1599999964237213
06-02,23.29999923706055,,,71.4000015258789,7.5999999046325675,1.7999999523162842,1.2000000476837158,,,0.1599999964237213
06-03,23.29999923706055,,270.0,70.0,7.5999999046325675,1.7999999523162842,,,0.6299999952316284,0.1599999964237213
06-04,,31.0,270.0,66.0,4.599999904632568,,,1.0199999809265137,0.6299999952316284,0.1599999964237213
06-05,,31.0,250.1000061035156,60.20000076293945,4.599999904632568,,1.2999999523162842,1.0199999809265137,0.6299999952316284,0.1599999964237213
06-06,23.29999923706055,31.0,250.1000061035156,58.099998474121094,,1.7999999523162842,1.2999999523162842,1.0199999809265137,0.6299999952316284,
06-07,23.29999923706055,31.0,270.0,,,2.700000047683716,1.2999999523162842,1.100000023841858,0.6299999952316284,
06-08,23.29999923706055,31.0,,,4.599999904632568,2.700000047683716,1.2999999523162842,1.100000023841858,,0.1599999964237213
06-09,23.29999923706055,,,60.0,8.0,2.700000047683716,1.2999999523162842,,,0.1599999964237213
06-10,23.29999923706055,,270.0,60.0,8.0,1.7999999523162842,,,0.6299999952316284,0.1599999964237213
06-11,,31.0,290.0,59.0,5.0,,,1.100000023841858,0.6299999952316284,0.1599999964237213
06-12,,31.0,300.0,60.0,6.5,,1.2999999523162842,1.100000023841858,0.6299999952316284,0.1599999964237213
06-13,23.29999923706055,31.0,330.0,55.099998474121094,,1.7999999523162842,1.2999999523162842,1.100000023841858,0.6299999952316284,
06-14,23.29999923706055,31.0,300.0,,,1.7999999523162842,1.100000023841858,1.100000023841858,0.6299999952316284,
06-15,23.29999923706055,31.0,,,6.5,1.7000000476837158,1.2000000476837158,1.100000023841858,,0.1599999964237213
06-16,23.29999923706055,,,60.0,6.5,1.7000000476837158,1.100000023841858,,,0.1599999964237213
06-17,23.29999923706055,,320.0,52.599998474121094,6.5,1.7000000476837158,,,0.6299999952316284,0.1599999964237213
06-18,,31.0,300.0,57.0,6.5,,,1.100000023841858,0.6299999952316284,0.1599999964237213
06-19,,31.0,300.0,57.0,6.5,,1.100000023841858,1.100000023841858,0.6299999952316284,0.1599999964237213
06-20,23.29999923706055,31.0,300.0,57.0,,1.7000000476837158,1.100000023841858,1.100000023841858,0.6299999952316284,
06-21,23.29999923706055,31.0,300.0,,,1.7000000476837158,1.100000023841858,1.0,0.6299999952316284,
06-22,23.29999923706055,31.0,,,5.5,1.7000000476837158,1.100000023841858,1.5,,0.1599999964237213
06-23,23.29999923706055,,,60.0,7.5,1.7000000476837158,1.100000023841858,,,0.1599999964237213
06-24,23.29999923706055,,300.0,53.20000076293945,5.5,1.7000000476837158,,,0.6299999952316284,0.1599999964237213
06-25,,31.0,250.1000061035156,53.20000076293945,5.5,,,1.5,0.6299999952316284,0.1599999964237213
06-26,,31.0,250.1000061035156,53.29999923706055,5.5,,1.100000023841858,1.5,0.6299999952316284,0.1599999964237213
06-27,23.29999923706055,31.0,250.1000061035156,54.0,,1.7000000476837158,1.100000023841858,1.5,0.6299999952316284,
06-28,23.70000076293945,31.0,250.0,,,1.7000000476837158,1.100000023841858,1.5,0.6299999952316284,
06-29,23.70000076293945,31.0,,,8.0,1.7000000476837158,1.100000023841858,1.5,,0.1599999964237213
06-30,23.70000076293945,,,53.20000076293945,7.0,1.7000000476837158,1.100000023841858,,,0.1599999964237213
07-01,31.0,,250.0,50.0,7.0,0.8000000119209291,,,0.6000000238418579,0.1599999964237213
07-02,,31.0,250.0,49.79999923706055,7.0,,,1.5,0.6000000238418579,0.1599999964237213
07-03,,31.0,250.0,45.20000076293945,,,1.100000023841858,1.0299999713897705,0.6000000238418579,
07-05,31.0,31.0,220.0,,,0.8000000119209291,1.100000023841858,1.0299999713897705,0.6000000238418579,
07-06,31.0,31.0,,,9.0,1.399999976158142,1.100000023841858,1.0299999713897705,,0.1599999964237213
07-07,31.0,,,45.20000076293945,9.199999809265137,1.399999976158142,1.0,,,0.1599999964237213
07-08,31.0,,240.0,45.0,9.0,1.399999976158142,,,0.6000000238418579,0.1599999964237213
07-09,,31.0,250.0,45.0,9.0,,,1.0299999713897705,0.6000000238418579,0.1599999964237213
07-10,,31.0,250.0,43.0,9.0,,1.0,1.0299999713897705,0.6000000238418579,0.1599999964237213
07-11,31.0,31.0,260.0,40.0,,1.399999976158142,1.0,1.0299999713897705,0.6000000238418579,
07-12,31.0,31.0,250.0,,,1.399999976158142,1.0,1.0299999713897705,0.5,
07-13,31.0,31.0,,,9.0,1.7999999523162842,1.0,1.0299999713897705,,0.1599999964237213
07-14,31.0,,,40.099998474121094,9.100000381469727,1.7999999523162842,1.0,,,0.1599999964237213
07-15,31.0,,220.0,40.0,9.100000381469727,1.7999999523162842,,,0.5,0.1599999964237213
07-16,,31.0,220.0,40.0,9.0,,,1.0299999713897705,0.6000000238418579,0.1599999964237213
07-17,,31.0,140.0,40.0,8.899999618530273,,1.0,1.0299999713897705,0.6000000238418579,0.1599999964237213
07-18,31.0,31.0,140.0,35.599998474121094,,1.7999999523162842,1.0,1.0299999713897705,0.6000000238418579,
07-19,31.0,31.0,140.0,,,1.7999999523162842,1.0,1.0299999713897705,0.6000000238418579,
07-20,31.0,31.0,,,8.899999618530273,1.7999999523162842,1.0,1.0299999713897705,,0.1599999964237213
07-21,31.0,,,35.599998474121094,8.899999618530273,1.7999999523162842,1.0,,,0.5099999904632568
07-22,31.0,,140.0,38.0,8.800000190734863,1.5,,,0.6000000238418579,0.5099999904632568
07-23,,31.0,117.3000030517578,35.599998474121094,8.800000190734863,,,1.0299999713897705,0.6000000238418579,0.5099999904632568
07-24,,31.0,117.3000030517578,35.599998474121094,2.700000047683716,,1.0,1.0299999713897705,0.6000000238418579,0.5099999904632568
07-25,31.0,31.0,117.3000030517578,35.0,,1.5,1.0,1.0299999713897705,0.6000000238418579,
07-26,31.0,31.0,117.3000030517578,,,1.5,1.0,1.0299999713897705,0.6000000238418579,
07-27,31.0,31.0,,,2.700000047683716,1.5,1.0,1.0299999713897705,,0.5099999904632568
07-28,31.0,,,40.0,2.5999999046325684,1.5,1.0,,,0.5099999904632568
07-29,31.0,,200.0,36.0,2.5,1.5,,,0.6000000238418579,0.5099999904632568
07-30,,31.0,117.3000030517578,35.0,2.5999999046325684,,,1.0299999713897705,0.6000000238418579,0.5099999904632568
07-31,,31.0,116.0,39.0,2.700000047683716,,1.0,1.0299999713897705,0.6000000238418579,0.5099999904632568
08-01,31.0,31.0,180.0,37.0,,1.5,1.2999999523162842,1.0299999713897705,0.6000000238418579,
08-02,31.0,31.0,180.0,,,1.100000023841858,1.2999999523162842,1.0299999713897705,0.6000000238418579,
08-03,31.0,31.0,,,2.700000047683716,1.100000023841858,1.2999999523162842,1.0299999713897705,,0.5099999904632568
08-04,31.0,,,39.0,2.700000047683716,1.100000023841858,1.2999999523162842,,,0.5099999904632568
08-05,31.0,,180.0,35.09999847412109,2.700000047683716,1.100000023841858,,,0.6000000238418579,0.5099999904632568
08-06,,31.0,180.0,35.09999847412109,2.700000047683716,,,0.8999999761581421,0.6000000238418579,0.5099999904632568
08-07,,31.0,150.0,39.0,4.0,,1.0,0.8999999761581421,0.6000000238418579,0.5099999904632568
08-08,31.0,175.0,150.0,35.09999847412109,,1.399999976158142,1.0,0.8999999761581421,0.6000000238418579,
08-09,31.0,175.0,140.0,,,1.399999976158142,1.0,0.8999999761581421,0.6000000238418579,
08-10,31.0,200.0,,,4.0,1.399999976158142,1.0,0.699999988079071,,0.5099999904632568
08-11,31.0,,,35.09999847412109,4.0,1.6000000238418581,1.0,,,0.5099999904632568
08-12,31.0,,140.0,35.0,2.700000047683716,1.6000000238418581,,,0.6000000238418579,0.5099999904632568
08-13,,200.0,145.0,30.0,2.700000047683716,,,0.699999988079071,0.6000000238418579,0.5099999904632568
08-14,,200.0,145.0,28.0,2.700000047683716,,1.0,0.699999988079071,0.6000000238418579,0.5099999904632568
08-15,31.0,200.0,180.0,28.0,,1.2000000476837158,1.0,0.699999988079071,0.6000000238418579,
08-16,31.0,200.0,180.0,,,1.2000000476837158,1.0,0.699999988079071,0.6000000238418579,
08-17,31.0,200.0,,,2.299999952316284,1.2000000476837158,1.0,0.699999988079071,,0.5099999904632568
08-18,31.0,,,28.0,2.299999952316284,1.100000023841858,1.0,,,0.05000000074505806
08-19,31.0,,220.0,23.0,2.0,1.100000023841858,,,0.6000000238418579,0.05000000074505806
08-20,,200.0,220.0,20.0,2.0,,,0.699999988079071,0.6000000238418579,0.05000000074505806
08-21,,200.0,160.0,20.0,2.5999999046325684,,1.0,0.699999988079071,0.6000000238418579,0.05000000074505806
08-22,31.0,200.0,160.0,24.0,,1.100000023841858,1.0,0.699999988079071,0.6000000238418579,
08-23,31.0,200.0,160.0,,,1.100000023841858,1.0,0.699999988079071,0.6000000238418579,
08-24,31.0,200.0,,,2.5,1.100000023841858,1.0,0.699999988079071,,0.05000000074505806
08-25,31.0,,,20.799999237060547,2.5,1.100000023841858,1.0,,,0.05000000074505806
08-26,31.0,,190.0,24.0,2.5,1.100000023841858,,,0.6000000238418579,0.05000000074505806
08-27,,200.0,270.0,20.100000381469727,2.5,,,0.699999988079071,0.6000000238418579,0.05000000074505806
08-28,,200.0,220.0,20.100000381469727,2.5,,1.0,0.699999988079071,0.6000000238418579,0.05000000074505806
08-29,31.0,200.0,220.0,20.0,,1.100000023841858,1.0,0.699999988079071,0.6000000238418579,
08-30,31.0,200.0,220.0,,,1.100000023841858,1.0,0.699999988079071,0.6000000238418579,
08-31,31.0,200.0,,,2.0,1.100000023841858,1.0,0.699999988079071,,0.05000000074505806
09-01,31.0,,,,2.700000047683716,1.100000023841858,1.0,,,0.05000000074505806
09-02,31.0,,,19.899999618530273,2.700000047683716,1.100000023841858,,,,0.05000000074505806
09-03,,,220.0,19.899999618530273,2.700000047683716,,,,0.6000000238418579,0.05000000074505806
09-04,,200.0,220.0,18.799999237060547,2.700000047683716,,,0.699999988079071,0.6000000238418579,0.05000000074505806
09-05,,200.0,200.0,19.0,,,1.0,0.699999988079071,0.6000000238418579,
09-06,31.0,200.0,125.0,,,1.100000023841858,1.0,0.699999988079071,0.6000000238418579,
09-07,31.0,200.0,,,,1.100000023841858,1.0,0.699999988079071,,
09-08,31.0,,,19.0,2.700000047683716,1.100000023841858,1.0,,,0.05000000074505806
09-09,31.0,,155.0,19.0,2.700000047683716,1.100000023841858,,,0.6000000238418579,0.05000000074505806
09-10,,200.0,160.0,20.0,1.6000000238418581,,,0.699999988079071,0.6000000238418579,0.05000000074505806
09-11,,200.0,238.5,19.100000381469727,1.6000000238418581,,1.0,0.699999988079071,0.6000000238418579,0.05000000074505806
09-12,31.0,200.0,245.0,19.100000381469727,,1.100000023841858,1.0,0.699999988079071,0.6000000238418579,
09-13,31.0,200.0,260.0,,,1.100000023841858,1.0,0.699999988079071,0.6000000238418579,
09-14,31.0,200.0,,,1.6000000238418581,1.100000023841858,1.0,0.699999988079071,,0.05000000074505806
09-15,31.0,,,21.600000381469727,1.6000000238418581,1.100000023841858,1.0,,,0.05000000074505806
09-16,31.0,,260.20001220703125,21.600000381469727,2.700000047683716,1.2000000476837158,,,0.6000000238418579,0.05000000074505806
09-17,,200.0,260.20001220703125,20.0,2.700000047683716,,,0.699999988079071,0.5099999904632568,0.05000000074505806
09-18,,200.0,310.0,16.100000381469727,1.7999999523162842,,1.0,0.699999988079071,0.5099999904632568,0.05000000074505806
09-19,31.0,200.0,340.0,16.100000381469727,,1.2000000476837158,1.0,0.699999988079071,0.5099999904632568,
09-20,31.0,200.0,350.0,,,1.2000000476837158,1.0,0.699999988079071,0.5099999904632568,
09-21,31.0,200.0,,,1.7000000476837158,1.2000000476837158,1.0,0.699999988079071,,0.05000000074505806
09-22,31.0,,,15.899999618530273,1.7000000476837158,1.2000000476837158,1.0,,,0.05000000074505806
09-23,31.0,,330.0,15.0,1.7999999523162842,1.2000000476837158,,,0.5099999904632568,0.05000000074505806
09-24,,200.0,310.0,15.0,1.7999999523162842,,,0.699999988079071,0.5099999904632568,0.05000000074505806
09-25,,200.0,320.0,15.0,1.7999999523162842,,0.8000000119209291,0.699999988079071,0.5099999904632568,0.05000000074505806
09-26,31.0,200.0,320.0,15.0,,1.100000023841858,0.8000000119209291,0.699999988079071,0.5099999904632568,
09-27,31.0,200.0,350.0,,,1.100000023841858,0.8000000119209291,0.699999988079071,0.5099999904632568,
09-28,31.0,200.0,,,1.7999999523162842,1.0,0.699999988079071,0.699999988079071,,0.05000000074505806
09-29,31.0,,,15.0,1.7999999523162842,1.100000023841858,0.699999988079071,,,0.05000000074505806
09-30,31.0,,280.0,12.300000190734865,1.7999999523162842,1.2999999523162842,,,0.5099999904632568,0.05000000074505806
10-01,,200.0,340.0,12.300000190734865,1.7999999523162842,,,0.699999988079071,0.699999988079071,0.10000000149011612
