,2009,2013,2017,2018,2019,ups,downs,avg
06-03,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
06-04,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
06-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
06-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
06-07,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
06-08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
06-10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
06-11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
06-12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
06-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-24,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-28,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
06-30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-03,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-05,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-09,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-11,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-12,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
