symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs
BARX,Barotex Technology Corp,$0.03 ,TRUE,,No data fetched for symbol BARX using YahooDailyReader,,,,
BHNFF,Bashneft PJSOC,$27.10 ,TRUE,,No data fetched for symbol BHNFF using YahooDailyReader,,,,
BSLAF,Basler AG,$48.50 ,TRUE,,No data fetched for symbol BSLAF using YahooDailyReader,,,,
BMTNF,Battle Mountain Gold Inc,$0.42 ,TRUE,,No data fetched for symbol BMTNF using YahooDailyReader,,,,
BVIKF,BAVARIA Industries Group AG,$35.74 ,TRUE,,No data fetched for symbol BVIKF using YahooDailyReader,,,,
BXLT,Baxalta Inc,$46.02 ,TRUE,,'Date',,,,
CHPMF,Bay Area Gold Group Ltd,$0.01 ,TRUE,,No data fetched for symbol CHPMF using YahooDailyReader,,,,
BYLK,Baylake Corp,$17.43 ,TRUE,,'Date',,,,
BHROF,Bayshore Petroleum Corp,$0.03 ,TRUE,,No data fetched for symbol BHROF using YahooDailyReader,,,,
BBMPY,BBMG Corp,$23.16 ,TRUE,,No data fetched for symbol BBMPY using YahooDailyReader,,,,
BMBGF,BBMG Corp,$0.34 ,TRUE,,No data fetched for symbol BMBGF using YahooDailyReader,,,,
BBHDF,BBR Holdings (S) Ltd,$0.12 ,TRUE,,No data fetched for symbol BBHDF using YahooDailyReader,,,,
BCMKF,BCA Marketplace PLC,$3.07 ,TRUE,,No data fetched for symbol BCMKF using YahooDailyReader,,,,
BHIN,BCI Holding Inc,$0.80 ,TRUE,,No data fetched for symbol BHIN using YahooDailyReader,,,,
BDREF,Beadell Resources Ltd,$0.02 ,TRUE,,No data fetched for symbol BDREF using YahooDailyReader,,,,
BFDRF,Beaufield Resources Inc,$0.10 ,TRUE,,No data fetched for symbol BFDRF using YahooDailyReader,,,,
BMNTF,Beaumont Select Corporations Inc,$1.21 ,TRUE,,'Date',,,,
BFHI,Bedford Holdings Inc,$0.01 ,TRUE,,'Date',,,,
BNNNF,Beenos Inc,$24.66 ,TRUE,,No data fetched for symbol BNNNF using YahooDailyReader,,,,
BHOR,Behringer Harvard Opportunity Reit I Inc,$1.30 ,TRUE,,No data fetched for symbol BHOR using YahooDailyReader,,,,
BJRRF,Beijer Electronics Group AB,$6.10 ,TRUE,,No data fetched for symbol BJRRF using YahooDailyReader,,,,
BJINY,Beijing Enterprises Holdings Ltd,$57.62 ,TRUE,,No data fetched for symbol BJINY using YahooDailyReader,,,,
BSIIF,Beijing Sports and Entertainment Industry Group Lt,$0.01 ,TRUE,,No data fetched for symbol BSIIF using YahooDailyReader,,,,
BEINF,Being Co Ltd,$5.75 ,TRUE,,No data fetched for symbol BEINF using YahooDailyReader,,,,
BLKIB,Belk Inc,$67.67 ,TRUE,,'Date',,,,
BLKIA,Belk Inc,$73.00 ,TRUE,,'Date',,,,
BLLMF,Bellamy's Australia Ltd,$5.36 ,TRUE,,No data fetched for symbol BLLMF using YahooDailyReader,,,,
BLCNF,Belle Corporation,$0.06 ,TRUE,,'Date',,,,
BELLF,Belle International Holdings Ltd,$0.77 ,TRUE,,No data fetched for symbol BELLF using YahooDailyReader,,,,
BELLY,Belle International Holdings Ltd,$7.91 ,TRUE,,'Date',,,,
BHVCF,Bellhaven Copper & Gold Inc,$0.32 ,TRUE,,'Date',,,,
BGCC,Beluga Composites Corp,$0.01 ,TRUE,,'Date',,,,
BHCCF,Benchmark Holdings PLC,$0.65 ,TRUE,,No data fetched for symbol BHCCF using YahooDailyReader,,,,
BNCL,Beneficial Bancorp Inc,$16.12 ,TRUE,,No data fetched for symbol BNCL using YahooDailyReader,,,,
XZJBF,Beni Stabili SpA SIIQ,$0.81 ,TRUE,,'Date',,,,
BNIKF,Benitec Biopharma Inc,$0.02 ,TRUE,,No data fetched for symbol BNIKF using YahooDailyReader,,,,
BTOF,Benton Financial Corp,$30.00 ,TRUE,,No data fetched for symbol BTOF using YahooDailyReader,,,,
BSNXY,Berendsen PLC,$0.78 ,TRUE,,No data fetched for symbol BSNXY using YahooDailyReader,,,,
BRJYF,Berjaya Media Bhd,$0.04 ,TRUE,,No data fetched for symbol BRJYF using YahooDailyReader,,,,
BRK.A,Berkshire Hathaway Inc,"$340,250.00 ",TRUE,,'Date',,,,
BRK.B,Berkshire Hathaway Inc,$226.67 ,TRUE,,'Date',,,,
BKSH,Berkshire Homes Inc,$2.26 ,TRUE,,No data fetched for symbol BKSH using YahooDailyReader,,,,
BKTOF,Berner Kantonalbank AG,$232.50 ,TRUE,,No data fetched for symbol BKTOF using YahooDailyReader,,,,
BDGXF,Bertrandt AG,$45.14 ,TRUE,,No data fetched for symbol BDGXF using YahooDailyReader,,,,
BTHT,Best Hometown Bancorp Inc,$15.00 ,TRUE,,No data fetched for symbol BTHT using YahooDailyReader,,,,
NWQZF,Best Pacific International Holdings Ltd,$0.61 ,TRUE,,No data fetched for symbol NWQZF using YahooDailyReader,,,,
BTFRF,Betfair Group PLC,$63.48 ,TRUE,,No data fetched for symbol BTFRF using YahooDailyReader,,,,
BSTBF,Betsson AB,$6.66 ,TRUE,,No data fetched for symbol BSTBF using YahooDailyReader,,,,
BZZZF,Bezant Resources PLC,$0.12 ,TRUE,,No data fetched for symbol BZZZF using YahooDailyReader,,,,
PBITF,BFI Finance Indonesia Tbk,$0.15 ,TRUE,,No data fetched for symbol PBITF using YahooDailyReader,,,,
BRGXF,BG Group PLC,$15.50 ,TRUE,,'Date',,,,
BRGYY,BG Group PLC,$15.22 ,TRUE,,'Date',,,,
BGCUF,Big C Supercenter PCL,$5.50 ,TRUE,,No data fetched for symbol BGCUF using YahooDailyReader,,,,
BGCUY,Big C Supercenter PCL,$0.18 ,TRUE,,No data fetched for symbol BGCUY using YahooDailyReader,,,,
BGKYF,Big Sky Petroleum Corp,$0.28 ,TRUE,,No data fetched for symbol BGKYF using YahooDailyReader,,,,
BGGFF,Big Sofa Technologies Group PLC,$0.06 ,TRUE,,No data fetched for symbol BGGFF using YahooDailyReader,,,,
BGGNF,Big Un Ltd,$3.12 ,TRUE,,No data fetched for symbol BGGNF using YahooDailyReader,,,,
BH.A,Biglari Holdings Inc,$520.01 ,TRUE,,No data fetched for symbol BH.A using YahooDailyReader,,,,
BIJBF,Bijou Brigitte Modische Accessoires AG,$57.75 ,TRUE,,No data fetched for symbol BIJBF using YahooDailyReader,,,,
BBSAF,Bilia AB,$24.15 ,TRUE,,No data fetched for symbol BBSAF using YahooDailyReader,,,,
BLLAY,Billabong International Ltd,$1.51 ,TRUE,,No data fetched for symbol BLLAY using YahooDailyReader,,,,
BMBHF,Bimb Holdings Bhd,$1.01 ,TRUE,,No data fetched for symbol BMBHF using YahooDailyReader,,,,
BINCF,BinckBank NV,$7.55 ,TRUE,,No data fetched for symbol BINCF using YahooDailyReader,,,,
CDURQ,Bio Pappel SAB de CV,$1.50 ,TRUE,,'Date',,,,
BIO.B,Bio-Rad Laboratories Inc,$596.08 ,TRUE,,'Date',,,,
BIOAQ,BioAmber Inc,$0.05 ,TRUE,,No data fetched for symbol BIOAQ using YahooDailyReader,,,,
BIOA.U,BioAmber Inc,$8.35 ,TRUE,,No data fetched for symbol BIOA.U using YahooDailyReader,,,,
BFLS,Biofuels Power Corp,$0.05 ,TRUE,,No data fetched for symbol BFLS using YahooDailyReader,,,,
BOLT,BioLight Life Sciences Ltd,$21.99 ,TRUE,,'Date',,,,
BLGTY,BioLight Life Sciences Ltd,$45.92 ,TRUE,,'Date',,,,
BLLSF,BioLight Life Sciences Ltd,$0.09 ,TRUE,,No data fetched for symbol BLLSF using YahooDailyReader,,,,
BLNEF,BioLine Rx Ltd,$0.86 ,TRUE,,No data fetched for symbol BLNEF using YahooDailyReader,,,,
BIUPF,Biom'Up SA,$2.40 ,TRUE,,No data fetched for symbol BIUPF using YahooDailyReader,,,,
BMR,BioMed Realty Trust Inc,$23.81 ,TRUE,,'Date',,,,
BVAXF,BiondVax Pharmaceuticals Ltd,$0.12 ,TRUE,,No data fetched for symbol BVAXF using YahooDailyReader,,,,
BPIC,BioPharmetics Inc,$14.84 ,TRUE,,No data fetched for symbol BPIC using YahooDailyReader,,,,
BPMX,BioPharmX Corp,$6.12 ,TRUE,,No data fetched for symbol BPMX using YahooDailyReader,,,,
BTESF,Biotest AG,$17.91 ,TRUE,,No data fetched for symbol BTESF using YahooDailyReader,,,,
BITI,Biotie Therapies Corp,$25.80 ,TRUE,,'Date',,,,
BIOZF,Biotie Therapies Corp,$0.34 ,TRUE,,No data fetched for symbol BIOZF using YahooDailyReader,,,,
BVNXF,Bioventix PLC,$14.71 ,TRUE,,No data fetched for symbol BVNXF using YahooDailyReader,,,,
BDTYF,Birdstep Technology ASA,$0.40 ,TRUE,,'Date',,,,
BBBI,Birmingham Bloomfield Bancshares Inc,$16.40 ,TRUE,,'Date',,,,
BGEZF,Bison Gold Resources Inc,$0.47 ,TRUE,,No data fetched for symbol BGEZF using YahooDailyReader,,,,
BITFY,Bitfarms Ltd,$5.00 ,TRUE,,No data fetched for symbol BITFY using YahooDailyReader,,,,
BLLCF,Bitfarms Ltd,$0.91 ,TRUE,,No data fetched for symbol BLLCF using YahooDailyReader,,,,
BKWAF,BKW AG,$50.50 ,TRUE,,No data fetched for symbol BKWAF using YahooDailyReader,,,,
ATRGF,Black Dragon Gold Corp,$0.01 ,TRUE,,No data fetched for symbol ATRGF using YahooDailyReader,,,,
BLKEF,Black Earth Farming LTD,$0.80 ,TRUE,,No data fetched for symbol BLKEF using YahooDailyReader,,,,
BLAIF,Black Isle Resources Corp,$0.01 ,TRUE,,No data fetched for symbol BLAIF using YahooDailyReader,,,,
BLCK,Blackcraft Cult Inc,$1.10 ,TRUE,,No data fetched for symbol BLCK using YahooDailyReader,,,,
BLKPF,BlackPearl Resources Inc,$0.83 ,TRUE,,No data fetched for symbol BLKPF using YahooDailyReader,,,,
MNE,BLACKROCK MUNI NEW YORK INTERMEDIATE DURATION FUND,$14.55 ,TRUE,,No data fetched for symbol MNE using YahooDailyReader,,,,
BLCRF,Blind Creek Resources Ltd,$0.21 ,TRUE,,No data fetched for symbol BLCRF using YahooDailyReader,,,,
PUNK,Blink Technologies Inc,$0.01 ,TRUE,,No data fetched for symbol PUNK using YahooDailyReader,,,,
BLTHF,BLIS Technologies Ltd,$0.02 ,TRUE,,No data fetched for symbol BLTHF using YahooDailyReader,,,,
BLCS,Blockchain Solutions Inc,$2.00 ,TRUE,,No data fetched for symbol BLCS using YahooDailyReader,,,,
BLT,Blount International Inc,$10.00 ,TRUE,,'Date',,,,
BCYP,Blue Calypso Inc,$0.01 ,TRUE,,No data fetched for symbol BCYP using YahooDailyReader,,,,
NILE,Blue Nile Inc,$40.71 ,TRUE,,'Date',,,,
BRMR,Blue Ridge Mountain Resources Inc,$4.75 ,TRUE,,No data fetched for symbol BRMR using YahooDailyReader,,,,
BVBC,Blue Valley Ban Corp,$14.40 ,TRUE,,No data fetched for symbol BVBC using YahooDailyReader,,,,
BMGRF,BMG Resources Ltd,$0.25 ,TRUE,,No data fetched for symbol BMGRF using YahooDailyReader,,,,
BMLKF,BML Inc,$25.35 ,TRUE,,No data fetched for symbol BMLKF using YahooDailyReader,,,,
BNCN,BNC Bancorp,$35.15 ,TRUE,,'Date',,,,
BNPCF,BNP Resources Inc,$0.04 ,TRUE,,No data fetched for symbol BNPCF using YahooDailyReader,,,,
BLGPY,Boart Longyear Ltd,$1.50 ,TRUE,,No data fetched for symbol BLGPY using YahooDailyReader,,,,
BOBE,Bob Evans Farms Inc,$77.01 ,TRUE,,'Date',,,,
BDCYY,Bodycote PLC,$16.76 ,TRUE,,No data fetched for symbol BDCYY using YahooDailyReader,,,,
BLBK,BOLDFACE Group Inc,$0.01 ,TRUE,,'Date',,,,
BOLRF,Bollore SA,$3.75 ,TRUE,,No data fetched for symbol BOLRF using YahooDailyReader,,,,
BLLRF,Bollore SA,$0.21 ,TRUE,,No data fetched for symbol BLLRF using YahooDailyReader,,,,
BMCDF,Bolsas Y Mercados Argentinos SA,$2.62 ,TRUE,,No data fetched for symbol BMCDF using YahooDailyReader,,,,
SOHMF,Bolsas Y Mercados Espanoles SHMSF SA,$35.14 ,TRUE,,No data fetched for symbol SOHMF using YahooDailyReader,,,,
BMBPY,Bombril SA,$0.35 ,TRUE,,No data fetched for symbol BMBPY using YahooDailyReader,,,,
BONA,Bona Film Group Ltd,$13.63 ,TRUE,,'Date',,,,
BOKGF,Booker Group PLC,$2.65 ,TRUE,,No data fetched for symbol BOKGF using YahooDailyReader,,,,
BOKGY,Booker Group PLC,$31.15 ,TRUE,,No data fetched for symbol BOKGY using YahooDailyReader,,,,
BAMM,Books-A-Million Inc,$3.25 ,TRUE,,'Date',,,,
BMERQ,Boomerang Systems Inc,$0.03 ,TRUE,,'Date',,,,
BRGAY,Borregaard ASA,$13.07 ,TRUE,,No data fetched for symbol BRGAY using YahooDailyReader,,,,
FTGZF,BOS Global Holdings Ltd,$0.09 ,TRUE,,No data fetched for symbol FTGZF using YahooDailyReader,,,,
BSPB,BOSP Bancshares Inc,$31.90 ,TRUE,,No data fetched for symbol BSPB using YahooDailyReader,,,,
XXCCH,Boston Capital Tax Credit Fund LP,$0.27 ,TRUE,,'Date',,,,
XXJZA,Boston Capital Tax Credit Fund LP,$1.97 ,TRUE,,No data fetched for symbol XXJZA using YahooDailyReader,,,,
YYSSL,Boston Capital Tax Credit Fund LP,$1.10 ,TRUE,,No data fetched for symbol YYSSL using YahooDailyReader,,,,
YYSSM,Boston Capital Tax Credit Fund LP,$1.08 ,TRUE,,No data fetched for symbol YYSSM using YahooDailyReader,,,,
BRAI,Boston Restaurant Associates Inc,$0.25 ,TRUE,,'Date',,,,
BDBD,Boulder Brands Inc,$11.03 ,TRUE,,'Date',,,,
BLLDF,Boulder Energy Ltd,$1.99 ,TRUE,,No data fetched for symbol BLLDF using YahooDailyReader,,,,
BOUBF,Bourbon Corp,$11.55 ,TRUE,,'Date',,,,
BSTHY,Boustead Holdings Bhd,$0.53 ,TRUE,,No data fetched for symbol BSTHY using YahooDailyReader,,,,
BWL.A,Bowl America Inc,$9.06 ,TRUE,,No data fetched for symbol BWL.A using YahooDailyReader,,,,
BXXY,Boxxy Inc,$3.00 ,TRUE,,No data fetched for symbol BXXY using YahooDailyReader,,,,
BOZZD,Bozzuto's Inc,$199.50 ,TRUE,,No data fetched for symbol BOZZD using YahooDailyReader,,,,
BPKKF,BP Castrol KK,$7.60 ,TRUE,,No data fetched for symbol BPKKF using YahooDailyReader,,,,
BRMLL,BR Malls Participacoes SA,$7.09 ,TRUE,,'Date',,,,
BRPPF,BR Properties SA,$3.09 ,TRUE,,No data fetched for symbol BRPPF using YahooDailyReader,,,,
BRPPY,BR Properties SA,$3.26 ,TRUE,,No data fetched for symbol BRPPY using YahooDailyReader,,,,
SATYF,Bracell Ltd,$0.28 ,TRUE,,No data fetched for symbol SATYF using YahooDailyReader,,,,
BRKNF,Bradken Ltd,$2.90 ,TRUE,,No data fetched for symbol BRKNF using YahooDailyReader,,,,
BRDYF,Brady PLC,$0.83 ,TRUE,,No data fetched for symbol BRDYF using YahooDailyReader,,,,
BRTLF,Brait SE,$3.45 ,TRUE,,No data fetched for symbol BRTLF using YahooDailyReader,,,,
BMMEF,Brammer PLC,$2.02 ,TRUE,,No data fetched for symbol BMMEF using YahooDailyReader,,,,
BBZKF,Brasil Brokers Participacoes SA,$0.36 ,TRUE,,No data fetched for symbol BBZKF using YahooDailyReader,,,,
BRCPF,Brasilagro - Cia Bras de Prop Agricolas,$4.09 ,TRUE,,No data fetched for symbol BRCPF using YahooDailyReader,,,,
BTKGF,BreadTalk Group Ltd,$0.55 ,TRUE,,No data fetched for symbol BTKGF using YahooDailyReader,,,,
BDDSF,Brederode SA,$43.30 ,TRUE,,No data fetched for symbol BDDSF using YahooDailyReader,,,,
BZC,Breeze-Eastern Corp,$19.80 ,TRUE,,No data fetched for symbol BZC using YahooDailyReader,,,,
BECC,Breitling Energy Corp,$0.01 ,TRUE,,'Date',,,,
BFDI,Brekford Traffic Safety Inc,$0.12 ,TRUE,,'Date',,,,
BBIM,Bremen Bancorp Inc,$93.03 ,TRUE,,'Date',,,,
BRTPF,Brightoil Petroleum (Holdings) Ltd,$0.29 ,TRUE,,No data fetched for symbol BRTPF using YahooDailyReader,,,,
BRSWQ,Bristow Group Inc Old,$0.01 ,TRUE,,No data fetched for symbol BRSWQ using YahooDailyReader,,,,
BRCM,Broadcom Corp,$54.67 ,TRUE,,'Date',,,,
BRDLF,Broadleaf Co Ltd,$6.20 ,TRUE,,No data fetched for symbol BRDLF using YahooDailyReader,,,,
BSFT,BroadSoft Inc,$54.90 ,TRUE,,'Date',,,,
TFFTF,Broadspectrum Ltd,$0.84 ,TRUE,,No data fetched for symbol TFFTF using YahooDailyReader,,,,
BVWN,Broadview Networks Holdings Inc,$6.50 ,TRUE,,No data fetched for symbol BVWN using YahooDailyReader,,,,
BVSN,BroadVision Inc,$4.41 ,TRUE,,No data fetched for symbol BVSN using YahooDailyReader,,,,
BDWYF,Broadway Gold Mining Ltd,$0.05 ,TRUE,,No data fetched for symbol BDWYF using YahooDailyReader,,,,
BROD,Broder Brothers Co,$7.09 ,TRUE,,'Date',,,,
BOXC,Brookfield Canada Office Properties,$24.96 ,TRUE,,'Date',,,,
BF.A,Brown-Forman Corp,$72.43 ,TRUE,,'Date',,,,
BF.B,Brown-Forman Corp,$78.85 ,TRUE,,'Date',,,,
KMMTF,Brunswick Exploration Inc,$0.26 ,TRUE,,No data fetched for symbol KMMTF using YahooDailyReader,,,,
BSMZF,BSM Technologies Inc,$1.02 ,TRUE,,No data fetched for symbol BSMZF using YahooDailyReader,,,,
BTTGY,BT Group PLC,$10.83 ,TRUE,,No data fetched for symbol BTTGY using YahooDailyReader,,,,
BTGGF,BTG PLC,$10.05 ,TRUE,,No data fetched for symbol BTGGF using YahooDailyReader,,,,
BTGWF,BTS Group Holdings PLC,$0.38 ,TRUE,,No data fetched for symbol BTGWF using YahooDailyReader,,,,
BKCS,Bucks County Bank,$12.30 ,TRUE,,No data fetched for symbol BKCS using YahooDailyReader,,,,
BWLD,Buffalo Wild Wings Inc,$156.95 ,TRUE,,'Date',,,,
BULIF,Bulgari SpA,$15.79 ,TRUE,,'Date',,,,
BCKDY,Burckhardt Compression Holding AG,$15.50 ,TRUE,,No data fetched for symbol BCKDY using YahooDailyReader,,,,
BURCB,Burnham Holdings Inc,$14.31 ,TRUE,,No data fetched for symbol BURCB using YahooDailyReader,,,,
BSMAF,Bursa Malaysia Bhd,$1.84 ,TRUE,,No data fetched for symbol BSMAF using YahooDailyReader,,,,
BDVC,Business Development Corp Of America,$0.01 ,TRUE,,'Date',,,,
BMSV,Business Marketing Services Inc,$0.05 ,TRUE,,'Date',,,,
BGSWF,BW Offshore Ltd,$3.55 ,TRUE,,No data fetched for symbol BGSWF using YahooDailyReader,,,,
PYGMF,bwin.party digital entertainment PLC,$1.75 ,TRUE,,No data fetched for symbol PYGMF using YahooDailyReader,,,,
