symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs,close_ups,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
DWSGF,Dawson Gold Corp,$0.04 ,True,,No data fetched for symbol DWSGF using YahooDailyReader,,,,,,,,,
DCBB,DCB Bancshares Inc,$25.25 ,True,,No data fetched for symbol DCBB using YahooDailyReader,,,,,,,,,
DCBF,DCB Financial Corp,$18.04 ,True,,'Date',,,,,,,,,
DCWRF,DCW Ltd,$2.10 ,True,,No data fetched for symbol DCWRF using YahooDailyReader,,,,,,,,,
DDMX,DD3 Acquisition Corp,$9.10 ,True,,No data fetched for symbol DDMX using YahooDailyReader,,,,,,,,,
DDDGY,DDD Group PLC,$0.01 ,True,,'Date',,,,,,,,,
DEMBF,DE Master Blenders 1753 NV,$16.80 ,True,,No data fetched for symbol DEMBF using YahooDailyReader,,,,,,,,,
MGQG,Deaf-Talk Inc,$0.02 ,True,,No data fetched for symbol MGQG using YahooDailyReader,,,,,,,,,
DBHSF,Debenhams PLC,$0.03 ,True,,No data fetched for symbol DBHSF using YahooDailyReader,,,,,,,,,
DPHAY,Dechra Pharmaceuticals PLC,$69.50 ,True,,No data fetched for symbol DPHAY using YahooDailyReader,,,,,,,,,
DSSPF,Deep Sea Supply PLC,$0.12 ,True,,No data fetched for symbol DSSPF using YahooDailyReader,,,,,,,,,
DEGA,Dega Technology Inc,$0.03 ,True,,'Date',,,,,,,,,
DEIX,DEI Holdings Inc,$4.51 ,True,,'Date',,,,,,,,,
DFRG,Del Frisco?s Restaurant Group Inc,$7.98 ,True,,No data fetched for symbol DFRG using YahooDailyReader,,,,,,,,,
PDMXY,Del Monte Pacific Ltd,$2.82 ,True,,No data fetched for symbol PDMXY using YahooDailyReader,,,,,,,,,
XXNCD,Del Taco Restaurant Properties I,$732.00 ,True,,No data fetched for symbol XXNCD using YahooDailyReader,,,,,,,,,
XXNCB,Del Taco Restaurant Properties II,$240.00 ,True,,'Date',,,,,,,,,
XXNCC,Del Taco Restaurant Properties III,$260.00 ,True,,'Date',,,,,,,,,
DTOR,Del Toro Silver Corp,$0.06 ,True,,'Date',,,,,,,,,
DBAI,Delaware Bancshares Inc,$16.76 ,True,,'Date',,,,,,,,,
DCLMF,Delclima SpA,$4.95 ,True,,No data fetched for symbol DCLMF using YahooDailyReader,,,,,,,,,
DEG,Delhaize Group SA,$28.11 ,True,,'Date',,,,,,,,,
DHLYF,Delhaize Group SA,$110.50 ,True,,'Date',,,,,,,,,
DLRVF,Delivra Corp,$0.33 ,True,,No data fetched for symbol DLRVF using YahooDailyReader,,,,,,,,,
DLHLY,Delong Holdings Ltd,$39.27 ,True,,No data fetched for symbol DLHLY using YahooDailyReader,,,,,,,,,
DLLLF,Delta Lloyd N.V,$5.91 ,True,,No data fetched for symbol DLLLF using YahooDailyReader,,,,,,,,,
DLLLY,Delta Lloyd N.V,$2.90 ,True,,No data fetched for symbol DLLLY using YahooDailyReader,,,,,,,,,
DEBC,Delta National Bancorp,$17.50 ,True,,'Date',,,,,,,,,
DGAS,Delta Natural Gas Co Inc,$30.69 ,True,,'Date',,,,,,,,,
DTOOF,Delticom AG,$53.55 ,True,,No data fetched for symbol DTOOF using YahooDailyReader,,,,,,,,,
DWRE,Demandware Inc,$74.97 ,True,,'Date',,,,,,,,,
DEQSF,DEQ Systems Corp,$0.29 ,True,,No data fetched for symbol DEQSF using YahooDailyReader,,,,,,,,,
DSCI,Derma Sciences Inc,$7.00 ,True,,'Date',,,,,,,,,
DMPHF,Dermapharm Holding SE,$30.57 ,True,,No data fetched for symbol DMPHF using YahooDailyReader,,,,,,,,,
DERM,Dermira Inc,$18.75 ,True,,No data fetched for symbol DERM using YahooDailyReader,,,,,,,,,
DHOXY,Desarrolladora Homex SAB de CV,$0.39 ,True,,'Date',,,,,,,,,
DSLEF,Desert Lion Energy Inc,$0.50 ,True,,No data fetched for symbol DSLEF using YahooDailyReader,,,,,,,,,
DSSHF,Design Hotels AG,$5.80 ,True,,No data fetched for symbol DSSHF using YahooDailyReader,,,,,,,,,
DTRM,Determine Inc,$0.18 ,True,,No data fetched for symbol DTRM using YahooDailyReader,,,,,,,,,
DRGDF,Detour Gold Corp,$17.50 ,True,,No data fetched for symbol DRGDF using YahooDailyReader,,,,,,,,,
DTRX,Detrex Corp,$26.77 ,True,,'Date',,,,,,,,,
DEUIF,Deutsche Industrie REIT-AG,$12.35 ,True,,No data fetched for symbol DEUIF using YahooDailyReader,,,,,,,,,
DEUPF,Deutsche Postbank AG,$39.19 ,True,,'Date',,,,,,,,,
DVNO,Devonshire Consolidated Inc,$0.01 ,True,,No data fetched for symbol DVNO using YahooDailyReader,,,,,,,,,
DXMMQ,Dex Media Inc,$0.01 ,True,,'Date',,,,,,,,,
DRMGF,DGO Gold Ltd,$0.91 ,True,,No data fetched for symbol DRMGF using YahooDailyReader,,,,,,,,,
DGGRF,DGR Global Ltd,$0.10 ,True,,No data fetched for symbol DGGRF using YahooDailyReader,,,,,,,,,
DGTC,DGT Holdings Corp,$18.25 ,True,,'Date',,,,,,,,,
DHIFF,DH Corp,$18.95 ,True,,'Date',,,,,,,,,
DGNOD,Diagnos Inc,$0.44 ,True,,No data fetched for symbol DGNOD using YahooDailyReader,,,,,,,,,
DIAOF,Diagnosticos da America SA,$0.05 ,True,,No data fetched for symbol DIAOF using YahooDailyReader,,,,,,,,,
DMND,Diamond Foods Inc,$37.56 ,True,,'Date',,,,,,,,,
DRII,Diamond Resorts International Inc,$30.22 ,True,,'Date',,,,,,,,,
DICCF,DIC Corp,$28.40 ,True,,No data fetched for symbol DICCF using YahooDailyReader,,,,,,,,,
DCOIF,Dicot AB,$0.47 ,True,,No data fetched for symbol DCOIF using YahooDailyReader,,,,,,,,,
WNXDF,Diebold Nixdorf AG,$68.10 ,True,,No data fetched for symbol WNXDF using YahooDailyReader,,,,,,,,,
WNXDY,Diebold Nixdorf AG,$13.03 ,True,,No data fetched for symbol WNXDY using YahooDailyReader,,,,,,,,,
DIGBF,Digi.com Bhd,$1.10 ,True,,No data fetched for symbol DIGBF using YahooDailyReader,,,,,,,,,
DDDA,Digital Day Agency Inc,$25.00 ,True,,No data fetched for symbol DDDA using YahooDailyReader,,,,,,,,,
DGOOF,Digital Globe Services Ltd,$0.70 ,True,,No data fetched for symbol DGOOF using YahooDailyReader,,,,,,,,,
DGI,DigitalGlobe Inc,$34.40 ,True,,'Date',,,,,,,,,
DMTX,Dimension Therapeutics Inc,$5.95 ,True,,'Date',,,,,,,,,
DYMEF,DionyMed Brands Inc,$0.02 ,True,,No data fetched for symbol DYMEF using YahooDailyReader,,,,,,,,,
DPLMF,Diploma PLC,$20.66 ,True,,No data fetched for symbol DPLMF using YahooDailyReader,,,,,,,,,
DPLO,Diplomat Pharmacy Inc,$4.00 ,True,,No data fetched for symbol DPLO using YahooDailyReader,,,,,,,,,
DRCHF,Direcional Engenharia SA,$2.07 ,True,,No data fetched for symbol DRCHF using YahooDailyReader,,,,,,,,,
DCVRF,Discovery Air Inc,$0.41 ,True,,No data fetched for symbol DCVRF using YahooDailyReader,,,,,,,,,
DHCPQ,Ditech Holding Corp,$0.09 ,True,,No data fetched for symbol DHCPQ using YahooDailyReader,,,,,,,,,
ILISF,Divergent Energy Services Corp,$0.19 ,True,,'Date',,,,,,,,,
DVSAF,Diversa Ltd,$0.58 ,True,,No data fetched for symbol DVSAF using YahooDailyReader,,,,,,,,,
SAUC,Diversified Restaurant Holdings Inc,$1.04 ,True,,No data fetched for symbol SAUC using YahooDailyReader,,,,,,,,,
DVTS,Diversified Thermal Solutions Inc,$0.01 ,True,,'Date',,,,,,,,,
DIZNF,Dizun International Enterprises Inc,$0.11 ,True,,No data fetched for symbol DIZNF using YahooDailyReader,,,,,,,,,
DKKGF,DKK Co Ltd,$30.15 ,True,,No data fetched for symbol DKKGF using YahooDailyReader,,,,,,,,,
DKSHY,DKSH Holding Ltd,$13.25 ,True,,No data fetched for symbol DKSHY using YahooDailyReader,,,,,,,,,
DMLYF,DKSH Holdings Malaysia Bhd,$0.05 ,True,,No data fetched for symbol DMLYF using YahooDailyReader,,,,,,,,,
DMCIF,DMCI Holdings Inc,$0.27 ,True,,'Date',,,,,,,,,
GDMOF,DMG Mori Aktiengesellschaft,$46.91 ,True,,No data fetched for symbol GDMOF using YahooDailyReader,,,,,,,,,
MRSKY,Dmg Mori Co Ltd,$15.00 ,True,,No data fetched for symbol MRSKY using YahooDailyReader,,,,,,,,,
DMXTY,DMX Technologies Group Ltd,$3.08 ,True,,No data fetched for symbol DMXTY using YahooDailyReader,,,,,,,,,
DNBF,DNB Financial Corp,$46.19 ,True,,No data fetched for symbol DNBF using YahooDailyReader,,,,,,,,,
BINDQ,DNIB Unwind Inc,$0.15 ,True,,'Date',,,,,,,,,
POFFF,DO Deutsche Office AG,$4.10 ,True,,No data fetched for symbol POFFF using YahooDailyReader,,,,,,,,,
DCMT,Document Capture Technologies Inc,$0.18 ,True,,'Date',,,,,,,,,
DOLNQ,Dolan Co,$0.06 ,True,,No data fetched for symbol DOLNQ using YahooDailyReader,,,,,,,,,
FOEAY,Dolphin Drilling ASA,$0.04 ,True,,No data fetched for symbol FOEAY using YahooDailyReader,,,,,,,,,
DOLPF,Dolphin Group ASA,$0.08 ,True,,No data fetched for symbol DOLPF using YahooDailyReader,,,,,,,,,
SECZF,DOM Security SA,$39.65 ,True,,No data fetched for symbol SECZF using YahooDailyReader,,,,,,,,,
DDC,Dominion Diamond Corp,$14.24 ,True,,'Date',,,,,,,,,
DCUA,Dominion Energy Inc,$58.65 ,True,,No data fetched for symbol DCUA using YahooDailyReader,,,,,,,,,
DCUB,Dominion Energy Inc,$60.10 ,True,,No data fetched for symbol DCUB using YahooDailyReader,,,,,,,,,
DCUC,Dominion Energy Inc,$47.80 ,True,,No data fetched for symbol DCUC using YahooDailyReader,,,,,,,,,
DNGFF,Dongfang Electric Corp Ltd,$0.76 ,True,,No data fetched for symbol DNGFF using YahooDailyReader,,,,,,,,,
DNGH,Dongsheng Pharmaceutical International Co Ltd,$0.01 ,True,,No data fetched for symbol DNGH using YahooDailyReader,,,,,,,,,
DNGYF,Dongyue Group Ltd,$0.26 ,True,,No data fetched for symbol DNGYF using YahooDailyReader,,,,,,,,,
DRYYF,Doray Minerals Ltd,$0.23 ,True,,No data fetched for symbol DRYYF using YahooDailyReader,,,,,,,,,
DRLAF,Dorel Industries Inc,$27.82 ,True,,'Date',,,,,,,,,
HILL,Dot Hill Systems Corp,$9.75 ,True,,'Date',,,,,,,,,
DDCC,Double Crown Resources Inc,$0.01 ,True,,'Date',,,,,,,,,
DOVA,Dova Pharmaceuticals Inc,$28.04 ,True,,No data fetched for symbol DOVA using YahooDailyReader,,,,,,,,,
DDE,Dover Downs Gaming & Entertainment Inc,$2.64 ,True,,No data fetched for symbol DDE using YahooDailyReader,,,,,,,,,
DNERF,Downer EDI Ltd,$5.20 ,True,,No data fetched for symbol DNERF using YahooDailyReader,,,,,,,,,
DNERY,Downer EDI Ltd,$14.90 ,True,,No data fetched for symbol DNERY using YahooDailyReader,,,,,,,,,
DGBMF,DRAGON BRIGHT MINTAI BOTANICAL TECHNOLOGY (CAYMAN),$0.13 ,True,,No data fetched for symbol DGBMF using YahooDailyReader,,,,,,,,,
DRAGF,Dragon Oil PLC,$12.00 ,True,,'Date',,,,,,,,,
DRAGY,Dragon Oil PLC,$10.00 ,True,,No data fetched for symbol DRAGY using YahooDailyReader,,,,,,,,,
DRWIQ,DragonWave Inc,$0.03 ,True,,No data fetched for symbol DRWIQ using YahooDailyReader,,,,,,,,,
DOTA,Draper Oakwood Technology Acquisition Inc,$5.13 ,True,,'Date',,,,,,,,,
DUNDF,Dream Global Real Estate Investment Trust,$12.71 ,True,,No data fetched for symbol DUNDF using YahooDailyReader,,,,,,,,,
DWA,Dreamworks Animation SKG Inc,$40.97 ,True,,'Date',,,,,,,,,
DRLLF,Drillsearch Energy Ltd,$0.35 ,True,,'Date',,,,,,,,,
DRYS,DryShips Inc,$5.24 ,True,,No data fetched for symbol DRYS using YahooDailyReader,,,,,,,,,
DSFN,DSA Financial Corp,$13.49 ,True,,No data fetched for symbol DSFN using YahooDailyReader,,,,,,,,,
DSGLF,DSG International (Thailand) PLC,$0.14 ,True,,No data fetched for symbol DSGLF using YahooDailyReader,,,,,,,,,
DTSI,DTS Inc,$42.52 ,True,,'Date',,,,,,,,,
DKGDF,Dukang Distillers Holdings Ltd,$0.25 ,True,,No data fetched for symbol DKGDF using YahooDailyReader,,,,,,,,,
DULUF,DuluxGroup Ltd,$6.85 ,True,,No data fetched for symbol DULUF using YahooDailyReader,,,,,,,,,
DUNIF,Duni AB,$12.40 ,True,,No data fetched for symbol DUNIF using YahooDailyReader,,,,,,,,,
DGWIY,Duoyuan Global Water Inc,$0.04 ,True,,'Date',,,,,,,,,
DXXSF,DXStorm.com Inc,$0.02 ,True,,'Date',,,,,,,,,
DYAX,Dyax Corp,$38.41 ,True,,'Date',,,,,,,,,
DYDIF,DyDo Drinco Inc,$40.85 ,True,,'Date',,,,,,,,,
DYII,Dynacq Healthcare Inc,$0.03 ,True,,No data fetched for symbol DYII using YahooDailyReader,,,,,,,,,
DJPHF,DYNAM JAPAN HOLDINGS Co Ltd,$1.28 ,True,,No data fetched for symbol DJPHF using YahooDailyReader,,,,,,,,,
DYCZF,Dynasty Ceramic PCL,$0.12 ,True,,No data fetched for symbol DYCZF using YahooDailyReader,,,,,,,,,
DYTM,Dynatem Inc,$0.80 ,True,,'Date',,,,,,,,,
