symbol,company,price,ignore,ignore_error,start_yr,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs
CAOBF,Can-One Bhd,$0.81 ,TRUE,No data fetched for symbol CAOBF using YahooDailyReader,,,,,
CDARF,Canadian Arrow Mines Ltd,$0.01 ,TRUE,No data fetched for symbol CDARF using YahooDailyReader,,,,,
BPCOD,Canadian International Pharma Corp,$0.14 ,TRUE,No data fetched for symbol BPCOD using YahooDailyReader,,,,,
COSWF,Canadian Oil Sands Ltd,$7.54 ,TRUE,'Date',,,,,
CQUTF,Canadian Quantum Energy Corp,$0.04 ,TRUE,No data fetched for symbol CQUTF using YahooDailyReader,,,,,
CRDUF,Canadian Resources Income Trust,$5.70 ,TRUE,No data fetched for symbol CRDUF using YahooDailyReader,,,,,
CNMGF,Canam Group Inc,$9.45 ,TRUE,No data fetched for symbol CNMGF using YahooDailyReader,,,,,
DTEYF,Canamax Energy Ltd,$0.45 ,TRUE,'Date',,,,,
CNCXY,CANCOM SE,$10.00 ,TRUE,No data fetched for symbol CNCXY using YahooDailyReader,,,,,
CXUSF,Canexus Corp,$1.20 ,TRUE,No data fetched for symbol CXUSF using YahooDailyReader,,,,,
CMMDF,CanniMed Therapeutics Inc,$20.99 ,TRUE,No data fetched for symbol CMMDF using YahooDailyReader,,,,,
CPOTF,Cannon Point Resources Ltd,$0.08 ,TRUE,No data fetched for symbol CPOTF using YahooDailyReader,,,,,
CAMJF,Canon Marketing Japan Inc,$14.29 ,TRUE,No data fetched for symbol CAMJF using YahooDailyReader,,,,,
CTBO,Cantabio Pharmaceuticals Inc,$0.01 ,TRUE,No data fetched for symbol CTBO using YahooDailyReader,,,,,
CYSVF,Canyon Services Group Inc,$5.06 ,TRUE,No data fetched for symbol CYSVF using YahooDailyReader,,,,,
CBNJ,Cape Bancorp Inc,$14.59 ,TRUE,'Date',,,,,
CPVVF,Capevin Holdings Ltd,$0.63 ,TRUE,No data fetched for symbol CPVVF using YahooDailyReader,,,,,
CPQHF,Capilano Honey Ltd,$14.05 ,TRUE,No data fetched for symbol CPQHF using YahooDailyReader,,,,,
CRPLF,Capital & Regional PLC,$4.80 ,TRUE,No data fetched for symbol CRPLF using YahooDailyReader,,,,,
CBJC,Capital Bank (San Juan Capistrano CA),$34.00 ,TRUE,No data fetched for symbol CBJC using YahooDailyReader,,,,,
CBF,Capital Bank Financial Corp,$41.75 ,TRUE,'Date',,,,,
CANJ,Capital Bank New Jersey,$30.00 ,TRUE,No data fetched for symbol CANJ using YahooDailyReader,,,,,
CCMB,Capital Commerce Bancorp Inc,$4.75 ,TRUE,No data fetched for symbol CCMB using YahooDailyReader,,,,,
CPOYF,CapMan Oyj,$1.33 ,TRUE,'Date',,,,,
MCQPF,Capstone Infrastructure Corp,$3.89 ,TRUE,No data fetched for symbol MCQPF using YahooDailyReader,,,,,
CRCRF,CAR Inc,$0.86 ,TRUE,No data fetched for symbol CRCRF using YahooDailyReader,,,,,
CRMGF,Car Mate Mfg Co Ltd,$5.16 ,TRUE,No data fetched for symbol CRMGF using YahooDailyReader,,,,,
CKMY,Car Monkeys Group,$0.03 ,TRUE,No data fetched for symbol CKMY using YahooDailyReader,,,,,
APXZF,Carasent ASA,$0.15 ,TRUE,'Date',,,,,
SLEOY,Carboclor SA,$0.05 ,TRUE,No data fetched for symbol SLEOY using YahooDailyReader,,,,,
CBLK,Carbon Black Inc,$26.00 ,TRUE,No data fetched for symbol CBLK using YahooDailyReader,,,,,
CNXAY,Carbon Energy Ltd,$0.19 ,TRUE,No data fetched for symbol CNXAY using YahooDailyReader,,,,,
CARB,Carbonite Inc,$22.98 ,TRUE,No data fetched for symbol CARB using YahooDailyReader,,,,,
CABUF,Carbures Europe SA,$0.60 ,TRUE,No data fetched for symbol CABUF using YahooDailyReader,,,,,
CCN,CardConnect Corp,$15.05 ,TRUE,'Date',,,,,
CDBK,Cardinal Bankshares Corp,$9.70 ,TRUE,'Date',,,,,
GDVRF,Cardinal Capital Partners Inc,$0.01 ,TRUE,No data fetched for symbol GDVRF using YahooDailyReader,,,,,
CFNL,Cardinal Financial Corp,$29.04 ,TRUE,'Date',,,,,
CRCM,Care.com Inc,$15.00 ,TRUE,No data fetched for symbol CRCM using YahooDailyReader,,,,,
CRYW,Carey Watermark Investors Inc,$8.00 ,TRUE,'Date',,,,,
CGGJF,Cargojet Inc,$63.80 ,TRUE,No data fetched for symbol CGGJF using YahooDailyReader,,,,,
CIOIY,Carillion PLC,$0.42 ,TRUE,No data fetched for symbol CIOIY using YahooDailyReader,,,,,
CGJCF,Carlisle Gold Fields Ltd,$0.36 ,TRUE,No data fetched for symbol CGJCF using YahooDailyReader,,,,,
CMHXF,Carmanah Technologies Corp,$5.52 ,TRUE,No data fetched for symbol CMHXF using YahooDailyReader,,,,,
CKMTF,Carmat,$24.89 ,TRUE,No data fetched for symbol CKMTF using YahooDailyReader,,,,,
CKEC,Carmike Cinemas Inc,$33.40 ,TRUE,'Date',,,,,
CRLN,Carolina Alliance Bank,$12.06 ,TRUE,No data fetched for symbol CRLN using YahooDailyReader,,,,,
CLBH,Carolina Bank Holdings Inc,$27.99 ,TRUE,'Date',,,,,
CARO,Carolina Financial Corp,$32.88 ,TRUE,No data fetched for symbol CARO using YahooDailyReader,,,,,
CART,Carolina Trust BancShares Inc,$13.05 ,TRUE,No data fetched for symbol CART using YahooDailyReader,,,,,
CRPL,Carolyn River Projects Ltd,$0.01 ,TRUE,'Date',,,,,
CGHXF,Carpetright PLC,$3.13 ,TRUE,'Date',,,,,
CMLZF,Carr?s Group PLC,$25.00 ,TRUE,'Date',,,,,
CUAU,Casablanca Mining Ltd,$0.01 ,TRUE,No data fetched for symbol CUAU using YahooDailyReader,,,,,
CACB,Cascade Bancorp,$6.99 ,TRUE,'Date',,,,,
CSCD,Cascade Microtech Inc,$21.86 ,TRUE,'Date',,,,,
CSH,Cash America International Inc,$42.20 ,TRUE,'Date',,,,,
CKKIF,Cash Converters International Ltd,$0.50 ,TRUE,'Date',,,,,
YBET,Casinolive.com Corp,$0.01 ,TRUE,'Date',,,,,
ROX,Castle Brands Inc,$1.26 ,TRUE,No data fetched for symbol ROX using YahooDailyReader,,,,,
CUNCF,Castle Resources Inc,$0.15 ,TRUE,'Date',,,,,
CATXF,Catalyst Copper Corp,$0.42 ,TRUE,No data fetched for symbol CATXF using YahooDailyReader,,,,,
CLYMF,Catalyst Media Group PLC,$1.17 ,TRUE,'Date',,,,,
CYSTQ,Catalyst Paper Corp,$0.49 ,TRUE,No data fetched for symbol CYSTQ using YahooDailyReader,,,,,
CUVMF,Cautivo Mining Inc,$0.07 ,TRUE,No data fetched for symbol CUVMF using YahooDailyReader,,,,,
BSNRF,CB Cardio Holdings II Ltd,$0.59 ,TRUE,No data fetched for symbol BSNRF using YahooDailyReader,,,,,
BSNRY,CB Cardio Holdings II Ltd,$12.37 ,TRUE,'Date',,,,,
CBFA,CB Financial Corporation,$0.21 ,TRUE,No data fetched for symbol CBFA using YahooDailyReader,,,,,
CBPJ,CBP Carbon Industries Inc,$0.06 ,TRUE,No data fetched for symbol CBPJ using YahooDailyReader,,,,,
CBRAF,CBR Brewing Co Inc,$0.01 ,TRUE,'Date',,,,,
CZYB,CCB Bankshares Inc,$11.70 ,TRUE,'Date',,,,,
CCXXF,CCX Carvao da Colombia SA,$0.27 ,TRUE,No data fetched for symbol CCXXF using YahooDailyReader,,,,,
CDI,CDI Corp,$8.20 ,TRUE,'Date',,,,,
CLNZF,CDL Investments New Zealand Ltd,$0.25 ,TRUE,No data fetched for symbol CLNZF using YahooDailyReader,,,,,
CDWHF,CDW Holding Ltd,$0.13 ,TRUE,No data fetched for symbol CDWHF using YahooDailyReader,,,,,
CECBQ,Cecil Bancorp Inc,$0.02 ,TRUE,'Date',,,,,
CGSH,CEFC Global Strategic Holdings Inc,$0.65 ,TRUE,No data fetched for symbol CGSH using YahooDailyReader,,,,,
CGEEF,Cegereal,$36.74 ,TRUE,'Date',,,,,
CBGYF,Ceiba Energy Services Inc,$0.12 ,TRUE,No data fetched for symbol CBGYF using YahooDailyReader,,,,,
CPXX,Celator Pharmaceuticals Inc,$30.24 ,TRUE,'Date',,,,,
CLLCF,CellCura ASA,$0.06 ,TRUE,No data fetched for symbol CLLCF using YahooDailyReader,,,,,
CLLVF,Cellnovo Group SA,$4.31 ,TRUE,No data fetched for symbol CLLVF using YahooDailyReader,,,,,
CELSF,Celsius Resources Ltd,$0.01 ,TRUE,No data fetched for symbol CELSF using YahooDailyReader,,,,,
CMTRY,Cementos Argos S.A.,$21.85 ,TRUE,No data fetched for symbol CMTRY using YahooDailyReader,,,,,
CMTSY,Cementos Argos S.A.,$15.14 ,TRUE,No data fetched for symbol CMTSY using YahooDailyReader,,,,,
CELKF,Cemtas Celik Makina Sanayi Ve Ticaret AS,$1.01 ,TRUE,No data fetched for symbol CELKF using YahooDailyReader,,,,,
CENBF,CEN Biotech Inc,$2.05 ,TRUE,No data fetched for symbol CENBF using YahooDailyReader,,,,,
CNCOY,Cencosud SA,$7.81 ,TRUE,'Date',,,,,
CTTZF,Centaurus Metals Ltd,$0.08 ,TRUE,'Date',,,,,
CNBC,Center Bancorp Inc,$19.23 ,TRUE,'Date',,,,,
CENP,Centerpointe Community Bank,$12.55 ,TRUE,'Date',,,,,
CSFL,CenterState Bank Corp,$18.14 ,TRUE,No data fetched for symbol CSFL using YahooDailyReader,,,,,
EBR.B,Centrais Eletricas Brasileiras SA,$6.21 ,TRUE,No data fetched for symbol EBR.B using YahooDailyReader,,,,,
CEDWY,Centrais Eletricas de Santa Catarina SA,$4.15 ,TRUE,'Date',,,,,
CFDB,Central Federal Bancshares Inc,$15.70 ,TRUE,No data fetched for symbol CFDB using YahooDailyReader,,,,,
GTU,Central Gold-Trust,$39.42 ,TRUE,'Date',,,,,
CPPBY,Central Pattana PCL,$22.88 ,TRUE,No data fetched for symbol CPPBY using YahooDailyReader,,,,,
CRGDF,Central Rand Gold Ltd,$0.03 ,TRUE,No data fetched for symbol CRGDF using YahooDailyReader,,,,,
CTEUY,Centrenergo PJSC,$40.37 ,TRUE,No data fetched for symbol CTEUY using YahooDailyReader,,,,,
CTTTF,Centrex Metals Ltd,$0.07 ,TRUE,No data fetched for symbol CTTTF using YahooDailyReader,,,,,
CENEF,Centron Telecom International Holding Ltd,$0.06 ,TRUE,No data fetched for symbol CENEF using YahooDailyReader,,,,,
CPHVF,Centrotherm international AG,$2.89 ,TRUE,No data fetched for symbol CPHVF using YahooDailyReader,,,,,
CFCB,Centrue Financial Corp,$27.73 ,TRUE,'Date',,,,,
CNBKB,Century Bancorp Inc,$40.32 ,TRUE,No data fetched for symbol CNBKB using YahooDailyReader,,,,,
CEYFF,Century Energy Ltd,$0.05 ,TRUE,No data fetched for symbol CEYFF using YahooDailyReader,,,,,
CPHD,Cepheid,$52.95 ,TRUE,'Date',,,,,
CEQXF,Cequence Energy Ltd,$0.10 ,TRUE,No data fetched for symbol CEQXF using YahooDailyReader,,,,,
CVMTF,Cerved Group SpA,$7.61 ,TRUE,'Date',,,,,
CESDY,CESP - Cia Energetica de Sao Paulo,$5.70 ,TRUE,No data fetched for symbol CESDY using YahooDailyReader,,,,,
CESJF,CESP - Cia Energetica de Sao Paulo,$3.01 ,TRUE,'Date',,,,,
CSQSY,CESP - Cia Energetica de Sao Paulo,$6.95 ,TRUE,No data fetched for symbol CSQSY using YahooDailyReader,,,,,
CTBPF,CETIP SA Mercados Organizados,$11.91 ,TRUE,No data fetched for symbol CTBPF using YahooDailyReader,,,,,
CHHVF,Ceva Holdings LLC,$475.00 ,TRUE,No data fetched for symbol CHHVF using YahooDailyReader,,,,,
CVLGF,CEVA Logistics AG,$29.95 ,TRUE,No data fetched for symbol CVLGF using YahooDailyReader,,,,,
CEZZY,CEZ a.s,$16.60 ,TRUE,No data fetched for symbol CEZZY using YahooDailyReader,,,,,
CPGXF,CFAO,$40.83 ,TRUE,No data fetched for symbol CPGXF using YahooDailyReader,,,,,
CGNMF,CGN Mining Co Ltd,$0.02 ,TRUE,No data fetched for symbol CGNMF using YahooDailyReader,,,,,
CKPCF,CH. Karnchang PCL,$0.71 ,TRUE,No data fetched for symbol CKPCF using YahooDailyReader,,,,,
CCMS,Champion Communication Services Inc,$0.01 ,TRUE,No data fetched for symbol CCMS using YahooDailyReader,,,,,
CGMOF,Changmao Biochemical Engineering Co Ltd,$0.21 ,TRUE,No data fetched for symbol CGMOF using YahooDailyReader,,,,,
CYOU,Changyou.com Ltd,$10.74 ,TRUE,No data fetched for symbol CYOU using YahooDailyReader,,,,,
BURG,Chanticleer Holdings Inc,$0.34 ,TRUE,No data fetched for symbol BURG using YahooDailyReader,,,,,
CHHP,Chaparral Energy Inc,$15.50 ,TRUE,No data fetched for symbol CHHP using YahooDailyReader,,,,,
CNLMF,Charlemagne Capital Ltd,$0.16 ,TRUE,'Date',,,,,
CHTYF,Charles Taylor PLC,$3.90 ,TRUE,No data fetched for symbol CHTYF using YahooDailyReader,,,,,
CPOKY,Charoen Pokphand Foods PCL,$3.35 ,TRUE,No data fetched for symbol CPOKY using YahooDailyReader,,,,,
CPOUF,Charoen Pokphand Foods PCL,$0.85 ,TRUE,No data fetched for symbol CPOUF using YahooDailyReader,,,,,
CTAC,ChaSerg Technology Acquisition Corp,$12.00 ,TRUE,No data fetched for symbol CTAC using YahooDailyReader,,,,,
CHAA,chatAND Inc,$0.03 ,TRUE,No data fetched for symbol CHAA using YahooDailyReader,,,,,
CKP,Checkpoint Systems Inc,$10.14 ,TRUE,'Date',,,,,
CHEM,Chemicorp International Inc,$0.09 ,TRUE,No data fetched for symbol CHEM using YahooDailyReader,,,,,
CLRGF,Chemoil Energy Ltd,$0.28 ,TRUE,No data fetched for symbol CLRGF using YahooDailyReader,,,,,
CHMT,Chemtura Corp,$33.50 ,TRUE,'Date',,,,,
CHRHF,Chernogorneft PJSC,$0.81 ,TRUE,No data fetched for symbol CHRHF using YahooDailyReader,,,,,
CHSP,Chesapeake Lodging Trust,$27.17 ,TRUE,No data fetched for symbol CHSP using YahooDailyReader,,,,,
CSNRF,Chesnara PLC,$5.09 ,TRUE,'Date',,,,,
CHEV,Cheviot Financial Corp,$15.01 ,TRUE,'Date',,,,,
CGMVF,Chiang Mai Ram Medical Business PCL,$5.36 ,TRUE,No data fetched for symbol CGMVF using YahooDailyReader,,,,,
CGMFF,Chiangmai Frozen Foods PCL,$0.11 ,TRUE,No data fetched for symbol CGMFF using YahooDailyReader,,,,,
LVEN,Chile Mining Technologies Inc,$0.01 ,TRUE,No data fetched for symbol LVEN using YahooDailyReader,,,,,
CICPF,Chime Communications PLC,$5.46 ,TRUE,No data fetched for symbol CICPF using YahooDailyReader,,,,,
CNKEF,Chinook Energy Inc,$0.05 ,TRUE,No data fetched for symbol CNKEF using YahooDailyReader,,,,,
CHSEF,Chip Eng Seng Corp Ltd,$0.42 ,TRUE,No data fetched for symbol CHSEF using YahooDailyReader,,,,,
IGHOF,Chiron Refineries Ltd,$0.28 ,TRUE,No data fetched for symbol IGHOF using YahooDailyReader,,,,,
CBKW,Choice Bancorp Inc,$34.60 ,TRUE,No data fetched for symbol CBKW using YahooDailyReader,,,,,
CGHBF,Chong Hing Bank Ltd,$1.80 ,TRUE,No data fetched for symbol CGHBF using YahooDailyReader,,,,,
COGQF,Chongqing Rural Commercial Bank Co Ltd,$0.56 ,TRUE,No data fetched for symbol COGQF using YahooDailyReader,,,,,
CRCBY,Chongqing Rural Commercial Bank Co Ltd,$24.58 ,TRUE,No data fetched for symbol CRCBY using YahooDailyReader,,,,,
CRHVF,Chorus Aviation Inc,$4.82 ,TRUE,No data fetched for symbol CRHVF using YahooDailyReader,,,,,
CCEAF,CHORUS Clean Energy AG,$11.10 ,TRUE,No data fetched for symbol CCEAF using YahooDailyReader,,,,,
CBUPF,Chubu-Nippon Broadcasting Co Ltd,$5.80 ,TRUE,No data fetched for symbol CBUPF using YahooDailyReader,,,,,
CUGKF,Chugoku Marine Paints Ltd,$4.60 ,TRUE,No data fetched for symbol CUGKF using YahooDailyReader,,,,,
CLHMF,Churchill Mining PLC,$0.34 ,TRUE,No data fetched for symbol CLHMF using YahooDailyReader,,,,,
COELF,CIA Energetica Do Ceara - COELCE,$16.27 ,TRUE,No data fetched for symbol COELF using YahooDailyReader,,,,,
HRTSF,CIA Hering SA,$6.43 ,TRUE,No data fetched for symbol HRTSF using YahooDailyReader,,,,,
CIMGF,CIC Capital Ltd,$0.05 ,TRUE,No data fetched for symbol CIMGF using YahooDailyReader,,,,,
CEBNF,Cie Lebon SA,$168.00 ,TRUE,'Date',,,,,
CIFC,CIFC LLC,$11.40 ,TRUE,'Date',,,,,
CFSEF,CIMC-TianDa Holdings Co Ltd,$0.05 ,TRUE,'Date',,,,,
CIRPF,CIR Compagnie Industriali Riunite SpA,$1.11 ,TRUE,No data fetched for symbol CIRPF using YahooDailyReader,,,,,
CGHA,Ciralight Global Inc,$0.20 ,TRUE,'Date',,,,,
CIOMF,Circle Oil PLC,$0.02 ,TRUE,'Date',,,,,
CPPTF,Circle Property PLC,$2.29 ,TRUE,No data fetched for symbol CPPTF using YahooDailyReader,,,,,
LRTYY,Cirrus Networks Holdings Ltd,$1.74 ,TRUE,No data fetched for symbol LRTYY using YahooDailyReader,,,,,
LYRTF,Cirrus Networks Holdings Ltd,$0.02 ,TRUE,No data fetched for symbol LYRTF using YahooDailyReader,,,,,
CISN,Cision Ltd,$9.99 ,TRUE,No data fetched for symbol CISN using YahooDailyReader,,,,,
CBTH,Citizens B & T Holdings Inc,$15.50 ,TRUE,No data fetched for symbol CBTH using YahooDailyReader,,,,,
CZMO,Citizens Bank Logan,$105.00 ,TRUE,'Date',,,,,
CTBS,Citizens Bankshares Inc,$29.24 ,TRUE,No data fetched for symbol CTBS using YahooDailyReader,,,,,
CZFC,Citizens First Corp,$25.68 ,TRUE,No data fetched for symbol CZFC using YahooDailyReader,,,,,
CZID,Citizens Independent Bancorp Inc,$48.00 ,TRUE,No data fetched for symbol CZID using YahooDailyReader,,,,,
CZNS,Citizens National Bank (Sevierville TN),$37.00 ,TRUE,'Date',,,,,
CYN,City National Corp,$89.60 ,TRUE,'Date',,,,,
CFHLF,CityFibre Infrastructure Holdings PLC,$1.07 ,TRUE,No data fetched for symbol CFHLF using YahooDailyReader,,,,,
CNHDF,Cityneon Holdings Ltd,S$ 0.14,TRUE,No data fetched for symbol CNHDF using YahooDailyReader,,,,,
CIVI,Civitas Solutions Inc,$17.76 ,TRUE,No data fetched for symbol CIVI using YahooDailyReader,,,,,
CLALF,Clal Biotechnology Industries Ltd,$16.30 ,TRUE,No data fetched for symbol CLALF using YahooDailyReader,,,,,
CKFC,Clarkston Financial Corp,$10.45 ,TRUE,No data fetched for symbol CKFC using YahooDailyReader,,,,,
CLAT,Clatsop Community Bank,$12.50 ,TRUE,No data fetched for symbol CLAT using YahooDailyReader,,,,,
CLGRF,Claude Resources Inc,$1.91 ,TRUE,'Date',,,,,
CWEI,Clayton Williams Energy Inc,$131.90 ,TRUE,'Date',,,,,
CAPWF,Clean Air Power Ltd,$0.03 ,TRUE,No data fetched for symbol CAPWF using YahooDailyReader,,,,,
CLNZ,Clean Transportation Group Inc,$0.07 ,TRUE,No data fetched for symbol CLNZ using YahooDailyReader,,,,,
CTSRF,ClearStar Inc,$0.58 ,TRUE,No data fetched for symbol CTSRF using YahooDailyReader,,,,,
CWEN.A,Clearway Energy Inc,$27.85 ,TRUE,No data fetched for symbol CWEN.A using YahooDailyReader,,,,,
CNL,Cleco Corp,$55.36 ,TRUE,'Date',,,,,
CLIN,Cleopatra International Group Inc,$5.47 ,TRUE,No data fetched for symbol CLIN using YahooDailyReader,,,,,
CLVMF,Cleveland Mining Co Ltd,$0.05 ,TRUE,No data fetched for symbol CLVMF using YahooDailyReader,,,,,
CLV,Cleveland-Cliffs Inc,$1.43 ,TRUE,'Date',,,,,
CLMDY,Club Mediterranee SA,$5.10 ,TRUE,'Date',,,,,
MYCC,ClubCorp Holdings Inc,$17.10 ,TRUE,'Date',,,,,
CMBVF,CMMB Vision Holdings Ltd,$0.03 ,TRUE,No data fetched for symbol CMBVF using YahooDailyReader,,,,,
CXXMF,CMX Gold & Silver Corp,$0.02 ,TRUE,No data fetched for symbol CXXMF using YahooDailyReader,,,,,
CBFCA,CNB Financial Services Inc,$50.38 ,TRUE,No data fetched for symbol CBFCA using YahooDailyReader,,,,,
ALFE,CNK Global Inc,$1.00 ,TRUE,'Date',,,,,
CNGW,CNL Growth Properties Inc,$0.10 ,TRUE,'Date',,,,,
CLLY,CNL Lifestyle Properties Inc,$1.65 ,TRUE,'Date',,,,,
CNLB,CNLBancshares Inc,$7.80 ,TRUE,No data fetched for symbol CNLB using YahooDailyReader,,,,,
COOBF,Co-operative Bank PLC,$2.26 ,TRUE,No data fetched for symbol COOBF using YahooDailyReader,,,,,
CTBP,Coast Bancorp,$2.06 ,TRUE,'Date',,,,,
GPGRF,Coats Group PLC,$1.13 ,TRUE,No data fetched for symbol GPGRF using YahooDailyReader,,,,,
CBLLF,Cobalt 27 Capital Corp,$3.37 ,TRUE,No data fetched for symbol CBLLF using YahooDailyReader,,,,,
BNCIF,CobalTech Mining Inc,$0.24 ,TRUE,No data fetched for symbol BNCIF using YahooDailyReader,,,,,
CBHMF,Cobham PLC,$2.95 ,TRUE,No data fetched for symbol CBHMF using YahooDailyReader,,,,,
CBHMY,Cobham PLC,$4.49 ,TRUE,No data fetched for symbol CBHMY using YahooDailyReader,,,,,
COLAY,Coca Cola Icecek AS,$5.49 ,TRUE,No data fetched for symbol COLAY using YahooDailyReader,,,,,
COJPF,Coca-Cola East Japan Co Ltd,$21.48 ,TRUE,No data fetched for symbol COJPF using YahooDailyReader,,,,,
CDTTF,Codon AG,$2.21 ,TRUE,No data fetched for symbol CDTTF using YahooDailyReader,,,,,
CFMOF,Cofinimmo SA/NV,$117.75 ,TRUE,'Date',,,,,
CMMRF,COIMA RES SpA,$8.71 ,TRUE,No data fetched for symbol CMMRF using YahooDailyReader,,,,,
CKALF,Cokal Ltd,$0.04 ,TRUE,No data fetched for symbol CKALF using YahooDailyReader,,,,,
CSTU,ColorStars Group,$0.25 ,TRUE,No data fetched for symbol CSTU using YahooDailyReader,,,,,
CLHLF,Coltene Holding AG,$86.00 ,TRUE,No data fetched for symbol CLHLF using YahooDailyReader,,,,,
CLCD,CoLucid Pharmaceuticals Inc,$46.53 ,TRUE,'Date',,,,,
CPGX,Columbia Pipeline Group Inc,$25.49 ,TRUE,'Date',,,,,
CPPL,Columbia Pipeline Partners LP,$17.15 ,TRUE,'Date',,,,,
COLOF,Columbus A/S,$1.30 ,TRUE,No data fetched for symbol COLOF using YahooDailyReader,,,,,
CCBK,Columbus Community Bank,$3.00 ,TRUE,No data fetched for symbol CCBK using YahooDailyReader,,,,,
EMNGF,Columbus Copper Corp,$0.02 ,TRUE,No data fetched for symbol EMNGF using YahooDailyReader,,,,,
CLMBF,Columbus Energy Ltd,$0.12 ,TRUE,No data fetched for symbol CLMBF using YahooDailyReader,,,,,
LNGSF,Columbus Energy Resources PLC,$0.03 ,TRUE,No data fetched for symbol LNGSF using YahooDailyReader,,,,,
CDVIF,COM DEV International Ltd,$4.21 ,TRUE,'Date',,,,,
CMHMY,Com Hem Holding AB,$8.80 ,TRUE,No data fetched for symbol CMHMY using YahooDailyReader,,,,,
CLVVF,Com Hem Holding AB,$17.50 ,TRUE,No data fetched for symbol CLVVF using YahooDailyReader,,,,,
CMRO,Comarco Inc,$0.02 ,TRUE,No data fetched for symbol CMRO using YahooDailyReader,,,,,
CBMX,CombiMatrix Corp,$6.25 ,TRUE,'Date',,,,,
CMCSK,Comcast Corp,$58.00 ,TRUE,'Date',,,,,
CDCO,Comdisco Holding Co Inc,$4.55 ,TRUE,'Date',,,,,
CHLDF,Comet Holding AG,$705.00 ,TRUE,No data fetched for symbol CHLDF using YahooDailyReader,,,,,
COMRF,Comet Ridge Ltd,$0.05 ,TRUE,No data fetched for symbol COMRF using YahooDailyReader,,,,,
MOC,Command Security Corp,$2.85 ,TRUE,No data fetched for symbol MOC using YahooDailyReader,,,,,
CKTM,Commerce Bank of Temecula Valley CA,$14.15 ,TRUE,No data fetched for symbol CKTM using YahooDailyReader,,,,,
CHUBK,CommerceHub Inc,$22.74 ,TRUE,No data fetched for symbol CHUBK using YahooDailyReader,,,,,
CHUBB,CommerceHub Inc,$22.61 ,TRUE,No data fetched for symbol CHUBB using YahooDailyReader,,,,,
CMOH,Commercial Bancshares Inc,$54.00 ,TRUE,'Date',,,,,
CCAQ,Committed Capital Acquisition Corp II,$3.50 ,TRUE,No data fetched for symbol CCAQ using YahooDailyReader,,,,,
CBAUY,Commonwealth Bank of Australia,$0.02 ,TRUE,No data fetched for symbol CBAUY using YahooDailyReader,,,,,
