,symbol,company,price,ignore,schedule,start_yr,ignore_error
131,AUAYF,Adanac Molybdenum Corp,$0.13 ,TRUE,,,No data fetched for symbol AUAYF using YahooDailyReader
132,AIHLF,Adcock Ingram Holdings Ltd,$4.31 ,TRUE,,,No data fetched for symbol AIHLF using YahooDailyReader
135,ADDNF,Addnode Group AB,$5.80 ,TRUE,,,No data fetched for symbol ADDNF using YahooDailyReader
141,ADPAN,Adelphia Recovery Trust,$0.01 ,TRUE,,,No data fetched for symbol ADPAN using YahooDailyReader
142,ADEP,Adept Technology Inc,$12.98 ,TRUE,,,'Date'
143,ADPTQ,Adeptus Health Inc,$1.22 ,TRUE,,,'Date'
144,ADRNF,Aderans Co Ltd,$5.42 ,TRUE,,,'Date'
145,MKPEF,Adevinta ASA,$11.80 ,TRUE,,,No data fetched for symbol MKPEF using YahooDailyReader
151,ABWAF,Aditya Birla Minerals Ltd,$0.20 ,TRUE,,,No data fetched for symbol ABWAF using YahooDailyReader
155,ARYRY,Admiralty Resources NL,$0.11 ,TRUE,,,No data fetched for symbol ARYRY using YahooDailyReader
157,ADOCF,Adocia,$17.00 ,TRUE,,,No data fetched for symbol ADOCF using YahooDailyReader
158,ANARF,Adriana Resources Inc,$0.14 ,TRUE,,,No data fetched for symbol ANARF using YahooDailyReader
164,ABAT,Advanced Battery Technologies Inc,$0.04 ,TRUE,,,'Date'
165,ABENU,Advanced BioEnergy LLC,$0.87 ,TRUE,,,No data fetched for symbol ABENU using YahooDailyReader
167,CEIFF,Advanced Connection Corp PCL,$0.03 ,TRUE,,,No data fetched for symbol CEIFF using YahooDailyReader
170,AERT,Advanced Environmental Recycling Technologies Inc,$0.14 ,TRUE,,,'Date'
172,ADLS,Advanced Life Sciences Holdings Inc,$0.01 ,TRUE,,,No data fetched for symbol ADLS using YahooDailyReader
176,AVSIF,Advanced Vision Technology Ltd,$10.91 ,TRUE,,,No data fetched for symbol AVSIF using YahooDailyReader
178,APFH,AdvancePierre Foods Holdings Inc,$40.25 ,TRUE,,,'Date'
180,AVLIF,Advantage Lithium Corp,$0.19 ,TRUE,,,No data fetched for symbol AVLIF using YahooDailyReader
187,IHUBY,ADVFN PLC,$1.23 ,TRUE,,,No data fetched for symbol IHUBY using YahooDailyReader
189,AECLF,AECI Ltd,$5.76 ,TRUE,,,No data fetched for symbol AECLF using YahooDailyReader
190,AECLY,AECI Ltd,$8.00 ,TRUE,,,No data fetched for symbol AECLY using YahooDailyReader
193,ANWWQ,Aegean Marine Petroleum Network Inc,$0.04 ,TRUE,,,No data fetched for symbol ANWWQ using YahooDailyReader
194,AEGR,Aegerion Pharmaceuticals Inc,$1.97 ,TRUE,,,'Date'
202,AEOIF,Aeon Thana Sinsap (Thailand) PCL,$3.70 ,TRUE,,,No data fetched for symbol AEOIF using YahooDailyReader
203,AEPI,AEP Industries Inc,$109.95 ,TRUE,,,'Date'
204,AELGF,Aer Lingus Group PLC,$2.83 ,TRUE,,,No data fetched for symbol AELGF using YahooDailyReader
206,ARSRF,Aeris Resources Ltd,$0.03 ,TRUE,,,No data fetched for symbol ARSRF using YahooDailyReader
208,ACNOF,Aerocrine AB,$0.27 ,TRUE,,,No data fetched for symbol ACNOF using YahooDailyReader
210,HIVE,Aerohive Networks Inc,$4.44 ,TRUE,,,No data fetched for symbol HIVE using YahooDailyReader
213,AESAY,AES Tiete Energia SA,$2.92 ,TRUE,,,'Date'
214,AESYY,AES Tiete Energia SA,$2.91 ,TRUE,,,'Date'
217,GNMX,Aevi Genomic Medicine Inc,$0.17 ,TRUE,,,No data fetched for symbol GNMX using YahooDailyReader
218,AFXXF,AF Poyry AB,$16.81 ,TRUE,,,No data fetched for symbol AFXXF using YahooDailyReader
220,AFFG,AFF Holding Group Inc,$1.00 ,TRUE,,,No data fetched for symbol AFFG using YahooDailyReader
222,AFNNF,Affine R E,$18.74 ,TRUE,,,No data fetched for symbol AFNNF using YahooDailyReader
223,AFGR,Affinion Group Holdings Inc,$1.00 ,TRUE,,,No data fetched for symbol AFGR using YahooDailyReader
227,AFFX,Affymetrix Inc,$14.01 ,TRUE,,,'Date'
228,AFIDY,AFI Development PLC,$0.17 ,TRUE,,,No data fetched for symbol AFIDY using YahooDailyReader
230,AFCMF,Afri-Can Marine Minerals Corp,$0.01 ,TRUE,,,'Date'
231,AFIMF,Africa Israel Investments Ltd,$0.02 ,TRUE,,,No data fetched for symbol AFIMF using YahooDailyReader
234,AFRVF,African Phoenix Investments Ltd,$0.03 ,TRUE,,,No data fetched for symbol AFRVF using YahooDailyReader
235,AFRVY,African Phoenix Investments Ltd,$0.01 ,TRUE,,,'Date'
236,APOTF,African Potash Ltd,$0.03 ,TRUE,,,No data fetched for symbol APOTF using YahooDailyReader
237,AFRBY,African Rainbow Minerals Ltd,$14.99 ,TRUE,,,No data fetched for symbol AFRBY using YahooDailyReader
238,AFCRF,Africo Resources Ltd,$0.80 ,TRUE,,,No data fetched for symbol AFCRF using YahooDailyReader
241,ASGLF,AGC Inc,$35.40 ,TRUE,,,No data fetched for symbol ASGLF using YahooDailyReader
246,ACRVF,Agellan Commercial Real Estate Investment Trust,$10.68 ,TRUE,,,No data fetched for symbol ACRVF using YahooDailyReader
250,AGMMF,Aggregated Micro Power Holdings PLC,$1.02 ,TRUE,,,No data fetched for symbol AGMMF using YahooDailyReader
254,AGHEF,Agility Health Inc,$0.01 ,TRUE,,,No data fetched for symbol AGHEF using YahooDailyReader
262,AABGF,Agrana Beteiligungs AG,$122.58 ,TRUE,,,No data fetched for symbol AABGF using YahooDailyReader
265,GRO,Agria Corp,$0.85 ,TRUE,,,'Date'
267,AALYF,Agrinos AS,$1.08 ,TRUE,,,No data fetched for symbol AALYF using YahooDailyReader
268,AGNRF,AgriNurture Inc,$1.31 ,TRUE,,,No data fetched for symbol AGNRF using YahooDailyReader
270,AGRZF,AgriTec Systems Inc,$0.01 ,TRUE,,,No data fetched for symbol AGRZF using YahooDailyReader
272,AOURF,Agritrade Resources Ltd,$0.05 ,TRUE,,,No data fetched for symbol AOURF using YahooDailyReader
273,AGU,Agrium Inc,$115.00 ,TRUE,,,'Date'
274,TRGAF,Agromino A/S,$0.01 ,TRUE,,,No data fetched for symbol TRGAF using YahooDailyReader
275,AGXXF,AGT Food and Ingredients Inc,$13.40 ,TRUE,,,No data fetched for symbol AGXXF using YahooDailyReader
276,AHLLF,Ahlsell AB,$5.78 ,TRUE,,,'Date'
277,AIDC,AI Document Services Inc,$0.15 ,TRUE,,,No data fetched for symbol AIDC using YahooDailyReader
280,ALALY,AIB Group PLC,$11.93 ,TRUE,,,No data fetched for symbol ALALY using YahooDailyReader
297,AIRM,Air Methods Corp,$42.95 ,TRUE,,,'Date'
304,AYR,Aircastle Ltd,$32.01 ,TRUE,,,No data fetched for symbol AYR using YahooDailyReader
306,ARPTF,Airport City Ltd,$19.20 ,TRUE,,,No data fetched for symbol ARPTF using YahooDailyReader
307,AIPBF,Airports Of Thailand PLC,$8.82 ,TRUE,,,No data fetched for symbol AIPBF using YahooDailyReader
308,AIPUF,Airports Of Thailand PLC,$2.57 ,TRUE,,,No data fetched for symbol AIPUF using YahooDailyReader
310,EOVBF,AirTrip Corp,$24.23 ,TRUE,,,No data fetched for symbol EOVBF using YahooDailyReader
311,AITPF,AIT Corp,$8.45 ,TRUE,,,No data fetched for symbol AITPF using YahooDailyReader
312,AIXNY,Aixtron SE,$6.64 ,TRUE,,,No data fetched for symbol AIXNY using YahooDailyReader
313,AJAC,Aja Cannafacturing Inc,$0.02 ,TRUE,,,'Date'
315,AJSCF,Ajisen (China) Holdings Ltd,$0.46 ,TRUE,,,No data fetched for symbol AJSCF using YahooDailyReader
316,AJSB,Ajs Bancorp Inc,$15.73 ,TRUE,,,No data fetched for symbol AJSB using YahooDailyReader
317,AKS,AK Steel Holding Corp,$1.55 ,TRUE,,,No data fetched for symbol AKS using YahooDailyReader
320,AKKVY,Akastor ASA,$0.63 ,TRUE,,,No data fetched for symbol AKKVY using YahooDailyReader
321,SONG,Akazoo SA,$1.16 ,TRUE,,,No data fetched for symbol SONG using YahooDailyReader
322,AKBNF,Akbank TAS,$5.00 ,TRUE,,,No data fetched for symbol AKBNF using YahooDailyReader
324,AKCMF,Akcansa Cimento Sanayi Ve Ticaret AS,$4.85 ,TRUE,,,No data fetched for symbol AKCMF using YahooDailyReader
326,AKBIY,Akebono Brake Industry Co Ltd,$2.18 ,TRUE,,,No data fetched for symbol AKBIY using YahooDailyReader
327,AKFHF,Akfen Holding AS,$1.76 ,TRUE,,,No data fetched for symbol AKFHF using YahooDailyReader
328,AKBKF,Akita Bank Ltd,$2.50 ,TRUE,,,No data fetched for symbol AKBKF using YahooDailyReader
330,TKKAF,Akka Technologies,$72.08 ,TRUE,,,No data fetched for symbol TKKAF using YahooDailyReader
332,AKASF,AKVA Group ASA,$6.40 ,TRUE,,,No data fetched for symbol AKASF using YahooDailyReader
336,CSPGF,Alabama Graphite Corp,$0.05 ,TRUE,,,No data fetched for symbol CSPGF using YahooDailyReader
341,ALULF,Alara Resources Ltd,$3.65 ,TRUE,,,No data fetched for symbol ALULF using YahooDailyReader
342,ARFCF,AlarmForce Industries Inc,$12.74 ,TRUE,,,'Date'
346,AMYUF,Albaad Massuot Yitzhak Ltd,$7.25 ,TRUE,,,No data fetched for symbol AMYUF using YahooDailyReader
348,AMRI,Albany Molecular Research Inc,$21.74 ,TRUE,,,'Date'
353,ALALF,Alcatel-Lucent SA,$2.85 ,TRUE,,,No data fetched for symbol ALALF using YahooDailyReader
354,ABDC,Alcentra Capital Corp,$8.90 ,TRUE,,,No data fetched for symbol ABDC using YahooDailyReader
356,ALLDF,ALD SA,$14.12 ,TRUE,,,No data fetched for symbol ALLDF using YahooDailyReader
357,ALDR,Alder BioPharmaceuticals Inc,$18.88 ,TRUE,,,No data fetched for symbol ALDR using YahooDailyReader
358,AGMIF,Aldridge Minerals Inc,$0.06 ,TRUE,,,'Date'
359,ALNXF,Alent PLC,$7.64 ,TRUE,,,No data fetched for symbol ALNXF using YahooDailyReader
360,ALNXY,Alent PLC,$14.25 ,TRUE,,,No data fetched for symbol ALNXY using YahooDailyReader
364,ALXDF,Alexandria Minerals Corp,$0.04 ,TRUE,,,No data fetched for symbol ALXDF using YahooDailyReader
368,AXXIY,Alexium International Group Ltd,$0.01 ,TRUE,,,No data fetched for symbol AXXIY using YahooDailyReader
369,AXIIF,Alexium International Group Ltd,$0.07 ,TRUE,,,No data fetched for symbol AXIIF using YahooDailyReader
370,ALXA,Alexza Pharmaceuticals Inc,$0.94 ,TRUE,,,'Date'
371,AFLQF,Alfa Financial Software Holdings PLC,$1.22 ,TRUE,,,No data fetched for symbol AFLQF using YahooDailyReader
374,ALFNF,Alfen NV,ANG 10.79,TRUE,,,No data fetched for symbol ALFNF using YahooDailyReader
375,ALFRY,Alfresa Holdings Corp,$23.35 ,TRUE,,,No data fetched for symbol ALFRY using YahooDailyReader
376,ALGZF,Algeta ASA,$60.39 ,TRUE,,,No data fetched for symbol ALGZF using YahooDailyReader
379,ALCGF,Aliansce Shopping Centers SA,$7.28 ,TRUE,,,No data fetched for symbol ALCGF using YahooDailyReader
380,SORRF,Aliansce Sonae Shopping Centers SA,$7.61 ,TRUE,,,No data fetched for symbol SORRF using YahooDailyReader
387,ALO,Alio Gold Inc,$1.26 ,TRUE,,,No data fetched for symbol ALO using YahooDailyReader
391,ANLKY,Alkane Resources Ltd,$4.00 ,TRUE,,,No data fetched for symbol ANLKY using YahooDailyReader
394,MDIPF,Allarity Therapeutics AS,$1.11 ,TRUE,,,No data fetched for symbol MDIPF using YahooDailyReader
397,AVLY,Allegheny Valley Bancorp Inc,$55.00 ,TRUE,,,'Date'
399,ALGR,Allegro Merger Corp,$10.39 ,TRUE,,,No data fetched for symbol ALGR using YahooDailyReader
401,ALLB,Alliance Bancorp Inc Of Pennsylvania,$23.98 ,TRUE,,,'Date'
404,AFOP,Alliance Fiber Optic Products Inc,$18.51 ,TRUE,,,'Date'
408,AEGMF,Alliance Resources Ltd,$0.03 ,TRUE,,,No data fetched for symbol AEGMF using YahooDailyReader
409,ATST,Alliance Trust PLC,$7.57 ,TRUE,,,No data fetched for symbol ATST using YahooDailyReader
415,AZSEY,Allianz SE,$24.30 ,TRUE,,,No data fetched for symbol AZSEY using YahooDailyReader
423,ANVGQ,Allied Nevada Gold Corp,$0.04 ,TRUE,,,'Date'
426,AWHHF,Allied World Assurance Co Holdings AG,$51.55 ,TRUE,,,'Date'
429,AVNMF,Alloycorp Mining Inc,$0.03 ,TRUE,,,No data fetched for symbol AVNMF using YahooDailyReader
430,ALRHF,Allreal Holding Ltd,$133.80 ,TRUE,,,No data fetched for symbol ALRHF using YahooDailyReader
434,ALLHF,Alltronics Holdings Ltd,$0.36 ,TRUE,,,No data fetched for symbol ALLHF using YahooDailyReader
435,ALAXL,Almacenes Exito SA,$5.52 ,TRUE,,,No data fetched for symbol ALAXL using YahooDailyReader
440,ALJ,Alon USA Energy Inc,$13.32 ,TRUE,,,'Date'
441,ALDW,Alon USA Partners LP,$16.55 ,TRUE,,,'Date'
442,XXAAO,ALP Liquidating Trust,$33.00 ,TRUE,,,'Date'
443,SRDDF,Alpargatas SA,$4.29 ,TRUE,,,No data fetched for symbol SRDDF using YahooDailyReader
444,BIPCF,Alper Consultoria E Corretora De Seguros SA,$3.22 ,TRUE,,,No data fetched for symbol BIPCF using YahooDailyReader
447,ALHA,Alpha Natural Resources Holdings Inc,$5.75 ,TRUE,,,No data fetched for symbol ALHA using YahooDailyReader
448,APNR,Alpha Natural Resources Holdings Inc,$36.00 ,TRUE,,,No data fetched for symbol APNR using YahooDailyReader
457,AELEF,Alpine Electronics Inc,$16.58 ,TRUE,,,No data fetched for symbol AELEF using YahooDailyReader
458,ALPQF,Alpiq Holding AG,$75.79 ,TRUE,,,No data fetched for symbol ALPQF using YahooDailyReader
461,ARRLF,ALROSA PJSC,$1.36 ,TRUE,,,No data fetched for symbol ARRLF using YahooDailyReader
464,AABA,Altaba Inc,$19.63 ,TRUE,,,No data fetched for symbol AABA using YahooDailyReader
465,AGAAF,AltaGas Canada Inc,$22.35 ,TRUE,,,No data fetched for symbol AGAAF using YahooDailyReader
468,ALTI,Altair Nanotechnologies Inc,$0.08 ,TRUE,,,'Date'
469,ATMRF,ALTAMIR,$12.30 ,TRUE,,,No data fetched for symbol ATMRF using YahooDailyReader
470,ATANF,Altan Rio Minerals Ltd,$0.01 ,TRUE,,,No data fetched for symbol ATANF using YahooDailyReader
471,ABNK,AltaPacific Bancorp,$14.50 ,TRUE,,,No data fetched for symbol ABNK using YahooDailyReader
472,ALTHF,Altech Chemicals Ltd,$0.09 ,TRUE,,,No data fetched for symbol ALTHF using YahooDailyReader
474,ATNE,Alternative Energy Technology Inc,$0.01 ,TRUE,,,No data fetched for symbol ATNE using YahooDailyReader
477,MGMXF,Alterra Power Corp,$6.29 ,TRUE,,,No data fetched for symbol MGMXF using YahooDailyReader
478,ALTV,Alteva Inc,$4.70 ,TRUE,,,'Date'
480,ATCEY,Altice Europe NV,$30.00 ,TRUE,,,No data fetched for symbol ATCEY using YahooDailyReader
485,ATOA,Altovida Inc,$0.08 ,TRUE,,,No data fetched for symbol ATOA using YahooDailyReader
487,ALTKY,Altran Technologies,$1.64 ,TRUE,,,No data fetched for symbol ALTKY using YahooDailyReader
488,ALTKF,Altran Technologies,$16.14 ,TRUE,,,No data fetched for symbol ALTKF using YahooDailyReader
491,AAARF,Aluar Aluminio Argentino SAIC,$0.27 ,TRUE,,,No data fetched for symbol AAARF using YahooDailyReader
497,ACERF,AM Gold Inc,$0.10 ,TRUE,,,No data fetched for symbol ACERF using YahooDailyReader
502,AMAOF,Amana Inc,$7.00 ,TRUE,,,No data fetched for symbol AMAOF using YahooDailyReader
503,AHREF,Amanahraya Real Estate Investment Trust,$0.30 ,TRUE,,,No data fetched for symbol AHREF using YahooDailyReader
505,CLUGF,Amara Mining PLC,$0.26 ,TRUE,,,No data fetched for symbol CLUGF using YahooDailyReader
511,AMCUF,Amata Corp PCL,$0.82 ,TRUE,,,No data fetched for symbol AMCUF using YahooDailyReader
512,AMCZF,Amata Corp PCL,$0.47 ,TRUE,,,No data fetched for symbol AMCZF using YahooDailyReader
516,AOIGF,Ambassador Oil and Gas Ltd,$0.14 ,TRUE,,,No data fetched for symbol AOIGF using YahooDailyReader
517,EPAX,Ambassadors Group Inc,$1.75 ,TRUE,,,'Date'
518,AMBR,Amber Road Inc,$13.05 ,TRUE,,,No data fetched for symbol AMBR using YahooDailyReader
520,ABYB,Amboy Bancorp,$10.68 ,TRUE,,,No data fetched for symbol ABYB using YahooDailyReader
524,AMCRY,Amcor PLC,$44.70 ,TRUE,,,No data fetched for symbol AMCRY using YahooDailyReader
526,AMFW,Amec Foster Wheeler PLC,$7.01 ,TRUE,,,No data fetched for symbol AMFW using YahooDailyReader
527,AMCBF,Amec Foster Wheeler PLC,$6.71 ,TRUE,,,'Date'
530,AGPDF,Amer Sports Oyj,$42.00 ,TRUE,,,No data fetched for symbol AGPDF using YahooDailyReader
531,AGPDY,Amer Sports Oyj,$22.31 ,TRUE,,,No data fetched for symbol AGPDY using YahooDailyReader
536,ASBI,Ameriana Bancorp,$22.92 ,TRUE,,,'Date'
537,ACAL,America California Bank,$10.40 ,TRUE,,,No data fetched for symbol ACAL using YahooDailyReader
539,AGRNQ,America Greener Technologies Inc,$0.10 ,TRUE,,,No data fetched for symbol AGRNQ using YahooDailyReader
545,APPCQ,American Apparel Inc,$0.01 ,TRUE,,,No data fetched for symbol APPCQ using YahooDailyReader
548,ABKH,American Bank Holdings Inc,"$11,750.00 ",TRUE,,,No data fetched for symbol ABKH using YahooDailyReader
551,AEBLF,American Biofuels Inc,$1.77 ,TRUE,,,No data fetched for symbol AEBLF using YahooDailyReader
554,ACAS,American Capital Ltd,$17.99 ,TRUE,,,'Date'
555,ACSF,American Capital Senior Floating Ltd,$3.68 ,TRUE,,,No data fetched for symbol ACSF using YahooDailyReader
558,ACBK,American City Bank LA,$0.05 ,TRUE,,,'Date'
563,ADGE,American DG Energy Inc,$0.32 ,TRUE,,,'Date'
569,AFCO,American Farmland Co,$8.65 ,TRUE,,,'Date'
573,AHMS,American Homestar Corp,$0.05 ,TRUE,,,'Date'
574,AMIC,American Independence Corp,$24.72 ,TRUE,,,'Date'
580,AMMS,American Media System Co,$0.02 ,TRUE,,,'Date'
581,AMID,American Midstream Partners LP,$5.24 ,TRUE,,,No data fetched for symbol AMID using YahooDailyReader
585,AOIX,American Oil & Gas Inc,$0.01 ,TRUE,,,No data fetched for symbol AOIX using YahooDailyReader
587,GRLD,American Patriot Brands Inc,$0.42 ,TRUE,,,No data fetched for symbol GRLD using YahooDailyReader
592,ARPI,American Residential Properties Inc,$15.89 ,TRUE,,,'Date'
595,ASEI,American Science & Engineering Inc,$37.05 ,TRUE,,,'Date'
608,APU,AmeriGas Partners LP,$31.22 ,TRUE,,,No data fetched for symbol APU using YahooDailyReader
616,ASUXF,Amerisur Resources PLC,$0.24 ,TRUE,,,No data fetched for symbol ASUXF using YahooDailyReader
625,ACCKF,Amica Mature Lifestyles Inc,$13.47 ,TRUE,,,'Date'
626,AMCG,Amico Games Corp,$0.01 ,TRUE,,,'Date'
628,AMWO,Amiworld Inc,$0.01 ,TRUE,,,No data fetched for symbol AMWO using YahooDailyReader
630,APLCF,Amlin PLC,$10.08 ,TRUE,,,No data fetched for symbol APLCF using YahooDailyReader
631,APLCY,Amlin PLC,$38.50 ,TRUE,,,No data fetched for symbol APLCY using YahooDailyReader
633,AMOG,Amogear Inc,$0.12 ,TRUE,,,No data fetched for symbol AMOG using YahooDailyReader
634,AMRWF,AmorePacific Corp,$239.37 ,TRUE,,,No data fetched for symbol AMRWF using YahooDailyReader
635,GRWIF,AMP German Cannabis Group Inc,$0.14 ,TRUE,,,No data fetched for symbol GRWIF using YahooDailyReader
639,APMRF,Amper SA,$0.21 ,TRUE,,,No data fetched for symbol APMRF using YahooDailyReader
640,AMPO,Amperico Corp,$0.03 ,TRUE,,,'Date'
643,BETR,Amplify Snack Brands Inc,$12.00 ,TRUE,,,'Date'
647,AMZEF,Amuse Inc,$14.90 ,TRUE,,,No data fetched for symbol AMZEF using YahooDailyReader
651,ANAC,Anacor Pharmaceuticals Inc,$99.20 ,TRUE,,,'Date'
652,APC,Anadarko Petroleum Corp,$72.77 ,TRUE,,,No data fetched for symbol APC using YahooDailyReader
653,ANAD,Anadigics Inc,$0.85 ,TRUE,,,'Date'
655,AELIY,Anadolu Hayat Emeklilik AS,$6.17 ,TRUE,,,No data fetched for symbol AELIY using YahooDailyReader
659,BCNLF,Anchiano Therapeutics Ltd,$2.00 ,TRUE,,,No data fetched for symbol BCNLF using YahooDailyReader
660,ANDX,Andeavor Logistics LP,$32.17 ,TRUE,,,No data fetched for symbol ANDX using YahooDailyReader
665,ANCKF,Anfield Gold Corp,$0.29 ,TRUE,,,No data fetched for symbol ANCKF using YahooDailyReader
671,ANPMF,Angiotech Pharmaceuticals Inc,$10.04 ,TRUE,,,No data fetched for symbol ANPMF using YahooDailyReader
679,AULDF,Anglogold Ashanti Ltd,$0.65 ,TRUE,,,No data fetched for symbol AULDF using YahooDailyReader
686,ANHUF,Anhui Tianda Oil Pipe Co Ltd,$0.36 ,TRUE,,,No data fetched for symbol ANHUF using YahooDailyReader
689,AMOCF,Animoca Brands Corp Ltd,$0.12 ,TRUE,,,No data fetched for symbol AMOCF using YahooDailyReader
690,ANTUY,Anite PLC,$0.01 ,TRUE,,,No data fetched for symbol ANTUY using YahooDailyReader
694,ANNC,Annec Green Refractories Corp,$0.10 ,TRUE,,,No data fetched for symbol ANNC using YahooDailyReader
695,ANNNC,ANR Inc,$22.95 ,TRUE,,,No data fetched for symbol ANNNC using YahooDailyReader
696,AANR,ANR Inc,$35.42 ,TRUE,,,No data fetched for symbol AANR using YahooDailyReader
701,ANOZF,AnteoTech Ltd,$0.01 ,TRUE,,,No data fetched for symbol ANOZF using YahooDailyReader
704,ATHTF,Anthem United Inc,$0.17 ,TRUE,,,No data fetched for symbol ATHTF using YahooDailyReader
707,ATHJY,Antisense Therapeutics Ltd,$0.75 ,TRUE,,,No data fetched for symbol ATHJY using YahooDailyReader
709,ANFGY,Antofagasta PLC,$12.93 ,TRUE,,,'Date'
713,AOZOF,Aozora Bank Ltd,$3.48 ,TRUE,,,No data fetched for symbol AOZOF using YahooDailyReader
