,2012,2013,2014,2015,2016,2017,2018,2019,ups,downs,avg
02-26,-11.899999618530273,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.737499952316284
02-27,-11.899999618530273,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.737499952316284
02-28,-10.899999618530273,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.612499952316284
02-29,-10.899999618530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.3624999523162842
03-01,-10.899999618530273,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.612499952316284
03-02,-10.899999618530273,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.612499952316284
03-03,-10.100000381469727,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.512500047683716
03-04,-10.100000381469727,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.512500047683716
03-05,-10.100000381469727,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.512500047683716
03-06,-10.100000381469727,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.512500047683716
03-07,-10.100000381469727,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.512500047683716
03-08,-10.100000381469727,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.512500047683716
03-09,-10.100000381469727,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.512500047683716
03-10,-10.100000381469727,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.512500047683716
03-11,-11.0,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.625
03-12,-11.0,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.625
03-13,-11.0,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.625
03-14,-11.0,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.625
03-15,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-16,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-17,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-18,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-19,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-20,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-21,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-22,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-23,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-24,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-25,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-26,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-27,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-28,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-29,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-30,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
03-31,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
04-01,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
04-02,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
04-03,-11.200000762939453,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.6500000953674316
04-04,-11.0,-9.200000047683718,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.625
04-05,-11.0,-10.0,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.7249999940395355
04-06,-11.0,-10.0,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.7249999940395355
04-07,-11.0,-10.0,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.7249999940395355
04-08,-11.0,-10.0,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.7249999940395355
04-09,-11.0,-10.0,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.7249999940395355
04-10,-11.0,-10.0,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.7249999940395355
04-11,-11.0,-10.0,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.7249999940395355
04-12,-11.0,-10.0,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.7249999940395355
04-13,-11.0,-10.0,-0.7999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.7249999940395355
04-14,-11.0,-10.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-2.6025000009685755
04-15,-11.0,-10.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-2.6025000009685755
04-16,-11.0,-10.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-2.6025000009685755
04-17,-11.0,-10.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-2.6025000009685755
04-18,-11.0,-10.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-2.6025000009685755
04-19,-11.0,-10.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-2.6025000009685755
04-20,-11.0,-10.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-2.6025000009685755
04-21,-22.100000381469727,-10.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-3.9900000486522913
04-22,-23.300000190734863,-10.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-4.140000024810433
04-23,-23.300000190734863,-10.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-4.140000024810433
04-24,-14.699999809265135,-10.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-3.0649999771267176
04-25,-14.699999809265135,-10.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-3.0649999771267176
04-26,-14.699999809265135,-10.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-3.0649999771267176
04-27,-14.699999809265135,-1.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.9399999771267176
04-28,-14.699999809265135,-1.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.9399999771267176
04-29,-14.699999809265135,-1.0,-0.7999999523162842,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.9399999771267176
04-30,-14.699999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.8149999771267176
05-01,-14.699999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.8149999771267176
05-02,-14.699999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.8149999771267176
05-03,-14.699999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.8149999771267176
05-04,-14.699999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.8149999771267176
05-05,-14.699999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.8149999771267176
05-06,-14.699999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.8149999771267176
05-07,-14.699999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.8149999771267176
05-08,-14.699999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.8149999771267176
05-09,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-10,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-11,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-12,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-13,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-14,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-15,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-16,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-17,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-18,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-19,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-20,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-21,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-22,-13.199999809265135,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.6274999771267176
05-23,-12.300000190734865,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.5150000248104334
05-24,-12.09999942779541,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.4899999294430015
05-25,-12.09999942779541,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.4899999294430015
05-26,-12.09999942779541,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.4899999294430015
05-27,-12.09999942779541,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.4899999294430015
05-28,-12.09999942779541,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.4899999294430015
05-29,-12.09999942779541,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.4899999294430015
05-30,-12.09999942779541,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.4899999294430015
05-31,-12.09999942779541,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.4899999294430015
06-01,-12.09999942779541,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.4899999294430015
06-02,-12.09999942779541,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.4899999294430015
06-03,-12.09999942779541,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.4899999294430015
06-04,-12.09999942779541,-0.7999999523162842,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.4899999294430015
06-05,-12.09999942779541,-0.8999999761581421,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.502499932423234
06-06,-12.09999942779541,-0.8999999761581421,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.502499932423234
06-07,-12.09999942779541,-0.8999999761581421,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.502499932423234
06-08,-12.09999942779541,-0.8999999761581421,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.502499932423234
06-09,-12.09999942779541,-0.8999999761581421,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.502499932423234
06-10,-12.09999942779541,-0.8999999761581421,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.502499932423234
06-11,-12.09999942779541,-0.8999999761581421,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.502499932423234
06-12,-12.09999942779541,-0.8999999761581421,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.502499932423234
06-13,-12.09999942779541,-0.8999999761581421,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.502499932423234
06-14,-8.600000381469728,-0.8999999761581421,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-1.0650000516325235
06-15,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-0.965000057592988
06-16,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-0.965000057592988
06-17,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-0.965000057592988
06-18,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-0.965000057592988
06-19,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-0.965000057592988
06-20,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-0.965000057592988
06-21,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-0.965000057592988
06-22,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-0.965000057592988
06-23,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.9799999445676804,0.0,0.0,0.0,1.0,7.0,-0.965000057592988
06-24,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.087500050663948
06-25,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.087500050663948
06-26,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.087500050663948
06-27,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.087500050663948
06-28,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.087500050663948
06-29,-8.600000381469728,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.087500050663948
06-30,2.5,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.29999999701976776
07-01,2.5,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.29999999701976776
07-02,2.5,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.29999999701976776
07-03,3.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.44999997317790985
07-05,3.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.44999997317790985
07-06,3.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.44999997317790985
07-07,3.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.44999997317790985
07-08,3.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.44999997317790985
07-09,3.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.44999997317790985
07-10,3.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.44999997317790985
07-11,3.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.44999997317790985
07-12,3.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.44999997317790985
07-13,3.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.44999997317790985
07-14,3.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.44999997317790985
07-15,2.0,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.23749999701976776
07-16,2.0,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.23749999701976776
07-17,2.0,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.23749999701976776
07-18,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
07-19,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
07-20,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
07-21,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
07-22,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
07-23,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
07-24,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
07-25,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
07-26,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
07-27,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
07-28,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
07-29,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
07-30,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
07-31,1.6999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.19999997317790985
08-01,2.1999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.26249997317790985
08-02,2.1999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.26249997317790985
08-03,2.1999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.26249997317790985
08-04,2.1999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.26249997317790985
08-05,2.1999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.26249997317790985
08-06,2.1999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.26249997317790985
08-07,2.1999998092651367,-0.10000002384185792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.26249997317790985
