,2017,2018,2019,2020,ups,downs,avg
02-28,-0.007999997586011888,-0.10999999940395357,-0.007999997586011888,-0.007999997586011888,0.0,4.0,-0.0334999980404973
03-01,-0.007999997586011888,-0.09000000357627869,-0.007999997586011888,-0.007999997586011888,0.0,4.0,-0.028499999083578587
03-02,-0.007999997586011888,-0.07200001180171968,-0.007999997586011888,-0.007999997586011888,0.0,4.0,-0.02400000113993883
03-03,-0.007999997586011888,-0.07200001180171968,-0.007999997586011888,-0.007999997586011888,0.0,4.0,-0.02400000113993883
03-04,-0.007999997586011888,-0.07200001180171968,-0.007999997586011888,-0.007999997586011888,0.0,4.0,-0.02400000113993883
03-05,-0.007999997586011888,-0.07200001180171968,-0.007999997586011888,-0.007999997586011888,0.0,4.0,-0.02400000113993883
03-06,-0.007999997586011888,-0.0690000057220459,-0.007999997586011888,-0.007999997586011888,0.0,4.0,-0.02324999962002039
03-07,-0.007999997586011888,-0.0690000057220459,-0.007999997586011888,-0.007999997586011888,0.0,4.0,-0.02324999962002039
03-08,-0.007999997586011888,-0.045000001788139336,-0.007999997586011888,-0.007999997586011888,0.0,4.0,-0.01724999863654375
03-09,-0.007999997586011888,-0.045000001788139336,-0.007999997586011888,-0.007999997586011888,0.0,4.0,-0.01724999863654375
03-10,-0.007999997586011888,-0.07000000774860382,-0.007999997586011888,-0.007999997586011888,0.0,4.0,-0.02350000012665987
03-11,-0.007999997586011888,-0.07000000774860382,-0.007999997586011888,-0.007999997586011888,0.0,4.0,-0.02350000012665987
03-12,-0.007999997586011888,-0.07000000774860382,-0.007999997586011888,0.031000001472420987,1.0,3.0,-0.013750000362051651
03-13,0.031000001472420987,-0.07000000774860382,-0.007999997586011888,0.031000001472420987,2.0,2.0,-0.004000000597443432
03-14,0.031000001472420987,-0.07000000774860382,-0.007999997586011888,0.031000001472420987,2.0,2.0,-0.004000000597443432
03-15,0.031000001472420987,-0.07000000774860382,-0.007999997586011888,0.031000001472420987,2.0,2.0,-0.004000000597443432
03-16,0.031000001472420987,-0.07000000774860382,-0.007999997586011888,0.031000001472420987,2.0,2.0,-0.004000000597443432
03-17,0.031000001472420987,-0.07000000774860382,-0.007999997586011888,0.031000001472420987,2.0,2.0,-0.004000000597443432
03-18,0.031000001472420987,-0.07000000774860382,-0.007999997586011888,0.031000001472420987,2.0,2.0,-0.004000000597443432
03-19,0.031000001472420987,-0.07000000774860382,-0.007999997586011888,0.031000001472420987,2.0,2.0,-0.004000000597443432
03-20,0.031000001472420987,-0.07000000774860382,0.0020000021904706955,0.031000001472420987,3.0,1.0,-0.0015000006533227859
03-21,0.031000001472420987,-0.08000000566244125,0.06000000424683094,0.031000001472420987,3.0,1.0,0.010500000382307915
03-22,0.031000001472420987,-0.08000000566244125,0.06000000424683094,0.031000001472420987,3.0,1.0,0.010500000382307915
03-23,0.031000001472420987,-0.08000000566244125,0.06000000424683094,0.031000001472420987,3.0,1.0,0.010500000382307915
03-24,0.031000001472420987,-0.07000000774860382,0.015000002458691597,0.031000001472420987,3.0,1.0,0.0017499994137324393
03-25,0.031000001472420987,-0.08000000566244125,0.015000002458691597,0.031000001472420987,3.0,1.0,-0.0007500000647269187
03-26,0.031000001472420987,-0.08000000566244125,0.015000002458691597,0.031000001472420987,3.0,1.0,-0.0007500000647269187
03-27,0.031000001472420987,-0.08000000566244125,0.015000002458691597,0.031000001472420987,3.0,1.0,-0.0007500000647269187
03-28,0.031000001472420987,-0.0950000062584877,0.015000002458691597,0.031000001472420987,3.0,1.0,-0.004500000213738531
03-29,0.031000001472420987,-0.0950000062584877,0.015000002458691597,0.031000001472420987,3.0,1.0,-0.004500000213738531
03-30,0.031000001472420987,-0.0950000062584877,0.0130000002682209,0.031000001472420987,3.0,1.0,-0.005000000761356205
03-31,0.031000001472420987,-0.0950000062584877,0.0130000002682209,0.031000001472420987,3.0,1.0,-0.005000000761356205
04-01,0.031000001472420987,-0.09000000357627869,0.0130000002682209,0.031000001472420987,3.0,1.0,-0.0037500000908039506
04-02,0.031000001472420987,-0.09000000357627869,0.0130000002682209,0.031000001472420987,3.0,1.0,-0.0037500000908039506
04-03,0.031000001472420987,-0.09000000357627869,0.0130000002682209,0.031000001472420987,3.0,1.0,-0.0037500000908039506
04-04,0.031000001472420987,-0.08999999612569809,0.0130000002682209,0.012000001966953278,3.0,1.0,-0.00849999810452573
04-05,0.012000001966953278,-0.08999999612569809,-0.0020000021904706955,0.012000001966953278,2.0,2.0,-0.016999998595565557
04-06,0.012000001966953278,-0.08999999612569809,-0.0020000021904706955,0.012000001966953278,2.0,2.0,-0.016999998595565557
04-07,0.012000001966953278,-0.08399999886751175,-0.0020000021904706955,0.012000001966953278,2.0,2.0,-0.015499999281018972
04-08,0.012000001966953278,-0.08399999886751175,-0.0020000021904706955,0.012000001966953278,2.0,2.0,-0.015499999281018972
04-09,0.012000001966953278,-0.08399999886751175,-0.0020000021904706955,0.012000001966953278,2.0,2.0,-0.015499999281018972
04-10,0.012000001966953278,-0.08399999886751175,-0.0020000021904706955,0.012000001966953278,2.0,2.0,-0.015499999281018972
04-11,0.012000001966953278,-0.08399999886751175,-0.0020000021904706955,0.012000001966953278,2.0,2.0,-0.015499999281018972
04-12,0.012000001966953278,-0.08399999886751175,-0.0020000021904706955,0.012000001966953278,2.0,2.0,-0.015499999281018972
04-13,0.012000001966953278,-0.08399999886751175,-0.0020000021904706955,0.012000001966953278,2.0,2.0,-0.015499999281018972
04-14,0.012000001966953278,-0.08399999886751175,-0.0020000021904706955,0.012000001966953278,2.0,2.0,-0.015499999281018972
04-15,0.012000001966953278,-0.08399999886751175,-0.0020000021904706955,0.01510000228881836,2.0,2.0,-0.014724999200552704
04-16,0.01510000228881836,-0.08399999886751175,-0.0020000021904706955,0.01510000228881836,2.0,2.0,-0.013949999120086432
04-17,0.01510000228881836,-0.03999999910593033,-0.0020000021904706955,0.01510000228881836,2.0,2.0,-0.002949999179691077
04-18,0.01510000228881836,-0.03999999910593033,-0.0020000021904706955,0.01510000228881836,2.0,2.0,-0.002949999179691077
04-19,0.01510000228881836,-0.03999999910593033,-0.0020000021904706955,0.01510000228881836,2.0,2.0,-0.002949999179691077
04-20,0.01510000228881836,-0.03999999910593033,-0.0020000021904706955,0.01510000228881836,2.0,2.0,-0.002949999179691077
04-21,0.01510000228881836,-0.03999999910593033,-0.0020000021904706955,0.01510000228881836,2.0,2.0,-0.002949999179691077
04-22,0.01510000228881836,-0.03999999910593033,-0.0020000021904706955,0.01510000228881836,2.0,2.0,-0.002949999179691077
04-23,0.01510000228881836,-0.03999999910593033,-0.0020000021904706955,0.01510000228881836,2.0,2.0,-0.002949999179691077
04-24,0.01510000228881836,-0.03999999910593033,-0.0020000021904706955,0.01510000228881836,2.0,2.0,-0.002949999179691077
04-25,0.01510000228881836,-0.03999999910593033,-0.0020000021904706955,0.01510000228881836,2.0,2.0,-0.002949999179691077
04-26,0.01510000228881836,-0.07500000298023224,-0.0020000021904706955,0.01510000228881836,2.0,2.0,-0.011700000148266554
04-27,0.01510000228881836,-0.07500000298023224,0.03799999877810478,0.01510000228881836,3.0,1.0,-0.0016999999061226845
04-28,0.01510000228881836,-0.054999999701976776,0.03799999877810478,0.01510000228881836,3.0,1.0,0.0033000009134411807
04-29,0.01510000228881836,-0.054999999701976776,0.03799999877810478,0.004100002348423004,3.0,1.0,0.0005500009283423424
04-30,0.004100002348423004,-0.054999999701976776,0.03799999877810478,0.004100002348423004,3.0,1.0,-0.0021999990567564964
05-01,0.004100002348423004,-0.044999994337558746,0.03799999877810478,0.039000000804662704,3.0,1.0,0.009025001898407936
05-02,0.039000000804662704,-0.044999994337558746,0.03799999877810478,0.010999999940395357,3.0,1.0,0.010750001296401024
05-03,0.010999999940395357,-0.044999994337558746,0.03799999877810478,0.010999999940395357,3.0,1.0,0.0037500010803341866
05-04,0.010999999940395357,-0.044999994337558746,0.03799999877810478,0.010999999940395357,3.0,1.0,0.0037500010803341866
05-05,0.010999999940395357,-0.044999994337558746,0.03799999877810478,0.010999999940395357,3.0,1.0,0.0037500010803341866
05-06,0.010999999940395357,-0.044999994337558746,0.03799999877810478,0.003699999302625656,3.0,1.0,0.0019250009208917613
05-07,0.003699999302625656,-0.044999994337558746,0.03799999877810478,0.003699999302625656,3.0,1.0,0.000100000761449337
05-08,0.003699999302625656,-0.044999994337558746,0.03799999877810478,0.0026999972760677338,3.0,1.0,-0.0001499997451901436
05-09,0.0026999972760677338,-0.044999994337558746,0.03799999877810478,0.0026999972760677338,3.0,1.0,-0.0004000002518296242
05-10,0.0026999972760677338,-0.044999994337558746,0.03799999877810478,0.0026999972760677338,3.0,1.0,-0.0004000002518296242
05-11,0.0026999972760677338,-0.044999994337558746,0.03799999877810478,0.0026999972760677338,3.0,1.0,-0.0004000002518296242
05-12,0.0026999972760677338,-0.044999994337558746,0.03799999877810478,0.0026999972760677338,3.0,1.0,-0.0004000002518296242
05-13,0.0026999972760677338,-0.044999994337558746,0.03799999877810478,0.0026999972760677338,3.0,1.0,-0.0004000002518296242
05-14,0.0026999972760677338,-0.044999994337558746,0.03799999877810478,0.0026999972760677338,3.0,1.0,-0.0004000002518296242
05-15,0.0026999972760677338,-0.044999994337558746,0.03799999877810478,0.0026999972760677338,3.0,1.0,-0.0004000002518296242
05-16,0.0026999972760677338,-0.044999994337558746,0.01499999687075615,0.0026999972760677338,3.0,1.0,-0.006150000728666782
05-17,0.0026999972760677338,-0.044999994337558746,0.01499999687075615,0.0026999972760677338,3.0,1.0,-0.006150000728666782
05-18,0.0026999972760677338,-0.044999994337558746,0.01499999687075615,0.0026999972760677338,3.0,1.0,-0.006150000728666782
05-19,0.0026999972760677338,-0.044999994337558746,0.010999999940395357,0.0026999972760677338,3.0,1.0,-0.007149999961256981
05-20,0.0026999972760677338,-0.044999994337558746,0.010999999940395357,0.0026999972760677338,3.0,1.0,-0.007149999961256981
05-21,0.0026999972760677338,-0.044999994337558746,0.010999999940395357,0.0026999972760677338,3.0,1.0,-0.007149999961256981
05-22,0.0026999972760677338,-0.044999994337558746,0.011999998241662979,0.0026999972760677338,3.0,1.0,-0.006900000385940075
05-23,0.0026999972760677338,-0.03999999165534973,0.007999997586011888,0.0026999972760677338,3.0,1.0,-0.0066499998793005935
05-24,0.0026999972760677338,-0.03999999165534973,0.007999997586011888,0.0026999972760677338,3.0,1.0,-0.0066499998793005935
05-25,0.0026999972760677338,-0.03999999165534973,-0.007000001147389412,0.0026999972760677338,2.0,2.0,-0.01039999956265092
05-26,0.0026999972760677338,-0.03999999165534973,-0.007000001147389412,0.0026999972760677338,2.0,2.0,-0.01039999956265092
05-27,0.0026999972760677338,-0.03999999165534973,-0.007000001147389412,0.0026999972760677338,2.0,2.0,-0.01039999956265092
05-28,0.0026999972760677338,-0.03999999165534973,-0.007000001147389412,0.0026999972760677338,2.0,2.0,-0.01039999956265092
05-29,0.0026999972760677338,-0.03999999165534973,-0.007000001147389412,0.0026999972760677338,2.0,2.0,-0.01039999956265092
05-30,0.0026999972760677338,-0.03999999165534973,-0.007000001147389412,0.0026999972760677338,2.0,2.0,-0.01039999956265092
05-31,0.0026999972760677338,-0.0299999937415123,-0.06500000320374966,0.0026999972760677338,2.0,2.0,-0.022400000598281625
06-01,0.0026999972760677338,-0.0299999937415123,-0.06500000320374966,0.0026999972760677338,2.0,2.0,-0.022400000598281625
06-02,0.0026999972760677338,-0.0299999937415123,-0.06500000320374966,0.0026999972760677338,2.0,2.0,-0.022400000598281625
06-03,0.0026999972760677338,-0.0299999937415123,-0.06500000320374966,0.0026999972760677338,2.0,2.0,-0.022400000598281625
06-04,0.0026999972760677338,-0.0299999937415123,-0.06500000320374966,0.0026999972760677338,2.0,2.0,-0.022400000598281625
06-05,0.0026999972760677338,-0.03999999165534973,-0.02000000141561032,0.0026999972760677338,2.0,2.0,-0.013649999629706144
06-06,0.0026999972760677338,-0.0299999937415123,-0.02000000141561032,0.007999997586011888,2.0,2.0,-0.009825000073760748
06-07,0.007999997586011888,-0.01499999314546585,-0.02000000141561032,0.0026999972760677338,2.0,2.0,-0.006074999924749136
06-08,0.0026999972760677338,-0.02599999308586121,-0.02000000141561032,0.0026999972760677338,2.0,2.0,-0.010149999987334013
06-09,0.0026999972760677338,-0.02599999308586121,-0.02000000141561032,0.0026999972760677338,2.0,2.0,-0.010149999987334013
06-10,0.0026999972760677338,-0.02599999308586121,-0.02000000141561032,0.0026999972760677338,2.0,2.0,-0.010149999987334013
06-11,0.0026999972760677338,-0.02599999308586121,-0.02000000141561032,0.0026999972760677338,2.0,2.0,-0.010149999987334013
06-12,0.0026999972760677338,-0.02599999308586121,-0.02000000141561032,0.0026999972760677338,2.0,2.0,-0.010149999987334013
06-13,0.0026999972760677338,-0.030999995768070217,-0.02000000141561032,0.0026999972760677338,2.0,2.0,-0.011400000657886268
06-14,0.0026999972760677338,-0.020999997854232788,-0.02000000141561032,0.0026999972760677338,2.0,2.0,-0.008900001179426908
06-15,0.0026999972760677338,-0.020999997854232788,-0.0049999989569187156,0.0026999972760677338,2.0,2.0,-0.005150000564754009
06-16,0.0026999972760677338,-0.020999997854232788,-0.0049999989569187156,0.0026999972760677338,2.0,2.0,-0.005150000564754009
06-17,0.0026999972760677338,0.015000000596046446,-0.0049999989569187156,0.0026999972760677338,3.0,1.0,0.0038499990478158
06-18,0.0026999972760677338,0.015000000596046446,-0.0049999989569187156,0.0026999972760677338,3.0,1.0,0.0038499990478158
06-19,0.0026999972760677338,0.015000000596046446,-0.0049999989569187156,0.0026999972760677338,3.0,1.0,0.0038499990478158
06-20,0.0026999972760677338,0.015000000596046446,-0.019999999552965164,0.0026999972760677338,3.0,1.0,9.999889880418776e-05
06-21,0.0026999972760677338,0.015000000596046446,-0.019999999552965164,0.0026999972760677338,3.0,1.0,9.999889880418776e-05
06-22,0.0026999972760677338,0.0,-0.019999999552965164,0.0026999972760677338,2.0,2.0,-0.003650001250207424
06-23,0.0026999972760677338,0.0,-0.019999999552965164,0.0026999972760677338,2.0,2.0,-0.003650001250207424
06-24,0.0026999972760677338,0.0,-0.019999999552965164,0.0026999972760677338,2.0,2.0,-0.003650001250207424
06-25,0.0026999972760677338,0.0,-0.019999999552965164,-0.000400003045797348,1.0,3.0,-0.004425001330673696
06-26,-0.000400003045797348,0.0,-0.019999999552965164,0.004899997264146805,1.0,3.0,-0.0038750013336539273
06-27,0.004899997264146805,0.0,-0.019999999552965164,0.004899997264146805,2.0,2.0,-0.002550001256167889
06-28,0.004899997264146805,0.0,-0.019999999552965164,0.004899997264146805,2.0,2.0,-0.002550001256167889
06-29,0.004899997264146805,0.0,-0.019999999552965164,0.004899997264146805,2.0,2.0,-0.002550001256167889
06-30,0.004899997264146805,0.0,-0.019999999552965164,0.004899997264146805,2.0,2.0,-0.002550001256167889
07-01,0.004899997264146805,0.0,-0.019999999552965164,0.004899997264146805,2.0,2.0,-0.002550001256167889
07-02,0.004899997264146805,0.0,-0.019999999552965164,0.004899997264146805,2.0,2.0,-0.002550001256167889
07-03,0.004899997264146805,0.0,0.0,0.004899997264146805,2.0,2.0,0.0024499986320734024
07-05,0.004899997264146805,0.0,0.0,0.004899997264146805,2.0,2.0,0.0024499986320734024
07-06,0.004899997264146805,0.03500000387430191,0.0,0.004899997264146805,3.0,1.0,0.01119999960064888
07-07,0.004899997264146805,0.03500000387430191,0.0,0.004899997264146805,3.0,1.0,0.01119999960064888
07-08,0.004899997264146805,-0.01499999687075615,0.0,0.004899997264146805,2.0,2.0,-0.001300000585615635
07-09,0.004899997264146805,-0.01499999687075615,-0.040000000968575485,0.004899997264146805,2.0,2.0,-0.011300000827759504
07-10,0.004899997264146805,-0.03500000014901161,-0.040000000968575485,0.004899997264146805,2.0,2.0,-0.01630000164732337
07-11,0.004899997264146805,-0.03500000014901161,-0.040000000968575485,-0.03000000119209289,1.0,3.0,-0.02502500126138329
07-12,-0.03000000119209289,-0.02300000190734864,-0.040000000968575485,-0.010000001639127731,0.0,4.0,-0.025750001426786184
07-13,-0.010000001639127731,-0.02300000190734864,-0.040000000968575485,-0.010000001639127731,0.0,4.0,-0.02075000153854489
07-14,-0.010000001639127731,-0.02300000190734864,-0.040000000968575485,0.017999999225139618,1.0,3.0,-0.013750001322478056
07-15,0.017999999225139618,-0.02300000190734864,-0.040000000968575485,0.017999999225139618,2.0,2.0,-0.006750001106411219
07-16,0.017999999225139618,-0.02300000190734864,-0.040000000968575485,0.025299999862909317,2.0,2.0,-0.004925000946968794
07-17,0.025299999862909317,-0.02300000190734864,-0.040000000968575485,0.04030000418424606,2.0,2.0,0.0006500002928078175
07-18,0.04030000418424606,-0.02300000190734864,-0.040000000968575485,0.005300000309944153,2.0,2.0,-0.0043499995954334745
07-19,0.005300000309944153,-0.02300000190734864,-0.040000000968575485,0.005300000309944153,2.0,2.0,-0.013100000564008951
07-20,0.005300000309944153,-0.02300000190734864,-0.040000000968575485,0.005300000309944153,2.0,2.0,-0.013100000564008951
07-21,0.005300000309944153,-0.02300000190734864,-0.040000000968575485,0.005300000309944153,2.0,2.0,-0.013100000564008951
07-22,0.005300000309944153,-0.02300000190734864,-0.040000000968575485,0.005300000309944153,2.0,2.0,-0.013100000564008951
07-23,0.005300000309944153,-0.02300000190734864,-0.040000000968575485,0.005300000309944153,2.0,2.0,-0.013100000564008951
07-24,0.005300000309944153,-0.02300000190734864,-0.040000000968575485,0.005300000309944153,2.0,2.0,-0.013100000564008951
07-25,0.005300000309944153,-0.015000000596046446,-0.040000000968575485,0.005300000309944153,2.0,2.0,-0.011100000236183405
07-26,0.005300000309944153,-0.015000000596046446,-0.016999999061226845,0.005300000309944153,2.0,2.0,-0.005349999759346247
07-27,0.005300000309944153,-0.015000000596046446,-0.016999999061226845,0.005300000309944153,2.0,2.0,-0.005349999759346247
07-28,0.005300000309944153,-0.015000000596046446,-0.016999999061226845,0.005300000309944153,2.0,2.0,-0.005349999759346247
07-29,0.005300000309944153,-0.015000000596046446,-0.016999999061226845,0.005300000309944153,2.0,2.0,-0.005349999759346247
07-30,0.005300000309944153,-0.015000000596046446,-0.016999999061226845,0.005300000309944153,2.0,2.0,-0.005349999759346247
07-31,0.005300000309944153,-0.015000000596046446,-0.01300000213086605,0.005300000309944153,2.0,2.0,-0.0043500005267560465
08-01,0.005300000309944153,-0.015000000596046446,-0.014000000432133676,0.005300000309944153,2.0,2.0,-0.004600000102072954
08-02,0.005300000309944153,0.004999995231628418,-0.009999999776482582,0.005300000309944153,3.0,1.0,0.0013999990187585356
08-03,0.005300000309944153,0.004999995231628418,-0.0149999987334013,0.005300000309944153,3.0,1.0,0.00014999927952885628
08-04,0.005300000309944153,0.004999995231628418,-0.0149999987334013,0.005300000309944153,3.0,1.0,0.00014999927952885628
08-05,0.005300000309944153,0.004999995231628418,-0.0149999987334013,0.005300000309944153,3.0,1.0,0.00014999927952885628
08-06,0.005300000309944153,0.004999995231628418,0.0,0.005300000309944153,3.0,1.0,0.0038999989628791813
08-07,0.005300000309944153,0.004999995231628418,0.0,0.005300000309944153,3.0,1.0,0.0038999989628791813
08-08,0.005300000309944153,0.004999995231628418,0.0049999989569187156,0.005300000309944153,4.0,0.0,0.00514999870210886
08-09,0.005300000309944153,0.004999995231628418,0.0049999989569187156,0.005300000309944153,4.0,0.0,0.00514999870210886
08-10,0.0,0.004999995231628418,0.0049999989569187156,0.005300000309944153,3.0,1.0,0.003824998624622822
08-11,0.0,0.004999995231628418,0.0049999989569187156,0.005300000309944153,3.0,1.0,0.003824998624622822
08-12,0.0,0.004999995231628418,0.0049999989569187156,0.005300000309944153,3.0,1.0,0.003824998624622822
08-13,-0.019999995827674862,0.004999995231628418,0.0049999989569187156,0.005300000309944153,3.0,1.0,-0.0011750003322958946
08-14,-0.019999995827674862,0.004999995231628418,0.0049999989569187156,0.005300000309944153,3.0,1.0,-0.0011750003322958946
08-15,-0.019999995827674862,0.004999995231628418,0.0049999989569187156,0.005300000309944153,3.0,1.0,-0.0011750003322958946
08-16,-0.011000007390975952,0.004999995231628418,0.0049999989569187156,0.005300000309944153,3.0,1.0,0.0010749967768788338
08-17,-0.01000000536441803,0.004999995231628418,0.0049999989569187156,0.005300000309944153,3.0,1.0,0.0013249972835183144
08-18,-0.01000000536441803,0.015999995172023773,0.0049999989569187156,0.0,2.0,2.0,0.002749997191131115
08-19,0.009999990463256836,0.015999995172023773,0.0049999989569187156,0.005300000309944153,4.0,0.0,0.00907499622553587
08-20,0.0599999874830246,0.015999995172023773,0.0049999989569187156,0.005300000309944153,4.0,0.0,0.02157499548047781
08-21,0.0599999874830246,0.015999995172023773,0.0049999989569187156,0.005300000309944153,4.0,0.0,0.02157499548047781
08-22,0.0599999874830246,0.015999995172023773,0.0049999989569187156,0.005300000309944153,4.0,0.0,0.02157499548047781
08-23,0.03999999165534973,0.015999995172023773,0.0049999989569187156,0.005300000309944153,4.0,0.0,0.01657499652355909
