,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
02-17,73.07692197476614,-22.22221670327385,66.19718283255216,13.235298887049813,0.0,-39.9999985098839,-7.142860944173759,0.0,47.435895966354856,48.97959282973167,-20.83333255723117,5.0,6.0,14.429680343262904
02-18,73.07692197476614,-19.99999552965171,69.44444582418153,13.235298887049813,0.0,-39.9999985098839,28.57142781116525,0.0,48.10126768513146,48.97959282973167,-20.83333255723117,6.0,5.0,18.234148037750824
02-19,73.07692197476614,-19.99999552965171,69.44444582418153,13.235298887049813,0.0,-23.809523133734164,17.64705933914052,0.0,48.10126768513146,48.97959282973167,-20.83333255723117,6.0,5.0,18.712885029034922
02-20,68.18181787394296,-19.99999552965171,69.44444582418153,16.666668171834402,2.777783296726149,-33.33333806386084,32.35294066085948,0.0,48.10126768513146,43.99999976158142,-20.83333255723117,7.0,4.0,18.850750647592157
02-21,66.6666654840348,-19.99999552965171,69.44444582418153,14.285709420028914,2.777783296726149,-39.9999985098839,17.857141716747872,0.0,50.63291454406861,43.99999976158142,-20.83333255723117,7.0,4.0,16.802848495509323
02-22,66.6666654840348,-19.99999552965171,69.01408373848402,6.060609070941537,9.8591542201391,-39.9999985098839,17.857141716747872,0.0,48.10126768513146,52.000001072883606,-20.83333255723117,7.0,4.0,17.156872399235965
02-23,66.6666654840348,-19.99999552965171,69.01408373848402,4.545459060957758,8.571429057997108,-39.9999985098839,10.714286094417377,-5.263160784158717,50.649350046166504,52.000001072883606,-20.83333255723117,7.0,4.0,16.005889743092336
02-24,68.18181787394296,-19.99999552965171,69.01408373848402,-4.999995032946465,8.571429057997108,-39.9999985098839,0.0,-5.555550036607184,49.33333396911621,52.000001072883606,-20.83333255723117,5.0,6.0,14.155617640554857
02-25,69.56521781383253,-19.99999552965171,70.27027081450552,-4.999995032946465,1.4285700905079517,-39.9999985098839,0.0,-5.555550036607184,49.33333396911621,52.000001072883606,-20.83333255723117,5.0,6.0,13.74622928132049
02-26,70.83333255723116,-19.99999552965171,69.44444582418153,0.0,0.0,-33.33333806386084,0.0,-5.555550036607184,49.33333396911621,52.000001072883606,-20.83333255723117,4.0,7.0,14.717172476005599
