,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
06-07,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-21,0.02031140327453612
06-08,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-22,0.02031140327453612
06-09,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-23,0.02031140327453612
06-10,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-24,0.02031140327453612
06-11,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-25,0.02031140327453612
06-12,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-26,-0.03770099878311155
06-13,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-27,-0.03770099878311155
06-14,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-28,-0.03770099878311155
06-15,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-29,-0.03770099878311155
06-16,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-30,-0.03770099878311155
06-17,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-31,-0.03770099878311155
06-18,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-01,-0.03770099878311155
06-19,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-02,-0.03770099878311155
