,2017,2018,2019,2020,ups,downs,avg
01-19,-0.11219999939203262,-0.04339998960494995,0.04000002145767212,-0.11720000207424165,1.0,3.0,-0.05819999240338802
01-21,-0.11720000207424165,0.02069997787475586,0.04000002145767212,-0.11720000207424165,2.0,2.0,-0.043425001204013824
01-22,-0.11720000207424165,0.02069997787475586,0.04000002145767212,-0.09154999256134032,2.0,2.0,-0.0370124988257885
01-23,-0.09154999256134032,0.02069997787475586,0.004909992218017578,-0.07410000264644623,2.0,2.0,-0.03501000627875328
01-24,-0.07410000264644623,0.005699992179870606,0.03491002321243286,-0.03500001132488252,2.0,2.0,-0.017122499644756317
01-25,-0.03500001132488252,0.005699992179870606,0.05245000123977661,-0.02369999885559082,2.0,2.0,-0.0001375041902065277
01-26,-0.02369999885559082,0.005699992179870606,0.06914997100830078,-0.02369999885559082,2.0,2.0,0.0068624913692474365
01-27,-0.02369999885559082,0.005699992179870606,0.06914997100830078,-0.02369999885559082,2.0,2.0,0.0068624913692474365
01-28,-0.02369999885559082,0.005699992179870606,0.06914997100830078,-0.04800000786781311,2.0,2.0,0.000787489116191864
01-29,-0.04800000786781311,0.005699992179870606,0.04416996240615845,-0.04565000534057617,2.0,2.0,-0.010945014655590056
01-30,-0.04565000534057617,0.005699992179870606,-0.020680010318756104,-0.04905000329017639,1.0,3.0,-0.027420006692409515
01-31,-0.04905000329017639,0.005699992179870606,-0.13330000638961792,-0.06290000677108765,1.0,3.0,-0.05988750606775284
02-01,-0.06290000677108765,0.005699992179870606,-0.10767996311187744,-0.07145000994205475,1.0,3.0,-0.05908249691128732
02-02,-0.07145000994205475,-0.054699957370758064,-0.07437998056411743,-0.05832000076770784,0.0,4.0,-0.06471248716115953
02-03,-0.05832000076770784,-0.05699998140335082,-0.07437998056411743,-0.05832000076770784,0.0,4.0,-0.06200499087572098
02-04,-0.05832000076770784,-0.05699998140335082,-0.07437998056411743,-0.05347999930381775,0.0,4.0,-0.06079499050974847
02-05,-0.05347999930381775,-0.05699998140335082,-0.17000001668930054,-0.07294000685214996,0.0,4.0,-0.08835500106215477
02-06,-0.07294000685214996,-0.05699998140335082,-0.1654999852180481,-0.07223999500274657,0.0,4.0,-0.09191999211907388
02-07,-0.07223999500274657,-0.05699998140335082,-0.10670000314712524,-0.054359987378120415,0.0,4.0,-0.07257499173283577
02-08,-0.054359987378120415,-0.05699998140335082,-0.09389996528625487,-0.03481000661849976,0.0,4.0,-0.06001748517155647
02-09,-0.03481000661849976,-0.05699998140335082,-0.13089996576309204,-0.037499994039535516,0.0,4.0,-0.06505248695611954
02-10,-0.037499994039535516,-0.05699998140335082,-0.14209997653961182,-0.037499994039535516,0.0,4.0,-0.06852498650550842
02-11,-0.037499994039535516,-0.05699998140335082,-0.14209997653961182,-0.06499999761581421,0.0,4.0,-0.0753999873995781
02-12,-0.06499999761581421,-0.05699998140335082,-0.14020001888275144,-0.06499999761581421,0.0,4.0,-0.08179999887943268
02-13,-0.06499999761581421,-0.05699998140335082,-0.12000000476837155,-0.053599998354911804,0.0,4.0,-0.0738999955356121
02-14,-0.053599998354911804,-0.03239995241165161,-0.04739999771118164,-0.07450000941753387,0.0,4.0,-0.05197498947381973
02-15,-0.07450000941753387,-0.03239995241165161,-0.1322299838066101,-0.06004999577999115,0.0,4.0,-0.07479498535394669
02-16,-0.06004999577999115,-0.03239995241165161,-0.1550999879837036,-0.06004999577999115,0.0,4.0,-0.07689998298883438
02-18,-0.06004999577999115,-0.03239995241165161,-0.163100004196167,-0.06004999577999115,0.0,4.0,-0.07889998704195023
02-19,-0.06004999577999115,-0.03239995241165161,-0.163100004196167,-0.06000000238418578,0.0,4.0,-0.07888748869299889
02-20,-0.06000000238418578,-0.03239995241165161,-0.20980000495910645,-0.07940000295639038,0.0,4.0,-0.09539999067783356
02-21,-0.07940000295639038,-0.006399989128112793,-0.21355998516082764,-0.07270000874996185,0.0,4.0,-0.09301499649882317
02-22,-0.07270000874996185,-0.006399989128112793,-0.148360013961792,-0.05715000629425049,0.0,4.0,-0.07115250453352928
02-23,-0.05715000629425049,-0.006399989128112793,-0.19179999828338626,-0.05010000616312027,0.0,4.0,-0.07636249996721745
02-24,-0.05010000616312027,-0.006399989128112793,-0.19179999828338626,-0.05010000616312027,0.0,4.0,-0.07459999993443489
02-25,-0.05010000616312027,-0.006399989128112793,-0.19179999828338626,-0.045700006186962135,0.0,4.0,-0.07349999994039537
02-26,-0.045700006186962135,-0.006399989128112793,-0.2297800183296204,-0.0763000026345253,0.0,4.0,-0.08954500406980515
02-27,-0.0763000026345253,-0.006399989128112793,-0.17000001668930054,-0.12330000102519988,0.0,4.0,-0.09400000236928464
02-28,-0.12330000102519988,-0.006399989128112793,-0.1486700177192688,-0.019000008702278137,0.0,4.0,-0.0743425041437149
03-01,-0.019000008702278137,-0.006399989128112793,-0.12999999523162842,-0.07840000092983246,0.0,4.0,-0.05844999849796295
03-02,-0.07840000092983246,-0.006399989128112793,-0.116100013256073,-0.07840000092983246,0.0,4.0,-0.06982500106096268
03-03,-0.07840000092983246,-0.006399989128112793,-0.15220004320144653,-0.07819001376628876,0.0,4.0,-0.07879751175642014
03-04,-0.07819001376628876,-0.006399989128112793,-0.15220004320144653,-0.08080001175403595,0.0,4.0,-0.07939751446247101
03-05,-0.08080001175403595,-0.006399989128112793,-0.13086003065109253,-0.08080001175403595,0.0,4.0,-0.0747150108218193
03-06,-0.08080001175403595,-0.006399989128112793,-0.1122000217437744,-0.07680000364780426,0.0,4.0,-0.06905000656843185
03-07,-0.07680000364780426,-0.006399989128112793,-0.1122000217437744,-0.05320000648498535,0.0,4.0,-0.06215000525116921
03-08,-0.05320000648498535,-0.006399989128112793,-0.1549999713897705,-0.05025999248027802,0.0,4.0,-0.06621498987078668
03-09,-0.05025999248027802,-0.01308995485305786,-0.13586997985839844,-0.05025999248027802,0.0,4.0,-0.062369979918003075
03-10,-0.05025999248027802,-0.01308995485305786,-0.15869998931884766,-0.05025999248027802,0.0,4.0,-0.06807748228311539
03-11,-0.05025999248027802,-0.01308995485305786,-0.15869998931884766,-0.03328000009059906,0.0,4.0,-0.06383248418569565
03-12,-0.03328000009059906,-0.01308995485305786,-0.18800002336502075,0.0015600025653839113,1.0,3.0,-0.05820249393582344
03-13,0.0015600025653839113,-0.01308995485305786,-0.1949000358581543,-0.011500000953674316,1.0,3.0,-0.05448249727487564
03-14,-0.011500000953674316,-0.009299993515014648,-0.21379995346069336,-0.02410000562667847,0.0,4.0,-0.0646749883890152
03-15,-0.02410000562667847,-0.009299993515014648,-0.16519999504089355,-0.03260000795125961,0.0,4.0,-0.05780000053346158
03-16,-0.03260000795125961,-0.009299993515014648,-0.11619997024536133,-0.03260000795125961,0.0,4.0,-0.0476749949157238
03-17,-0.03260000795125961,-0.009299993515014648,-0.11439001560211184,-0.03527999669313432,0.0,4.0,-0.047892503440380096
03-18,-0.03527999669313432,-0.009299993515014648,-0.11439001560211184,-0.05489999800920488,0.0,4.0,-0.05346750095486641
03-19,-0.05489999800920488,-0.009299993515014648,-0.10041004419326782,0.002330005168914795,1.0,3.0,-0.040570007637143135
03-20,0.002330005168914795,-0.009299993515014648,-0.14989995956420898,-0.025800004601478577,1.0,3.0,-0.04566748812794685
03-21,-0.025800004601478577,-0.009299993515014648,-0.1517999768257141,0.00010000169277191162,1.0,3.0,-0.046699993312358856
03-22,0.00010000169277191162,-0.009299993515014648,-0.20528995990753174,0.00010000169277191162,2.0,2.0,-0.05359748750925064
03-23,0.00010000169277191162,-0.009299993515014648,-0.15459996461868286,0.00010000169277191162,2.0,2.0,-0.04092498868703842
03-24,0.00010000169277191162,-0.009299993515014648,-0.16729998588562012,-0.009500004351139069,1.0,3.0,-0.04649999551475048
03-25,-0.009500004351139069,-0.009299993515014648,-0.16729998588562012,-0.00795000046491623,0.0,4.0,-0.048512496054172516
03-26,-0.00795000046491623,-0.009299993515014648,-0.11500000953674315,-0.029890000820159912,0.0,4.0,-0.04053500108420849
03-27,-0.029890000820159912,-0.009299993515014648,-0.12808001041412356,-0.033879995346069336,0.0,4.0,-0.050287500023841865
03-28,-0.033879995346069336,-0.009299993515014648,-0.14969998598098755,-0.033879995346069336,0.0,4.0,-0.05668999254703521
03-29,-0.033879995346069336,-0.046600043773651116,-0.04019999504089356,-0.033879995346069336,0.0,4.0,-0.03864000737667084
03-30,-0.033879995346069336,-0.046600043773651116,-0.009999990463256836,-0.033879995346069336,0.0,4.0,-0.031090006232261658
03-31,-0.033879995346069336,-0.046600043773651116,-0.013199985027313229,0.004000000655651093,1.0,3.0,-0.02242000587284565
04-01,0.004000000655651093,-0.046600043773651116,-0.013199985027313229,0.0059500038623809814,2.0,2.0,-0.01246250607073307
04-02,0.0059500038623809814,-0.046600043773651116,-0.0031999945640563965,-0.01755000650882721,1.0,3.0,-0.015350010246038437
04-03,-0.01755000650882721,-0.05230003595352173,0.0065999627113342285,-0.04004999250173569,1.0,3.0,-0.0258250180631876
04-04,-0.04004999250173569,-0.05230003595352173,0.002590000629425049,-0.029499992728233337,1.0,3.0,-0.029815005138516426
04-05,-0.029499992728233337,-0.03730005025863648,-0.07990998029708862,-0.02643999457359314,0.0,4.0,-0.04328750446438789
04-06,-0.02643999457359314,-0.03730005025863648,-0.11650002002716064,-0.02643999457359314,0.0,4.0,-0.05167001485824585
04-07,-0.02643999457359314,-0.03730005025863648,-0.13620001077651978,-0.02823999524116516,0.0,4.0,-0.05704501271247864
04-08,-0.02823999524116516,-0.03730005025863648,-0.13620001077651978,-0.03999999910593033,0.0,4.0,-0.060435013845562935
04-09,-0.03999999910593033,-0.03730005025863648,-0.1253499984741211,-0.03500000387430191,0.0,4.0,-0.05941251292824745
04-10,-0.03500000387430191,-0.03730005025863648,-0.10664999485015868,0.0008500069379806519,1.0,3.0,-0.04452501051127911
04-11,0.0008500069379806519,-0.03730005025863648,-0.14342999458312988,0.003849998116493225,2.0,2.0,-0.04400750994682312
04-12,0.003849998116493225,-0.03730005025863648,-0.07311004400253296,-0.008379995822906494,1.0,3.0,-0.028735022991895683
04-13,-0.008379995822906494,-0.03730005025863648,-0.09035003185272217,-0.008379995822906494,0.0,4.0,-0.03610251843929292
04-14,-0.008379995822906494,-0.03730005025863648,-0.0967000126838684,-0.008379995822906494,0.0,4.0,-0.03769001364707947
04-15,-0.008379995822906494,-0.03730005025863648,-0.0967000126838684,-0.02151000499725341,0.0,4.0,-0.0409725159406662
04-16,-0.02151000499725341,-0.03730005025863648,-0.12999999523162842,-0.0199899971485138,0.0,4.0,-0.052200011909008026
04-17,-0.0199899971485138,-0.03730005025863648,-0.13999998569488525,-0.009379997849464415,0.0,4.0,-0.05166750773787498
04-18,-0.009379997849464415,-0.03730005025863648,-0.041429996490478516,-0.012100011110305786,0.0,4.0,-0.025052513927221298
04-19,-0.012100011110305786,-0.03730005025863648,0.07149994373321532,-0.012100011110305786,1.0,3.0,0.0024999678134918213
04-20,-0.012100011110305786,-0.03730005025863648,0.07149994373321532,-0.012100011110305786,1.0,3.0,0.0024999678134918213
04-21,-0.012100011110305786,-0.03730005025863648,-0.02390003204345703,-0.007689997553825378,0.0,4.0,-0.020247522741556168
04-22,-0.007689997553825378,-0.03730005025863648,-0.02390003204345703,-0.005000010132789612,0.0,4.0,-0.018472522497177124
04-23,-0.005000010132789612,-0.03730005025863648,-0.02490001916885376,-0.005000010132789612,0.0,4.0,-0.01805002242326736
04-24,-0.005000010132789612,-0.03730005025863648,-0.013700008392333984,-0.037300005555152886,0.0,4.0,-0.02332501858472824
04-25,-0.037300005555152886,-0.03730005025863648,-0.10065001249313353,-0.01664999127388,0.0,4.0,-0.04797501489520073
04-26,-0.01664999127388,-0.03730005025863648,-0.16759997606277466,0.004500001668930054,1.0,3.0,-0.05426250398159027
04-27,0.004500001668930054,-0.03730005025863648,-0.11706995964050293,0.004500001668930054,2.0,2.0,-0.036342501640319824
04-28,0.004500001668930054,-0.03730005025863648,-0.1080700159072876,-0.009950011968612673,1.0,3.0,-0.03770501911640167
04-29,-0.009950011968612673,-0.18230003118515006,-0.1080700159072876,-0.019950009882450104,0.0,4.0,-0.08006751723587513
04-30,-0.019950009882450104,-0.18230003118515006,-0.10607004165649414,-0.020000003278255463,0.0,4.0,-0.08208002150058746
05-01,-0.020000003278255463,-0.18230003118515006,-0.11959999799728395,-0.01861999928951264,0.0,4.0,-0.08513000793755053
05-02,-0.01861999928951264,-0.18230003118515006,-0.11309999227523805,-0.02531999349594116,0.0,4.0,-0.0848350040614605
05-03,-0.02531999349594116,-0.18230003118515006,-0.09623998403549194,-0.02448999136686325,0.0,4.0,-0.08208750002086163
05-04,-0.02448999136686325,-0.18230003118515006,-0.09574002027511597,-0.02448999136686325,0.0,4.0,-0.08175500854849815
05-05,-0.02448999136686325,-0.18230003118515006,-0.12164002656936646,0.009960003197193146,1.0,3.0,-0.07961751148104668
05-06,0.009960003197193146,-0.18230003118515006,-0.12164002656936646,0.02980000525712967,2.0,2.0,-0.06604501232504845
05-07,0.02980000525712967,-0.18230003118515006,-0.10000002384185792,0.02409999817609787,2.0,2.0,-0.05710001289844512
05-08,0.02409999817609787,-0.18230003118515006,-0.11210000514984132,0.02770000696182251,2.0,2.0,-0.060650007799267776
05-09,0.02770000696182251,-0.18230003118515006,-0.10439997911453247,-0.03349998593330383,1.0,3.0,-0.07312499731779099
05-10,-0.03349998593330383,-0.18230003118515006,-0.10512995719909668,-0.02059999108314514,0.0,4.0,-0.08538249135017395
05-11,-0.02059999108314514,-0.18230003118515006,-0.11000001430511476,-0.02059999108314514,0.0,4.0,-0.0833750069141388
05-12,-0.02059999108314514,-0.18230003118515006,-0.13620001077651978,0.03560000658035278,1.0,3.0,-0.07587500661611557
05-13,0.03560000658035278,-0.18230003118515006,-0.13620001077651978,0.012400001287460329,2.0,2.0,-0.0676250085234642
05-14,0.012400001287460329,-0.18230003118515006,-0.14010000228881836,0.007690012454986572,2.0,2.0,-0.0755775049328804
05-15,0.007690012454986572,-0.18230003118515006,-0.1512499749660492,0.008550003170967102,2.0,2.0,-0.07932749763131143
05-16,0.008550003170967102,-0.18230003118515006,-0.1481199860572815,-0.016099989414215088,1.0,3.0,-0.0844925008714199
05-17,-0.016099989414215088,-0.18230003118515006,-0.12914997339248654,-0.03599999099969864,0.0,4.0,-0.0908874962478876
05-18,-0.03599999099969864,-0.18230003118515006,-0.1497099995613098,-0.03599999099969864,0.0,4.0,-0.10100250318646432
05-19,-0.03599999099969864,-0.18230003118515006,-0.1550000011920929,-0.03599999099969864,0.0,4.0,-0.10232500359416008
05-20,-0.03599999099969864,-0.18230003118515006,-0.1550000011920929,-0.031040005385875705,0.0,4.0,-0.10108500719070436
05-21,-0.031040005385875705,-0.18230003118515006,-0.16482999920845032,0.041059985756874084,1.0,3.0,-0.08427751250565052
05-22,0.041059985756874084,-0.18230003118515006,-0.1550000011920929,0.021500006318092343,2.0,2.0,-0.06868501007556915
05-23,0.021500006318092343,-0.18230003118515006,-0.14010003209114075,0.021500006318092343,2.0,2.0,-0.06985001266002655
05-24,0.021500006318092343,-0.18230003118515006,-0.2099199891090393,0.0014999955892562866,2.0,2.0,-0.0923050045967102
05-25,0.0014999955892562866,-0.18230003118515006,-0.2197900116443634,0.0014999955892562866,2.0,2.0,-0.09977251291275024
05-26,0.0014999955892562866,-0.18230003118515006,-0.21370002627372744,0.0014999955892562866,2.0,2.0,-0.09825001657009123
05-27,0.0014999955892562866,-0.18230003118515006,-0.21370002627372744,0.009999997913837431,2.0,2.0,-0.09612501598894596
05-28,0.009999997913837431,-0.18230003118515006,-0.21370002627372744,0.02489999681711197,2.0,2.0,-0.09027501568198204
05-29,0.02489999681711197,-0.18230003118515006,-0.19630998373031616,0.09499999135732652,2.0,2.0,-0.06467750668525696
05-30,0.09499999135732652,-0.18230003118515006,-0.15120002627372742,0.1087999939918518,2.0,2.0,-0.03242501802742481
05-31,0.1087999939918518,-0.18230003118515006,-0.17570000886917114,0.1087999939918518,2.0,2.0,-0.03510001301765442
06-01,0.1087999939918518,-0.18230003118515006,-0.19771000742912287,0.1087999939918518,2.0,2.0,-0.04060251265764237
06-02,0.1087999939918518,-0.18230003118515006,-0.23271003365516665,0.08969999104738235,2.0,2.0,-0.05412751995027065
06-03,0.08969999104738235,-0.18230003118515006,-0.23271003365516665,0.08969999104738235,2.0,2.0,-0.058902520686388016
06-04,0.08969999104738235,-0.18230003118515006,-0.2327000200748444,0.08999999612569809,2.0,2.0,-0.05882501602172852
06-05,0.08999999612569809,-0.18230003118515006,-0.2402699887752533,0.15449999272823334,2.0,2.0,-0.044517507776618
06-06,0.15449999272823334,-0.18230003118515006,-0.2270999848842621,0.09350000321865083,2.0,2.0,-0.04035000503063202
06-07,0.09350000321865083,-0.18230003118515006,-0.2538000047206879,0.09350000321865083,2.0,2.0,-0.0622750073671341
06-08,0.09350000321865083,-0.14499998092651367,-0.4347999691963196,0.09350000321865083,2.0,2.0,-0.0981999859213829
06-09,0.09350000321865083,-0.14499998092651367,-0.4447999894618988,0.09350000321865083,2.0,2.0,-0.10069999098777772
06-10,0.09350000321865083,-0.14499998092651367,-0.4447999894618988,0.09350000321865083,2.0,2.0,-0.10069999098777772
06-11,0.09350000321865083,-0.14499998092651367,-0.45000001788139343,0.09655000269412994,2.0,2.0,-0.1012374982237816
06-12,0.09655000269412994,-0.14499998092651367,-0.3716300129890442,0.10250000655651093,2.0,2.0,-0.07939499616622925
06-13,0.10250000655651093,-0.14499998092651367,-0.3635999858379364,0.1075500026345253,2.0,2.0,-0.07463748939335346
06-14,0.1075500026345253,-0.14499998092651367,-0.32864001393318176,0.0450500026345253,2.0,2.0,-0.08025999739766121
06-15,0.0450500026345253,-0.14499998092651367,-0.2527000308036804,0.0450500026345253,2.0,2.0,-0.07690000161528587
06-16,0.0450500026345253,-0.14499998092651367,-0.2135000228881836,0.03450000286102295,2.0,2.0,-0.06973749957978725
06-17,0.03450000286102295,-0.14499998092651367,-0.2135000228881836,0.03144000470638275,2.0,2.0,-0.07313999906182289
06-18,0.03144000470638275,-0.14499998092651367,-0.21859997510910034,0.05000000447034837,2.0,2.0,-0.07053998671472073
06-19,0.05000000447034837,-0.14499998092651367,-0.1988999843597412,0.04500000923871994,2.0,2.0,-0.06222498789429665
06-20,0.04500000923871994,-0.14499998092651367,-0.23579999804496765,0.02300000190734864,2.0,2.0,-0.07819999195635319
06-21,0.02300000190734864,-0.14499998092651367,-0.14991998672485352,0.02300000190734864,2.0,2.0,-0.062229990959167474
06-22,0.02300000190734864,-0.14499998092651367,-0.14358997344970706,0.02300000190734864,2.0,2.0,-0.06064748764038086
06-23,0.02300000190734864,-0.14499998092651367,-0.1343899965286255,0.02000001072883606,2.0,2.0,-0.059097491204738624
06-24,0.02000001072883606,-0.14499998092651367,-0.1343899965286255,0.03223000466823578,2.0,2.0,-0.05678999051451681
06-25,0.03223000466823578,-0.14499998092651367,-0.11715000867843628,0.03223000466823578,2.0,2.0,-0.0494224950671196
06-26,0.03223000466823578,-0.14499998092651367,-0.1265999972820282,0.03223000466823578,2.0,2.0,-0.05178499221801758
06-27,0.03223000466823578,-0.14499998092651367,-0.11475002765655518,0.081619992852211,2.0,2.0,-0.03647500276565552
06-28,0.081619992852211,-0.14499998092651367,-0.2485700249671936,0.081619992852211,2.0,2.0,-0.057582505047321327
06-29,0.081619992852211,-0.14499998092651367,-0.3390499651432037,0.081619992852211,2.0,2.0,-0.08020249009132385
06-30,0.081619992852211,-0.14499998092651367,-0.3766999840736389,0.07999999821186066,2.0,2.0,-0.09001999348402022
07-01,0.07999999821186066,-0.14499998092651367,-0.3766999840736389,0.07999999821186066,2.0,2.0,-0.09042499214410782
07-02,0.07999999821186066,-0.14499998092651367,-0.2813000082969665,0.07999999821186066,2.0,2.0,-0.06657499819993973
07-03,0.07999999821186066,-0.14499998092651367,-0.2813000082969665,0.10089999437332152,2.0,2.0,-0.06134999915957452
07-05,0.10089999437332152,-0.14499998092651367,-0.21455001831054688,0.10089999437332152,2.0,2.0,-0.03943750262260437
07-06,0.10089999437332152,-0.14499998092651367,-0.11760002374649048,0.10089999437332152,2.0,2.0,-0.015200003981590273
07-07,0.10089999437332152,-0.14499998092651367,-0.11830002069473268,0.10114999115467073,2.0,2.0,-0.015312504023313522
07-08,0.10114999115467073,0.018290042877197262,-0.11830002069473268,0.07999999821186066,3.0,1.0,0.020285002887249
07-09,0.07999999821186066,0.018290042877197262,-0.1688300371170044,0.08999999612569809,3.0,1.0,0.0048650000244379035
07-10,0.08999999612569809,0.018290042877197262,-0.21192997694015506,0.08999999612569809,3.0,1.0,-0.003409985452890396
07-11,0.08999999612569809,0.16329002380371094,-0.2120999991893769,0.08861999213695526,3.0,1.0,0.032452503219246864
07-12,0.08861999213695526,0.16329002380371094,-0.2071000039577484,0.05862000584602356,3.0,1.0,0.025857504457235336
07-13,0.05862000584602356,0.16329002380371094,-0.2154000103473664,0.05862000584602356,3.0,1.0,0.01628250628709793
07-14,0.05862000584602356,0.16329002380371094,-0.22050002217292786,0.05862000584602356,3.0,1.0,0.01500750333070755
07-15,0.05862000584602356,0.16329002380371094,-0.22050002217292786,0.05779000371694565,3.0,1.0,0.014800002798438072
07-16,0.05779000371694565,0.16329002380371094,-0.22099998593330386,0.030900001525878906,3.0,1.0,0.007745010778307916
07-17,0.030900001525878906,0.16329002380371094,-0.2149999737739563,0.03660000860691071,3.0,1.0,0.003947515040636064
07-18,0.03660000860691071,0.16329002380371094,-0.18844997882843012,0.027300000190734863,3.0,1.0,0.009685013443231584
07-19,0.027300000190734863,0.16329002380371094,-0.19615000486373896,0.027300000190734863,3.0,1.0,0.005435004830360414
07-20,0.027300000190734863,0.16329002380371094,-0.24230003356933594,0.027300000190734863,3.0,1.0,-0.006102502346038818
07-21,0.027300000190734863,0.16329002380371094,-0.2416000366210937,0.027300000190734863,3.0,1.0,-0.0059275031089782715
07-22,0.027300000190734863,0.16329002380371094,-0.2416000366210937,0.014400005340576172,3.0,1.0,-0.009152501821517944
07-23,0.014400005340576172,0.16329002380371094,-0.2393000125885009,0.03950001299381256,3.0,1.0,-0.005527492612600327
07-24,0.03950001299381256,0.16329002380371094,-0.21310001611709595,0.06420999765396118,3.0,1.0,0.013475004583597185
07-25,0.06420999765396118,0.16329002380371094,-0.13624998927116394,0.04335001111030578,3.0,1.0,0.033650010824203484
07-26,0.04335001111030578,0.18000000715255735,-0.1796799898147583,0.04335001111030578,3.0,1.0,0.021755009889602658
07-27,0.04335001111030578,0.18000000715255735,-0.20115000009536746,0.04335001111030578,3.0,1.0,0.016387507319450382
07-28,0.04335001111030578,0.18000000715255735,-0.16019999980926514,0.06800000369548798,3.0,1.0,0.0327875055372715
07-29,0.06800000369548798,0.18000000715255735,-0.16019999980926514,0.08790000528097153,3.0,1.0,0.043925004079937935
07-30,0.08790000528097153,0.18000000715255735,-0.1268399953842163,0.08000000566244125,3.0,1.0,0.05526500567793846
07-31,0.08000000566244125,0.18000000715255735,-0.12154999375343326,0.007900014519691467,3.0,1.0,0.03658750839531422
08-01,0.007900014519691467,0.18000000715255735,-0.10854998230934143,0.03000000119209289,3.0,1.0,0.02733751013875008
08-02,0.03000000119209289,0.18000000715255735,-0.10284999012947084,0.03000000119209289,3.0,1.0,0.034287504851818085
08-03,0.03000000119209289,0.18000000715255735,-0.12007999420166016,0.03000000119209289,3.0,1.0,0.02998000383377075
08-04,0.03000000119209289,0.18000000715255735,-0.11028000712394714,0.03000000119209289,3.0,1.0,0.032430000603199005
08-05,0.03000000119209289,0.18000000715255735,-0.11028000712394714,0.05000001192092896,3.0,1.0,0.03743000328540802
08-06,0.05000001192092896,0.18000000715255735,-0.12831002473831174,0.05000001192092896,3.0,1.0,0.03792250156402588
08-07,0.05000001192092896,0.18000000715255735,-0.16010001301765442,0.05000001192092896,3.0,1.0,0.02997500449419022
08-08,0.05000001192092896,0.18000000715255735,-0.18389999866485604,-0.019999995827674862,2.0,2.0,0.0065250061452388755
08-09,-0.019999995827674862,0.18000000715255735,-0.17910000681877136,-0.019999995827674862,1.0,3.0,-0.00977499783039093
08-10,-0.019999995827674862,0.18000000715255735,-0.16510000824928284,-0.019999995827674862,1.0,3.0,-0.006274998188018799
08-11,-0.019999995827674862,0.18000000715255735,-0.1850999891757965,-0.019999995827674862,1.0,3.0,-0.011274993419647215
08-12,-0.019999995827674862,0.18000000715255735,-0.1850999891757965,-0.009999990463256836,1.0,3.0,-0.00877499207854271
08-13,-0.009999990463256836,0.18000000715255735,-0.1850000023841858,-0.009999990463256836,1.0,3.0,-0.006249994039535522
08-14,-0.009999990463256836,0.18000000715255735,-0.17097999155521393,-0.009999990463256836,1.0,3.0,-0.002744991332292557
08-15,-0.009999990463256836,0.2143999934196472,-0.1191299855709076,-0.08499999344348907,1.0,3.0,6.750598549842834e-05
08-16,-0.08499999344348907,0.3949999809265137,-0.12229999899864195,-0.08499999344348907,1.0,3.0,0.025674998760223392
08-17,-0.08499999344348907,0.4000000357627869,-0.05650001764297485,-0.08499999344348907,1.0,3.0,0.043375007808208466
08-18,-0.08499999344348907,0.4067000150680542,-0.06650000810623169,-0.01250000298023224,1.0,3.0,0.0606750026345253
08-19,-0.01250000298023224,0.3970000147819519,-0.06650000810623169,-0.01250000298023224,1.0,3.0,0.07637500017881392
08-20,-0.01250000298023224,0.3970000147819519,-0.02000001072883606,-0.01250000298023224,1.0,3.0,0.08799999952316284
08-21,-0.01250000298023224,0.3970000147819519,-0.005290001630783081,-0.01250000298023224,1.0,3.0,0.09167750179767607
08-22,-0.01250000298023224,0.4099000096321106,-0.08691999316215515,-0.01250000298023224,1.0,3.0,0.07449500262737274
