,2009,2013,2017,2018,2019,ups,downs,end_day_sum,avg
01-31,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-16,0.0
02-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-17,0.0
02-02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-18,0.0
02-04,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-20,0.0
02-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-21,0.0
02-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,04-22,0.0
02-07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,04-23,0.0
02-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,04-24,0.0
02-09,0.0,0.0,0.0,0.0,0.0,0.0,3.0,04-25,0.0
02-11,0.0,0.0,0.0,0.0,0.0,0.0,3.0,04-27,0.0
02-12,0.0,0.0,0.0,0.0,0.0,0.0,3.0,04-28,0.0
02-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,04-29,0.0
02-14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,04-30,0.0
02-15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-01,0.0
02-16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-02,0.0
02-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-05,0.0
02-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-06,0.0
02-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-07,0.0
02-22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-08,0.0
02-23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-09,0.0
02-25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-11,0.0
02-26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-12,0.0
02-27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-13,0.0
02-28,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-14,0.0
03-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-15,0.0
03-02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-16,0.0
03-04,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-18,0.0
03-05,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-19,0.0
03-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-20,0.0
03-07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-21,0.0
03-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-22,0.0
03-09,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-23,0.0
03-11,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-25,0.0
03-12,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-26,0.0
03-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-27,0.0
03-14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-28,0.0
03-15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-29,0.0
03-16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05-30,0.0
03-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-01,0.0
03-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-02,0.0
03-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-03,0.0
03-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-04,0.0
03-22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-05,0.0
03-23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-06,0.0
03-25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-08,0.0
03-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-09,0.0
03-27,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-10,0.0
03-28,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-11,0.0
03-29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-12,0.0
04-02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-16,0.0
04-03,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-17,0.0
04-04,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-18,0.0
04-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-19,0.0
04-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-20,0.0
04-09,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-23,0.0
04-10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-24,0.0
04-11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-25,0.0
04-12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-26,0.0
04-13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06-27,0.0
04-16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-30,0.0
04-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-01,0.0
04-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-02,0.0
04-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-03,0.0
04-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-04,0.0
04-22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-06,0.0
04-23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-07,0.0
04-24,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-08,0.0
04-25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-09,0.0
04-26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-10,0.0
04-27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-11,0.0
04-29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-13,0.0
04-30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-14,0.0
05-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-15,0.0
05-02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-16,0.0
05-03,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-17,0.0
05-04,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-18,0.0
05-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-20,0.0
05-07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-21,0.0
05-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-22,0.0
05-09,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-23,0.0
05-10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-24,0.0
05-11,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-25,0.0
05-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-27,0.0
05-14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-28,0.0
05-15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-29,0.0
05-16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-30,0.0
05-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,07-31,0.0
05-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-01,0.0
05-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-03,0.0
05-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-04,0.0
05-22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-05,0.0
05-23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-06,0.0
05-24,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-07,0.0
05-25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-08,0.0
05-28,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-11,0.0
05-29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-12,0.0
05-30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-13,0.0
05-31,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-14,0.0
06-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-15,0.0
06-03,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-17,0.0
06-04,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-18,0.0
06-05,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-19,0.0
06-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-20,0.0
06-07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-21,0.0
06-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-22,0.0
06-10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-24,0.0
06-11,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-25,0.0
06-12,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-26,0.0
06-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-27,0.0
06-14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-28,0.0
06-15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-29,0.0
06-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,08-31,0.0
06-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,09-01,0.0
06-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,09-02,0.0
06-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,09-03,0.0
06-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,09-04,0.0
06-22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,09-05,0.0
06-24,0.0,0.0,0.0,0.0,0.0,0.0,3.0,09-07,0.0
06-25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-08,0.0
06-26,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-09,0.0
06-27,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-10,0.0
06-28,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-11,0.0
06-29,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-12,0.0
06-30,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-13,0.0
07-01,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-14,0.0
07-02,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-15,0.0
07-03,0.8000011444091797,0.0,0.0,0.0,0.0,1.0,3.0,09-16,0.16000022888183593
07-05,0.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-18,0.12000007629394532
07-06,0.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-19,0.12000007629394532
07-07,0.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-20,0.12000007629394532
07-08,0.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-21,0.12000007629394532
07-09,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-22,0.3200000762939453
07-10,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-23,0.3200000762939453
07-11,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-24,0.3200000762939453
07-12,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-25,0.3200000762939453
07-13,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-26,0.3200000762939453
07-14,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-27,0.3200000762939453
07-15,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-28,0.3200000762939453
07-16,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-29,0.3200000762939453
07-17,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,09-30,0.3200000762939453
07-18,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,10-01,0.3200000762939453
07-19,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,10-02,0.3200000762939453
07-20,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,10-03,0.3200000762939453
07-21,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,10-04,0.3200000762939453
07-22,1.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,10-05,0.3200000762939453
07-23,3.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,10-06,0.7200000762939454
07-24,3.6000003814697266,0.0,0.0,0.0,0.0,1.0,3.0,10-07,0.7200000762939454
07-25,5.600000381469727,0.0,0.0,0.0,0.0,1.0,3.0,10-08,1.1200000762939453
07-26,5.600000381469727,0.0,0.0,0.0,0.0,1.0,3.0,10-09,1.1200000762939453
07-27,5.600000381469727,0.0,0.0,0.0,0.0,1.0,3.0,10-10,1.1200000762939453
07-28,5.600000381469727,0.0,0.0,0.0,0.0,1.0,3.0,10-11,1.1200000762939453
07-29,6.600000381469728,0.0,0.0,0.0,0.0,1.0,3.0,10-12,1.3200000762939452
07-30,6.600000381469728,0.0,0.0,0.0,0.0,1.0,3.0,10-13,1.3200000762939452
07-31,7.600000381469727,0.0,0.0,0.0,0.0,1.0,3.0,10-14,1.5200000762939454
08-01,7.600000381469727,0.0,0.0,0.0,0.0,1.0,3.0,10-15,1.5200000762939454
08-02,9.398000717163086,0.0,0.0,0.0,0.0,1.0,3.0,10-16,1.8796001434326173
08-03,9.398000717163086,0.0,0.0,0.0,0.0,1.0,3.0,10-17,1.8796001434326173
08-04,9.398000717163086,0.0,0.0,0.0,0.0,1.0,3.0,10-18,1.8796001434326173
08-05,13.149999618530279,0.0,0.0,0.0,0.0,1.0,3.0,10-19,2.6299999237060563
08-06,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,10-20,2.6208003997802733
08-07,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,10-21,2.6208003997802733
08-08,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,10-22,2.6208003997802733
08-09,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,10-23,2.6208003997802733
08-10,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,10-24,2.6208003997802733
08-11,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,10-25,2.6208003997802733
08-12,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,10-26,2.6208003997802733
08-13,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,10-27,2.6208003997802733
08-14,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,10-28,2.6208003997802733
08-15,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,10-29,2.6208003997802733
08-16,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,10-30,2.6208003997802733
08-17,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,10-31,2.6208003997802733
08-18,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-01,2.6208003997802733
08-19,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-02,2.6208003997802733
08-20,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-03,2.6208003997802733
08-21,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-04,2.6208003997802733
08-22,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-05,2.6208003997802733
08-23,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-06,2.6208003997802733
08-24,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-07,2.6208003997802733
08-25,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-08,2.6208003997802733
08-26,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-09,2.6208003997802733
08-27,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-10,2.6208003997802733
08-28,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-11,2.6208003997802733
08-29,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-12,2.6208003997802733
08-30,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-13,2.6208003997802733
08-31,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-14,2.6208003997802733
09-01,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-15,2.6208003997802733
09-03,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-17,2.6208003997802733
09-04,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-18,2.6208003997802733
09-05,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-19,2.6208003997802733
09-06,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-20,2.6208003997802733
09-07,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-21,2.6208003997802733
09-08,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-22,2.6208003997802733
09-09,13.104001998901367,0.0,0.0,0.0,0.0,1.0,3.0,11-23,2.6208003997802733
09-10,12.304000854492188,0.0,0.0,0.0,0.0,1.0,3.0,11-24,2.460800170898437
09-11,12.304000854492188,0.0,0.0,0.0,0.0,1.0,3.0,11-25,2.460800170898437
09-12,12.304000854492188,0.0,0.0,0.0,0.0,1.0,3.0,11-26,2.460800170898437
09-13,12.304000854492188,0.0,0.0,0.0,0.0,1.0,3.0,11-27,2.460800170898437
09-14,12.304000854492188,0.0,0.0,0.0,0.0,1.0,3.0,11-28,2.460800170898437
09-15,12.50400161743164,0.0,0.0,0.0,0.0,1.0,3.0,11-29,2.5008003234863283
09-16,11.50400161743164,0.0,0.0,0.0,0.0,1.0,3.0,11-30,2.300800323486328
09-17,12.0,0.0,0.0,0.0,0.0,1.0,3.0,12-01,2.4
09-18,10.0,0.0,0.0,0.0,0.0,1.0,3.0,12-02,2.0
09-19,10.0,0.0,0.0,0.0,0.0,1.0,3.0,12-03,2.0
09-20,10.0,0.0,0.0,0.0,0.0,1.0,3.0,12-04,2.0
09-21,10.0,0.0,0.0,0.0,0.0,1.0,3.0,12-05,2.0
09-22,10.0,0.0,0.0,0.0,0.0,1.0,3.0,12-06,2.0
09-23,8.0,0.0,0.0,0.0,0.0,1.0,3.0,12-07,1.6
09-24,8.0,0.0,0.0,0.0,0.0,1.0,3.0,12-08,1.6
09-25,8.0,0.0,0.0,0.0,0.0,1.0,3.0,12-09,1.6
09-26,8.0,0.0,0.0,0.0,0.0,1.0,3.0,12-10,1.6
09-27,8.0,0.0,0.0,0.0,0.0,1.0,3.0,12-11,1.6
09-28,8.0,0.0,0.0,0.0,0.0,1.0,3.0,12-12,1.6
09-29,8.0,0.0,0.0,0.0,0.0,1.0,3.0,12-13,1.6
09-30,8.0,0.0,0.0,0.0,0.0,1.0,3.0,12-14,1.6
10-01,8.0,0.0,0.0,0.0,0.0,1.0,3.0,12-15,1.6
10-02,7.0,0.0,0.0,0.0,0.0,1.0,3.0,12-16,1.4
10-03,7.0,0.0,0.0,0.0,0.0,1.0,3.0,12-17,1.4
10-04,7.0,0.0,0.0,0.0,0.0,1.0,3.0,12-18,1.4
10-05,7.0,0.0,0.0,0.0,0.0,1.0,3.0,12-19,1.4
10-06,7.0,0.0,0.0,0.0,0.0,1.0,3.0,12-20,1.4
10-07,6.0,0.0,0.0,0.0,0.0,1.0,3.0,12-21,1.2
10-08,6.0,0.0,0.0,0.0,0.0,1.0,3.0,12-22,1.2
10-09,4.2019996643066415,0.0,0.0,0.0,0.0,1.0,3.0,12-23,0.8403999328613281
10-10,4.2019996643066415,0.0,0.0,0.0,0.0,1.0,3.0,12-24,0.8403999328613281
10-11,4.2019996643066415,0.0,0.0,0.0,0.0,1.0,3.0,12-25,0.8403999328613281
10-12,4.2019996643066415,0.0,0.0,0.0,0.0,1.0,3.0,12-26,0.8403999328613281
10-13,0.450000762939446,0.0,0.0,0.0,0.0,1.0,3.0,12-27,0.09000015258788921
10-14,0.450000762939446,0.0,0.0,0.0,0.0,1.0,3.0,12-28,0.09000015258788921
10-15,0.4959983825683594,0.0,0.0,0.0,0.0,1.0,3.0,12-29,0.09919967651367187
10-16,0.4959983825683594,0.0,0.0,0.0,0.0,1.0,3.0,12-30,0.09919967651367187
10-17,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12-31,0.0
10-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-01,0.0
10-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-02,0.0
10-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-03,0.0
10-22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-05,0.0
10-23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-06,0.0
10-24,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-07,0.0
10-25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-08,0.0
10-26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-09,0.0
10-27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-10,0.0
10-29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-12,0.0
10-30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-13,0.0
10-31,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-14,0.0
11-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-15,0.0
11-02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-16,0.0
11-03,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-17,0.0
11-05,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-19,0.0
11-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-20,0.0
11-07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-21,0.0
11-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-22,0.0
11-09,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-23,0.0
11-10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-24,0.0
11-12,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-26,0.0
11-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-27,0.0
11-14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-28,0.0
11-15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-29,0.0
11-16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-30,0.0
11-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,01-31,0.0
11-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,02-02,0.0
11-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,02-03,0.0
11-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,02-04,0.0
11-22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,02-05,0.0
11-23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,02-06,0.0
11-24,0.0,0.0,0.0,0.0,0.0,0.0,3.0,02-07,0.0
11-26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,02-09,0.0
11-27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,02-10,0.0
11-28,0.0,0.0,0.0,0.0,0.0,0.0,3.0,02-11,0.0
11-29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,02-12,0.0
11-30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,02-13,0.0
12-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,02-14,0.0
12-03,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02-16,0.0
12-04,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02-17,0.0
12-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02-18,0.0
12-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02-19,0.0
12-07,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02-20,0.0
12-08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02-21,0.0
12-10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02-23,0.0
12-11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02-24,0.0
12-12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02-25,0.0
12-13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02-26,0.0
12-14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02-27,0.0
12-15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02-28,0.0
12-17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-01,0.0
12-18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-02,0.0
12-19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-03,0.0
12-20,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-04,0.0
12-21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-05,0.0
12-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-06,0.0
12-24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-08,0.0
12-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-10,0.0
12-27,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-11,0.0
12-28,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-12,0.0
12-29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-13,0.0
12-31,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03-15,0.0
