,2019,2020,ups,downs,avg
03-17,-0.09000015258789062,2.7699999809265137,1.0,1.0,1.3399999141693115
03-18,-0.09000015258789062,3.4200000762939453,1.0,1.0,1.6649999618530271
03-19,-0.09000015258789062,3.609999895095825,1.0,1.0,1.7599998712539673
03-20,0.39999961853027344,3.0300002098083496,2.0,0.0,1.7149999141693115
03-23,1.1499996185302734,3.0899999141693115,2.0,0.0,2.1199997663497925
03-24,1.119999885559082,2.8399999141693115,2.0,0.0,1.9799998998641968
03-25,1.119999885559082,2.700000047683716,2.0,0.0,1.9099999666213991
03-26,1.119999885559082,2.3499999046325684,2.0,0.0,1.7349998950958252
03-27,0.5999994277954102,2.980000257492065,2.0,0.0,1.7899998426437378
03-30,-0.9300003051757812,1.920000076293945,1.0,1.0,0.49499988555908203
03-31,-1.1800003051757812,1.9000000953674319,1.0,1.0,0.3599998950958252
04-01,-1.1800003051757812,1.889999866485596,1.0,1.0,0.3549997806549072
04-02,-1.1800003051757812,1.7799999713897705,1.0,1.0,0.29999983310699463
04-03,-0.9800004959106444,2.059999942779541,1.0,1.0,0.5399997234344482
04-06,-3.980000495910645,2.0300002098083496,1.0,1.0,-0.9750001430511476
04-07,-3.6999998092651367,2.1100001335144043,1.0,1.0,-0.7949998378753662
04-08,-3.6999998092651367,2.2899999618530282,1.0,1.0,-0.7049999237060547
04-09,-3.6999998092651367,2.3399999141693115,1.0,1.0,-0.6799999475479126
04-13,-4.600000381469727,1.579999923706055,1.0,1.0,-1.510000228881836
04-14,-5.289999961853027,1.559999942779541,1.0,1.0,-1.8650000095367432
04-15,-5.289999961853027,2.039999961853028,1.0,1.0,-1.625
04-16,-5.289999961853027,1.6099998950958252,1.0,1.0,-1.8400000333786009
04-17,-4.680000305175781,1.7199997901916504,1.0,1.0,-1.4800002574920654
04-20,-5.100000381469727,1.7300002574920654,1.0,1.0,-1.6850000619888306
04-21,-5.050000190734863,1.6100001335144043,1.0,1.0,-1.7200000286102295
04-22,-5.050000190734863,1.3000001907348633,1.0,1.0,-1.875
04-23,-5.050000190734863,0.9099998474121094,1.0,1.0,-2.070000171661377
04-24,-4.760000228881836,0.7100000381469727,1.0,1.0,-2.025000095367432
04-27,-5.65000057220459,0.25,1.0,1.0,-2.700000286102295
04-28,-5.489999771118164,0.4300003051757813,1.0,1.0,-2.5299997329711914
04-29,-5.489999771118164,0.2599997520446777,1.0,1.0,-2.615000009536743
04-30,-5.489999771118164,0.4300003051757813,1.0,1.0,-2.5299997329711914
05-01,-5.590000152587892,-0.3400001525878906,0.0,2.0,-2.96500015258789
05-04,-5.920000076293945,-0.3450002670288086,0.0,2.0,-3.132500171661377
05-05,-6.03000020980835,-0.4250001907348633,0.0,2.0,-3.2275002002716064
05-06,-6.03000020980835,-0.9600000381469728,0.0,2.0,-3.495000123977661
05-07,-6.03000020980835,-1.5899996757507324,0.0,2.0,-3.809999942779541
05-08,-5.690000534057617,-2.380000114440918,0.0,2.0,-4.0350003242492685
05-09,-6.090000152587892,-2.899999618530273,0.0,2.0,-4.494999885559082
05-10,-6.559999942779541,-3.0799999237060547,0.0,2.0,-4.819999933242798
05-11,-6.429999828338622,-3.0799999237060547,0.0,2.0,-4.754999876022339
05-12,-6.62999963760376,-1.369999885559082,0.0,2.0,-3.999999761581421
05-13,-6.62999963760376,-0.8299999237060547,0.0,2.0,-3.7299997806549072
05-14,-6.769999980926514,0.019999980926513672,1.0,1.0,-3.375
05-15,-6.269999980926514,0.22999978065490725,1.0,1.0,-3.0200001001358032
05-16,-5.789999961853027,0.3899998664855957,1.0,1.0,-2.700000047683716
05-17,-5.520000457763672,0.4000000953674317,1.0,1.0,-2.56000018119812
05-18,-5.850000381469728,0.4000000953674317,1.0,1.0,-2.7250001430511475
05-19,-5.580000877380371,0.29000043869018555,1.0,1.0,-2.6450002193450928
05-20,-5.580000877380371,0.4100003242492676,1.0,1.0,-2.5850002765655518
05-21,-5.920000076293945,-0.7600002288818359,0.0,2.0,-3.34000015258789
05-22,-7.2099995613098145,-1.2199997901916504,0.0,2.0,-4.214999675750732
05-23,-6.579999923706055,-0.2300000190734864,0.0,2.0,-3.4049999713897705
05-24,-7.100000381469728,-0.14999961853027344,0.0,2.0,-3.625
05-26,-6.699999809265138,-0.14999961853027344,0.0,2.0,-3.424999713897705
05-27,-6.699999809265138,0.059999942779541016,1.0,1.0,-3.3199999332427983
05-28,-6.699999809265138,-0.5149998664855957,0.0,2.0,-3.607499837875366
05-29,-6.1500000953674325,-0.7600002288818359,0.0,2.0,-3.455000162124634
05-30,-6.939999580383301,-0.5500001907348633,0.0,2.0,-3.744999885559082
05-31,-7.270000457763673,-0.1400003433227539,0.0,2.0,-3.705000400543213
06-01,-7.090000629425049,-0.1400003433227539,0.0,2.0,-3.6150004863739014
06-02,-6.830000400543213,-0.07000017166137695,0.0,2.0,-3.450000286102295
06-03,-6.830000400543213,-0.3600001335144043,0.0,2.0,-3.5950002670288086
06-04,-7.009999752044678,0.21000003814697266,1.0,1.0,-3.3999998569488525
06-05,-7.320000171661378,0.5799999237060547,1.0,1.0,-3.370000123977661
06-06,-6.489999771118164,0.1700000762939453,1.0,1.0,-3.1599998474121094
06-07,-6.230000019073486,0.1399998664855957,1.0,1.0,-3.0450000762939453
06-08,-5.260000228881836,0.1399998664855957,1.0,1.0,-2.56000018119812
06-09,-5.070000648498535,0.09999990463256836,1.0,1.0,-2.4850003719329834
06-10,-5.070000648498535,0.36999988555908203,1.0,1.0,-2.3500003814697266
06-11,-4.760000228881836,0.4900002479553223,1.0,1.0,-2.134999990463257
06-12,-4.710000038146973,0.2300000190734864,1.0,1.0,-2.240000009536743
06-13,-5.029999732971191,-0.09999990463256836,0.0,2.0,-2.56499981880188
06-14,-3.059999942779541,-0.11999988555908205,0.0,2.0,-1.5899999141693115
06-15,-2.1349997520446777,-0.11999988555908205,0.0,2.0,-1.1274998188018799
06-16,-2.2199997901916504,-0.06999969482421875,0.0,2.0,-1.1449997425079346
06-17,-2.2199997901916504,-0.3600001335144043,0.0,2.0,-1.2899999618530271
06-18,-2.0899996757507324,-0.6750001907348633,0.0,2.0,-1.3824999332427979
06-19,-2.3700003623962402,-0.8299999237060547,0.0,2.0,-1.6000001430511477
06-20,-2.9200000762939453,-0.8099999427795409,0.0,2.0,-1.8650000095367432
06-21,-3.0199999809265137,-1.0299997329711914,0.0,2.0,-2.0249998569488525
06-22,-2.9300003051757812,-1.0299997329711914,0.0,2.0,-1.9800000190734863
06-23,-2.6900005340576167,-0.7199997901916504,0.0,2.0,-1.7050001621246338
06-24,-2.6900005340576167,-0.3299999237060547,0.0,2.0,-1.510000228881836
06-25,-1.9600000381469729,-0.8099999427795409,0.0,2.0,-1.3849999904632568
06-26,-1.6100001335144043,-0.6599998474121094,0.0,2.0,-1.1349999904632568
06-27,-1.920000076293945,-0.5499997138977051,0.0,2.0,-1.2349998950958252
06-28,-2.1100006103515625,-0.5399999618530273,0.0,2.0,-1.325000286102295
06-29,-1.5999999046325684,-0.5399999618530273,0.0,2.0,-1.069999933242798
06-30,-1.8499999046325684,-0.8500003814697266,0.0,2.0,-1.3500001430511477
07-01,-1.8499999046325684,-0.8000001907348633,0.0,2.0,-1.3250000476837158
07-02,-1.9000000953674319,-0.7399997711181641,0.0,2.0,-1.3199999332427979
07-03,-2.139999866485596,-0.2199997901916504,0.0,2.0,-1.179999828338623
07-05,-2.4900002479553223,-0.35500001907348633,0.0,2.0,-1.4225001335144043
07-06,-2.3899998664855957,-0.35500001907348633,0.0,2.0,-1.372499942779541
07-07,-2.5999999046325684,-0.315000057220459,0.0,2.0,-1.4574999809265137
07-08,-2.5999999046325684,-0.375,0.0,2.0,-1.4874999523162842
07-09,-1.9599995613098145,-0.3299999237060547,0.0,2.0,-1.1449997425079346
07-10,-2.1100006103515625,-0.4300003051757813,0.0,2.0,-1.270000457763672
07-11,-1.920000076293945,0.21000003814697266,1.0,1.0,-0.8550000190734863
07-12,-1.940000057220459,-0.19999980926513672,0.0,2.0,-1.069999933242798
07-13,-2.430000305175781,-0.19999980926513672,0.0,2.0,-1.315000057220459
07-14,-2.5,0.0,0.0,2.0,-1.25
07-15,-2.5,-0.315000057220459,0.0,2.0,-1.4075000286102295
07-16,-2.4800000190734863,0.019999980926513672,1.0,1.0,-1.2300000190734863
07-17,-2.4600000381469727,-0.4700002670288086,0.0,2.0,-1.4650001525878906
07-18,-2.859999656677246,-0.2599997520446777,0.0,2.0,-1.559999704360962
07-19,-2.050000190734864,-0.3299999237060547,0.0,2.0,-1.190000057220459
07-20,-2.039999961853028,-0.3299999237060547,0.0,2.0,-1.184999942779541
07-21,-2.059999942779541,-0.18000030517578125,0.0,2.0,-1.1200001239776611
07-22,-2.059999942779541,0.07999992370605469,1.0,1.0,-0.9900000095367432
07-23,-2.2199997901916504,0.19999980926513672,1.0,1.0,-1.0099999904632568
07-24,-1.6750001907348633,0.4200000762939453,1.0,1.0,-0.627500057220459
07-25,-2.179999828338623,0.5900001525878906,1.0,1.0,-0.7949998378753662
07-26,-2.9800000190734863,0.7600002288818359,1.0,1.0,-1.1099998950958252
07-27,-2.979999542236328,0.7600002288818359,1.0,1.0,-1.109999656677246
07-28,-2.869999885559082,0.4600000381469727,1.0,1.0,-1.204999923706055
07-29,-2.869999885559082,0.5499997138977051,1.0,1.0,-1.1600000858306885
07-30,-2.800000190734864,0.31999969482421875,1.0,1.0,-1.2400002479553225
07-31,-2.9599995613098145,0.440000057220459,1.0,1.0,-1.2599997520446775
08-01,-1.420000076293945,0.09000015258789062,1.0,1.0,-0.6649999618530273
08-02,-1.940000057220459,-0.039999961853027344,0.0,2.0,-0.9900000095367432
08-03,-1.329999923706055,-0.039999961853027344,0.0,2.0,-0.684999942779541
08-04,-1.8499999046325684,-0.2799997329711914,0.0,2.0,-1.06499981880188
08-05,-1.8499999046325684,-0.4600000381469727,0.0,2.0,-1.1549999713897705
08-06,-2.5199999809265137,-0.4099998474121094,0.0,2.0,-1.4649999141693115
08-07,-2.260000228881836,-0.5350003242492676,0.0,2.0,-1.3975002765655518
08-08,-2.4099998474121094,-0.7099995613098145,0.0,2.0,-1.559999704360962
08-09,-2.010000228881836,-0.7699999809265137,0.0,2.0,-1.3900001049041748
08-10,-1.75,-0.7699999809265137,0.0,2.0,-1.2599999904632568
08-11,-1.75,-1.010000228881836,0.0,2.0,-1.380000114440918
08-12,-1.75,-1.3899998664855957,0.0,2.0,-1.569999933242798
08-13,-2.429999828338623,-0.9800000190734864,0.0,2.0,-1.704999923706055
08-14,-2.690000057220459,-1.2800002098083496,0.0,2.0,-1.9850001335144043
08-15,-2.5999999046325684,-1.1599998474121094,0.0,2.0,-1.8799998760223389
08-16,-2.9099998474121094,-1.5099997520446775,0.0,2.0,-2.2099997997283936
08-17,-3.0399999618530287,-1.5099997520446775,0.0,2.0,-2.2749998569488525
08-18,-2.940000057220459,-1.3600001335144043,0.0,2.0,-2.150000095367432
08-19,-2.940000057220459,-1.309999942779541,0.0,2.0,-2.125
08-20,-2.9200000762939453,-1.450000286102295,0.0,2.0,-2.18500018119812
08-21,-2.8199996948242188,-0.8099999427795409,0.0,2.0,-1.8149998188018799
08-22,-2.359999656677246,-0.619999885559082,0.0,2.0,-1.489999771118164
08-23,-2.7899999618530287,-0.440000057220459,0.0,2.0,-1.6150000095367432
08-24,-2.0,-0.440000057220459,0.0,2.0,-1.2200000286102295
08-25,-2.800000190734864,-0.5300002098083496,0.0,2.0,-1.6650002002716064
08-26,-2.800000190734864,-0.5700001716613771,0.0,2.0,-1.6850001811981201
08-27,-2.71500015258789,-0.559999942779541,0.0,2.0,-1.6375000476837158
08-28,-2.9699997901916504,-0.2849998474121094,0.0,2.0,-1.6274998188018799
08-29,-2.6599998474121094,-0.21000003814697266,0.0,2.0,-1.434999942779541
08-30,-2.7100000381469727,-0.21000003814697266,0.0,2.0,-1.4600000381469729
08-31,-3.049999952316284,-0.21000003814697266,0.0,2.0,-1.6299999952316284
09-01,-3.1700000762939453,-0.09999990463256836,0.0,2.0,-1.6349999904632568
09-02,-3.1700000762939453,0.11999988555908205,1.0,1.0,-1.5250000953674316
09-03,-3.1700000762939453,0.309999942779541,1.0,1.0,-1.430000066757202
09-04,-3.659999847412109,0.36999988555908203,1.0,1.0,-1.6449999809265137
09-05,-3.4000000953674316,0.11999988555908205,1.0,1.0,-1.6400001049041748
09-06,-4.119999885559082,0.11999988555908205,1.0,1.0,-2.0
09-08,-3.639999866485596,0.11999988555908205,1.0,1.0,-1.7599999904632568
09-09,-3.639999866485596,0.1100001335144043,1.0,1.0,-1.7649998664855957
09-10,-3.5399999618530287,0.1100001335144043,1.0,1.0,-1.7149999141693115
09-11,-3.5,0.2399997711181641,1.0,1.0,-1.6300001144409182
09-12,-3.470000028610228,-0.07000017166137695,0.0,2.0,-1.7700001001358032
09-13,-3.330000162124634,-0.07000017166137695,0.0,2.0,-1.7000001668930054
09-14,-3.3399999141693115,-0.07000017166137695,0.0,2.0,-1.7050000429153442
09-15,-3.190000057220459,0.059999942779541016,1.0,1.0,-1.565000057220459
09-16,-3.190000057220459,0.06500005722045897,1.0,1.0,-1.5625
09-17,-2.820000171661377,0.014999866485595703,1.0,1.0,-1.4025001525878906
09-18,-2.220000028610229,-0.019999980926513672,0.0,2.0,-1.1200000047683716
09-19,-2.1999998092651367,0.13000011444091794,1.0,1.0,-1.0349998474121094
09-20,-1.929999828338623,0.13000011444091794,1.0,1.0,-0.8999998569488525
09-21,-1.25,0.13000011444091794,1.0,1.0,-0.559999942779541
09-22,-1.329999923706055,0.09000015258789062,1.0,1.0,-0.619999885559082
09-23,-1.329999923706055,0.5,1.0,1.0,-0.41499996185302734
09-24,-0.8499999046325684,0.6700000762939453,1.0,1.0,-0.08999991416931152
09-25,-0.9100003242492676,0.07999992370605469,1.0,1.0,-0.4150002002716065
09-26,-1.7200000286102295,0.15000009536743164,1.0,1.0,-0.7849999666213989
09-27,-1.75,0.15000009536743164,1.0,1.0,-0.7999999523162842
09-28,-2.1699998378753658,0.15000009536743164,1.0,1.0,-1.0099998712539673
09-29,-2.124999761581421,0.09999990463256836,1.0,1.0,-1.0124999284744265
09-30,-2.124999761581421,0.1700000762939453,1.0,1.0,-0.9774998426437378
10-01,-1.7850000858306885,0.09000015258789062,1.0,1.0,-0.8474999666213989
10-02,-1.750000238418579,0.07999992370605469,1.0,1.0,-0.8350001573562622
10-03,-2.164999961853028,-0.039999961853027344,0.0,2.0,-1.1024999618530271
10-04,-1.940000295639038,-0.039999961853027344,0.0,2.0,-0.9900001287460328
10-05,-1.6899998188018799,-0.039999961853027344,0.0,2.0,-0.8649998903274536
10-06,-1.6999998092651367,0.0,0.0,2.0,-0.8499999046325684
10-07,-1.6999998092651367,-0.1700000762939453,0.0,2.0,-0.9349999427795408
10-08,-1.9000000953674319,-0.2699999809265137,0.0,2.0,-1.0850000381469729
10-09,-2.0199997425079346,-0.1399998664855957,0.0,2.0,-1.0799998044967651
10-10,-2.1099998950958248,-0.1399998664855957,0.0,2.0,-1.1249998807907104
10-11,-2.240000009536743,-0.1399998664855957,0.0,2.0,-1.1899999380111694
10-12,-2.0299999713897705,-0.1399998664855957,0.0,2.0,-1.0849999189376829
10-13,-1.920000076293945,-0.2800002098083496,0.0,2.0,-1.1000001430511477
10-14,-1.920000076293945,-0.15000009536743164,0.0,2.0,-1.0350000858306885
10-15,-2.190000057220459,-0.05000019073486328,0.0,2.0,-1.1200001239776611
10-16,-1.130000114440918,-0.030000209808349613,0.0,2.0,-0.5800001621246338
10-17,-1.4099998474121094,0.1700000762939453,1.0,1.0,-0.619999885559082
10-18,-1.320000171661377,0.1700000762939453,1.0,1.0,-0.5750000476837158
10-19,-1.5499999523162842,0.1700000762939453,1.0,1.0,-0.6899999380111694
10-20,-1.239999771118164,0.2599997520446777,1.0,1.0,-0.4900000095367432
10-21,-1.239999771118164,0.3200001716613769,1.0,1.0,-0.4599997997283936
10-22,-1.239999771118164,0.2899999618530273,1.0,1.0,-0.4749999046325684
10-23,-1.130000114440918,0.3400001525878906,1.0,1.0,-0.3949999809265137
10-24,-1.329999923706055,0.3600001335144043,1.0,1.0,-0.4849998950958252
10-25,-1.0299999713897705,0.3600001335144043,1.0,1.0,-0.3349999189376831
10-26,-0.9099998474121094,0.3600001335144043,1.0,1.0,-0.2749998569488525
10-27,-0.4200000762939453,0.039999961853027344,1.0,1.0,-0.19000005722045896
10-28,-0.4200000762939453,0.3899998664855957,1.0,1.0,-0.015000104904174803
10-29,-0.3200001716613769,0.36999988555908203,1.0,1.0,0.02499985694885254
10-30,-0.019999980926513672,0.5500001907348633,1.0,1.0,0.2650001049041748
10-31,-0.3000001907348633,0.2799997329711914,1.0,1.0,-0.010000228881835938
11-01,-0.6500000953674316,0.2799997329711914,1.0,1.0,-0.18500018119812006
11-02,-0.3299999237060547,0.2799997329711914,1.0,1.0,-0.02500009536743164
11-03,-0.4299998283386231,0.15999984741210938,1.0,1.0,-0.13499999046325686
11-04,-0.4299998283386231,-0.019999980926513672,0.0,2.0,-0.2249999046325684
11-05,-1.329999923706055,0.039999961853027344,1.0,1.0,-0.6449999809265137
11-06,-0.5299997329711914,0.17999982833862305,1.0,1.0,-0.17499995231628418
11-07,0.11999988555908205,0.0,1.0,1.0,0.059999942779541016
11-08,0.4800000190734863,0.0,1.0,1.0,0.2400000095367432
11-09,0.8400001525878906,0.0,1.0,1.0,0.4200000762939453
11-10,0.8600001335144043,0.0,1.0,1.0,0.43000006675720215
11-11,0.8600001335144043,0.0,1.0,1.0,0.43000006675720215
11-12,1.1299998760223389,1.1299998760223389,2.0,0.0,1.1299998760223389
11-13,1.25,1.25,2.0,0.0,1.25
11-14,1.510000228881836,1.510000228881836,2.0,0.0,1.510000228881836
11-15,1.739999771118164,1.739999771118164,2.0,0.0,1.739999771118164
11-18,1.9900002479553225,1.9900002479553225,2.0,0.0,1.9900002479553225
11-19,1.690000057220459,1.690000057220459,2.0,0.0,1.690000057220459
11-20,1.2899999618530271,1.2899999618530271,2.0,0.0,1.2899999618530271
11-21,1.4900002479553225,1.4900002479553225,2.0,0.0,1.4900002479553225
11-22,1.4199998378753662,1.4199998378753662,2.0,0.0,1.4199998378753662
11-25,1.4100000858306885,1.4100000858306885,2.0,0.0,1.4100000858306885
11-26,1.260000228881836,1.260000228881836,2.0,0.0,1.260000228881836
11-27,0.93999981880188,0.93999981880188,2.0,0.0,0.93999981880188
11-29,0.7100000381469727,0.7100000381469727,2.0,0.0,0.7100000381469727
12-02,0.3599996566772461,0.3599996566772461,2.0,0.0,0.3599996566772461
12-03,0.019999980926513672,0.019999980926513672,2.0,0.0,0.019999980926513672
12-04,0.09999990463256836,0.09999990463256836,2.0,0.0,0.09999990463256836
12-05,0.19000005722045896,0.19000005722045896,2.0,0.0,0.19000005722045896
12-06,1.0499999523162842,1.0499999523162842,2.0,0.0,1.0499999523162842
12-09,1.119999885559082,1.119999885559082,2.0,0.0,1.119999885559082
12-10,1.1299998760223389,1.1299998760223389,2.0,0.0,1.1299998760223389
12-11,1.2149999141693115,1.2149999141693115,2.0,0.0,1.2149999141693115
12-12,1.3999998569488523,1.3999998569488523,2.0,0.0,1.3999998569488523
12-13,1.119999885559082,1.119999885559082,2.0,0.0,1.119999885559082
12-16,0.3700001239776611,0.3700001239776611,2.0,0.0,0.3700001239776611
12-17,0.31999993324279785,0.31999993324279785,2.0,0.0,0.31999993324279785
12-18,0.2300000190734864,0.2300000190734864,2.0,0.0,0.2300000190734864
12-19,0.375,0.375,2.0,0.0,0.375
12-20,0.3899998664855957,0.3899998664855957,2.0,0.0,0.3899998664855957
12-23,0.0,0.0,0.0,2.0,0.0
12-24,-0.1099998950958252,-0.1099998950958252,0.0,2.0,-0.1099998950958252
12-26,-0.3399999141693115,-0.3399999141693115,0.0,2.0,-0.3399999141693115
12-27,-0.5199999809265137,-0.5199999809265137,0.0,2.0,-0.5199999809265137
12-30,-0.38000011444091797,-0.38000011444091797,0.0,2.0,-0.38000011444091797
12-31,-0.6900002956390381,-0.6900002956390381,0.0,2.0,-0.6900002956390381
