,2018,2019,2020,ups,downs,avg
03-06,-0.02199995517730713,-0.010000005364418002,-0.020000003278255463,0.0,3.0,-0.017333321273326863
03-07,0.03900003433227539,0.0010000020265578946,-0.0060000047087669355,2.0,1.0,0.011333343883355449
03-08,0.009999990463256836,-0.018999993801116943,-0.012000001966953264,1.0,2.0,-0.007000001768271122
03-09,0.04999995231628418,-0.00100000202655795,-0.012000001966953264,1.0,2.0,0.012333316107590987
03-10,-0.009999990463256836,-0.0020000040531158447,-0.016000002622604356,0.0,3.0,-0.009333332379659012
03-11,-0.019999980926513672,-0.0020000040531158447,-0.020999997854232767,0.0,3.0,-0.014333327611287432
03-12,-0.019999980926513672,0.0039999932050705225,-0.006999999284744264,1.0,2.0,-0.0076666623353958034
03-13,-0.019999980926513672,-0.0020000040531158447,0.02699999883770944,1.0,2.0,0.001666671286026639
03-14,-0.019999980926513672,-0.006000012159347534,0.02499999850988388,1.0,2.0,-0.00033333152532577515
03-15,0.0,0.004000008106231745,0.021000005304813385,2.0,1.0,0.00833333780368171
03-16,-0.0700000524520874,-0.0039999932050705225,0.021000005304813385,1.0,2.0,-0.01766668011744818
03-17,-0.26499998569488525,-0.009999990463256836,0.03800000250339508,1.0,2.0,-0.07899999121824901
03-18,-0.25,-0.009999990463256836,0.04699999839067458,1.0,2.0,-0.07099999735752742
03-19,-0.25,-0.021999999880790683,0.0509999990463257,1.0,2.0,-0.07366666694482167
03-20,-0.25,-0.07499998807907103,0.04100000113248825,1.0,2.0,-0.0946666623155276
03-21,-0.22299998998641968,-0.05499999225139618,0.030999995768070217,1.0,2.0,-0.08233332882324855
03-22,-0.2150000333786012,-0.056000009179115316,0.030999995768070217,1.0,2.0,-0.08000001559654875
03-23,-0.32999998331069946,-0.056000009179115295,0.030999995768070217,1.0,2.0,-0.11833333224058153
03-24,-0.3199999928474425,-0.06400001049041748,0.037999995052814484,1.0,2.0,-0.11533333609501514
03-25,-0.37300002574920654,-0.06400001049041748,0.05399999767541884,1.0,2.0,-0.12766667952140173
03-26,-0.37300002574920654,-0.07699999213218689,0.046999998390674605,1.0,2.0,-0.13433333983023962
03-27,-0.37300002574920654,-0.06899999082088462,0.06500000134110451,1.0,2.0,-0.12566667174299553
03-28,-0.40400004386901855,-0.06400001049041745,0.03700000047683714,1.0,2.0,-0.14366668462753296
03-29,-0.4900000095367432,-0.03400000929832461,0.03199999779462813,1.0,2.0,-0.16400000701347986
03-30,-0.5080000162124632,-0.04100000858306885,0.03199999779462813,1.0,2.0,-0.17233334233363462
03-31,-0.4380000233650205,-0.04399999976158145,0.04499999806284905,1.0,2.0,-0.14566667502125094
04-01,-0.4210000038146969,-0.04399999976158145,0.05400000140070914,1.0,2.0,-0.13700000072518978
04-02,-0.4210000038146969,-0.025999993085861255,0.04099999740719795,1.0,2.0,-0.13533333316445345
04-03,-0.40299999713897705,-0.029999986290931674,0.04000000283122064,1.0,2.0,-0.13099999353289604
04-04,-0.4620000720024109,-0.06300000846385961,0.026000000536441803,1.0,2.0,-0.16633335997660956
04-05,-0.4729999899864197,-0.05400000512599951,0.024000003933906555,1.0,2.0,-0.16766666372617087
04-06,-0.5099999904632568,-0.0539999902248382,0.024000003933906555,1.0,2.0,-0.17999999225139618
04-07,-0.4830000400543213,-0.04999999701976768,0.03400000184774399,1.0,2.0,-0.1663333450754483
04-08,-0.4900000095367432,-0.04999999701976768,0.039999999105930335,1.0,2.0,-0.16666666915019349
04-09,-0.4900000095367432,-0.05900000035762784,0.046999998390674605,1.0,2.0,-0.1673333371678988
04-10,-0.5199999809265137,-0.056000009179115316,0.03200000524520874,1.0,2.0,-0.1813333282868068
04-11,-0.5529999732971191,-0.007999986410141047,0.02300000190734864,1.0,2.0,-0.17933331926663718
04-12,-0.5519999861717224,-0.05900000035762784,0.024000003933906555,1.0,2.0,-0.19566666086514792
04-13,-0.5149999856948855,-0.059000000357627924,0.024000003933906555,1.0,2.0,-0.18333332737286887
04-14,-0.4870000481605528,-0.03999999165534973,0.01900000125169754,1.0,2.0,-0.1693333461880683
04-15,-0.5100000500679014,-0.03999999165534973,0.03800000250339509,1.0,2.0,-0.170666679739952
04-16,-0.5100000500679014,-0.04899999499320984,0.05300000309944152,1.0,2.0,-0.1686666806538899
04-17,-0.5799999833106997,-0.05000001192092901,0.05700000375509263,1.0,2.0,-0.19099999715884533
04-18,-0.625,-0.03299999237060547,0.0820000022649765,1.0,2.0,-0.1919999967018763
04-19,-0.5900000333786013,-0.022999987006187408,0.0820000022649765,1.0,2.0,-0.1770000060399374
04-20,-0.5499999523162842,-0.022999987006187408,0.0820000022649765,1.0,2.0,-0.1636666456858317
04-21,-0.5400000214576721,-0.02799999713897705,0.08500000089406967,1.0,2.0,-0.16100000590085986
04-22,-0.5750000476837158,-0.02799999713897705,0.07699999958276749,1.0,2.0,-0.17533334841330847
04-23,-0.5750000476837158,-0.02599999308586121,0.08700000494718553,1.0,2.0,-0.1713333452741305
04-24,-0.4750000238418579,-0.027999997138977082,0.08400000631809235,1.0,2.0,-0.13966667155424753
04-25,-0.5090000629425047,-0.01999999582767484,0.08100000023841858,1.0,2.0,-0.14933335284392033
04-26,-0.5109999775886536,-0.020999997854232816,0.06399999558925629,1.0,2.0,-0.15599999328454334
04-27,-0.4999999403953552,-0.015999987721443176,0.06399999558925629,1.0,2.0,-0.15066664417584738
04-28,-0.5169999599456787,-0.0059999972581863395,0.06399999558925629,1.0,2.0,-0.1529999872048696
04-29,-0.5579999685287476,-0.0059999972581863395,0.059000000357627876,1.0,2.0,-0.16833332180976868
04-30,-0.5579999685287476,-0.03700001537799842,0.05400000512599948,1.0,2.0,-0.1803333262602488
05-01,-0.5349999666213989,-0.018000006675720243,0.0689999908208847,1.0,2.0,-0.16133332749207815
05-02,-0.4699999690055847,-0.03500001132488253,0.061000004410743686,1.0,2.0,-0.14799999197324118
05-03,-0.4960000514984131,-0.04800000786781311,0.06000000238418578,1.0,2.0,-0.1613333523273468
05-04,-0.4899999499320982,-0.0559999942779541,0.06000000238418578,1.0,2.0,-0.16199998060862214
05-05,-0.6399999856948855,-0.03000000119209289,0.06000000238418578,1.0,2.0,-0.20333332816759755
05-06,-0.619999945163727,-0.03000000119209289,0.0650000050663948,1.0,2.0,-0.1949999804298084
05-07,-0.619999945163727,-0.037999987602233935,0.0689999908208847,1.0,2.0,-0.19633331398169207
05-08,-0.6399999260902405,0.0,0.07500000298023224,1.0,2.0,-0.1883333077033361
05-09,-0.6069999933242798,-0.0030000060796737393,0.1050000041723251,1.0,2.0,-0.16833333174387613
05-10,-0.5120000243186951,0.01099999248981473,0.11399999260902405,2.0,1.0,-0.12900001307328546
05-11,-0.5510000586509705,0.04299999773502342,0.11399999260902405,2.0,1.0,-0.13133335610230767
05-12,-0.5779999494552612,0.05800001323223111,0.1069999933242798,2.0,1.0,-0.13766664763291678
05-13,-0.5819999575614929,0.05800001323223111,0.1040000021457672,2.0,1.0,-0.1399999807278315
05-14,-0.5819999575614929,0.06500001251697538,0.11400000005960464,2.0,1.0,-0.13433331499497095
05-15,-0.5960000157356262,0.049999997019767733,0.09999999403953552,2.0,1.0,-0.14866667489210764
05-16,-0.5900000333786011,0.05100001394748685,0.1080000028014183,2.0,1.0,-0.14366667220989862
05-17,-0.6440000534057617,0.08899998664855957,0.10200000554323196,2.0,1.0,-0.15100002040465674
05-18,-0.6299999952316284,0.09200000762939453,0.10200000554323196,2.0,1.0,-0.14533332735300064
05-19,-0.6419999599456787,0.062000006437301636,0.09200000762939453,2.0,1.0,-0.16266664862632751
05-20,-0.6179999709129333,0.062000006437301636,0.08599999547004697,2.0,1.0,-0.15666665633519491
05-21,-0.6179999709129333,0.062000006437301636,0.09399999678134917,2.0,1.0,-0.15399998923142752
05-22,-0.5580000281333923,0.06399999558925631,0.08300000429153442,2.0,1.0,-0.13700000941753387
05-23,-0.5300000309944153,0.08100001513957977,0.06199999898672104,2.0,1.0,-0.12900000562270486
05-24,-0.5799999833106995,0.09399999678134917,0.06400000303983687,2.0,1.0,-0.14066666116317114
05-25,-0.4919999241828919,0.08399999141693112,0.06400000303983687,2.0,1.0,-0.11466664324204127
05-26,-0.3250000476837158,0.06400001049041756,0.06400000303983687,2.0,1.0,-0.06566667805115378
05-27,-0.3190000057220459,0.06400001049041756,0.07399999350309372,2.0,1.0,-0.060333333909511525
05-28,-0.3190000057220459,0.06400001049041756,0.04800000041723253,2.0,1.0,-0.06899999827146526
05-29,-0.3190000057220459,0.06499998271465303,0.038000009953975664,2.0,1.0,-0.07200000435113907
05-30,-0.35199999809265137,0.08900001645088196,0.04899999499320984,2.0,1.0,-0.0713333288828532
05-31,-0.3670000433921814,0.07500000298023224,0.018999993801116943,2.0,1.0,-0.09100001553694408
06-01,-0.4149999618530272,0.05099998414516446,0.018999993801116943,2.0,1.0,-0.11499999463558193
06-02,-0.3270000219345092,0.031000003218650818,0.023999996483325958,2.0,1.0,-0.09066667407751082
06-03,-0.3430000245571136,0.031000003218650818,0.031999997794628136,2.0,1.0,-0.0933333411812782
06-04,-0.3430000245571136,0.01700000464916232,0.023000001907348647,2.0,1.0,-0.10100000600020087
06-05,-0.3530000150203705,0.021999999880790683,0.04700000584125517,2.0,1.0,-0.09466666976610824
06-06,-0.29399996995925903,0.02300000190734864,0.03700000047683717,2.0,1.0,-0.07799998919169109
06-07,-0.19699999690055847,0.031000003218650787,0.0020000040531158447,2.0,1.0,-0.05466666320959728
06-08,-0.19999998807907104,0.028999999165535,0.0020000040531158447,2.0,1.0,-0.056333328286806726
06-09,-0.1960000097751618,0.02099999785423276,0.01600000262260437,2.0,1.0,-0.05300000309944156
06-10,-0.18200001120567327,0.02099999785423276,0.03000000864267349,2.0,1.0,-0.04366666823625568
06-11,-0.18200001120567327,0.02099999785423276,0.02499999850988389,2.0,1.0,-0.045333338280518866
06-12,-0.2520000040531159,0.028999999165535,0.03300000727176669,2.0,1.0,-0.06333333253860474
06-13,-0.3010000288486481,0.0039999932050704965,0.032999999821186066,2.0,1.0,-0.08800001194079718
06-14,-0.2619999647140503,0.004999995231628362,0.0399999991059303,2.0,1.0,-0.07233332345883055
06-15,-0.24700000882148745,0.02299998700618744,0.0399999991059303,2.0,1.0,-0.06133334090312322
06-16,-0.24199998378753665,0.0,0.039000004529952975,1.0,2.0,-0.06766665975252788
06-17,-0.06999999284744263,0.0,0.044999994337558746,1.0,2.0,-0.00833333283662796
06-18,-0.06999999284744263,0.0010000020265579224,0.03300000727176662,2.0,1.0,-0.011999994516372695
06-19,-0.05699998140335082,-0.002999991178512601,0.021000005304813343,1.0,2.0,-0.012999989092350029
06-20,-0.05000001192092896,0.01600000262260437,0.03500000387430188,2.0,1.0,0.0003333315253257659
06-21,-0.07599997520446777,-0.0039999932050704965,0.04699999839067458,1.0,2.0,-0.010999990006287892
06-22,0.006999969482421875,0.0269999951124191,0.04699999839067458,3.0,0.0,0.026999987661838518
06-23,-0.11500000953674315,0.049000009894371005,0.0560000017285347,2.0,1.0,-0.0033333326379458204
06-24,-0.13499999046325686,0.049000009894371005,0.054999999701976776,2.0,1.0,-0.010333326955636352
06-25,-0.13499999046325686,0.05100001394748693,0.04999999701976775,2.0,1.0,-0.011333326498667385
06-26,-0.09299999475479126,0.028999984264373783,0.023000001907348647,2.0,1.0,-0.013666669527689612
06-27,-0.05299997329711914,0.03999999165534973,0.005999997258186368,2.0,1.0,-0.0023333281278610143
06-28,-0.10000002384185792,0.008999988436698941,0.015000000596046446,2.0,1.0,-0.02533334493637084
06-29,-0.13600000739097598,-0.00500001013278964,0.015000000596046446,1.0,2.0,-0.042000005642573064
06-30,-0.2240000367164612,-0.010000005364418058,-0.012999996542930605,0.0,3.0,-0.08233334620793661
07-01,-0.22200003266334528,-0.010000005364418058,0.0039999932050704965,1.0,2.0,-0.07600001494089761
07-02,-0.22200003266334528,-0.004999995231628418,-0.0040000081062316895,0.0,3.0,-0.0770000120004018
07-03,-0.1870000064373016,-0.01600000262260434,0.009999990463256836,1.0,2.0,-0.06433333953221636
07-05,-0.1649999618530273,-0.015000000596046476,0.0029999911785125732,1.0,2.0,-0.0589999904235204
07-06,-0.13899996876716614,-0.02500000596046445,0.0029999911785125732,1.0,2.0,-0.05366666118303934
07-07,-0.14100000262260434,-0.020000010728836004,-0.003000006079673767,0.0,3.0,-0.05466667314370472
07-08,-0.14500001072883606,-0.020000010728836004,0.004000008106231662,1.0,2.0,-0.0536666711171468
07-09,-0.14500001072883606,-0.005000010132789584,0.0,0.0,3.0,-0.05000000695387522
07-10,-0.1509999930858612,-0.02599999308586121,-0.00100000202655795,0.0,3.0,-0.05933332939942679
07-11,-0.10799998044967646,-0.020999997854232788,-0.0039999932050704965,0.0,3.0,-0.04433332383632658
07-12,-0.16100001335144046,0.0010000020265579224,-0.03299999237060547,1.0,2.0,-0.06433333456516266
07-13,-0.1199999749660492,0.0,-0.03299999237060547,0.0,3.0,-0.050999989112218216
07-14,-0.15700000524520874,-0.01099999248981473,-0.030000001192092868,0.0,3.0,-0.06599999964237213
07-15,-0.16000002622604365,-0.01099999248981473,-0.02000000327825545,0.0,3.0,-0.06366667399803794
07-16,-0.16000002622604365,-0.006999999284744235,-0.02500000596046448,0.0,3.0,-0.06400001049041745
07-17,-0.12999999523162836,-0.019999995827674862,-0.027999997138977058,0.0,3.0,-0.05933332939942676
07-18,-0.1510000228881836,-0.03000000119209289,-0.031999997794628136,0.0,3.0,-0.07100000729163487
07-19,-0.18700000643730166,-0.06699998676776893,-0.018999993801116943,0.0,3.0,-0.09099999566872916
07-20,-0.2030000388622284,-0.09099999070167544,-0.018999993801116943,0.0,3.0,-0.10433334112167356
07-21,-0.12099999189376832,-0.08699999749660492,-0.04399999976158138,0.0,3.0,-0.08399999638398488
07-22,-0.093999981880188,-0.08699999749660492,-0.03800000250339508,0.0,3.0,-0.07299999396006268
07-23,-0.093999981880188,-0.11699999868869775,-0.02699999511241913,0.0,3.0,-0.07933332522710163
07-24,-0.11900001764297485,-0.1420000046491623,-0.02500000596046448,0.0,3.0,-0.0953333427508672
07-25,-0.14400002360343933,-0.12399999797344208,-0.013999998569488524,0.0,3.0,-0.09400000671545664
07-26,-0.09400001168251043,-0.1290000081062317,-0.02300000190734864,0.0,3.0,-0.08200000723203026
07-27,-0.07499998807907103,-0.14999999105930328,-0.02300000190734864,0.0,3.0,-0.08266666034857433
07-28,-0.08000001311302185,-0.13999998569488528,-0.02700001001358032,0.0,3.0,-0.08233333627382915
07-29,-0.09200000762939448,-0.13999998569488528,-0.02000001072883606,0.0,3.0,-0.08400000135103862
07-30,-0.09200000762939448,-0.1319999992847443,-0.019999995827674862,0.0,3.0,-0.08133333424727121
07-31,-0.12000000476837153,-0.12200000882148745,-0.011999994516372679,0.0,3.0,-0.08466666936874387
08-01,-0.12599998712539673,-0.12599998712539678,-0.01700000464916229,0.0,3.0,-0.0896666596333186
08-02,-0.12000000476837155,-0.1210000067949295,-0.02300000190734864,0.0,3.0,-0.08800000449021657
08-03,-0.059000015258789014,-0.12999999523162845,-0.02300000190734864,0.0,3.0,-0.07066667079925536
08-04,-0.09700003266334528,-0.1550000011920929,-0.019999995827674862,0.0,3.0,-0.09066667656103768
08-05,-0.14300003647804266,-0.1550000011920929,-0.027999997138977082,0.0,3.0,-0.10866667826970422
08-06,-0.14300003647804266,-0.13499999046325678,-0.03499999642372132,0.0,3.0,-0.10433334112167356
08-07,-0.11499997973442085,-0.08700001239776617,-0.012999996542930605,0.0,3.0,-0.07166666289170588
08-08,-0.12100002169609075,-0.07799997925758359,-0.01700000464916232,0.0,3.0,-0.07200000186761223
08-09,-0.08799999952316284,-0.10100001096725464,-0.019000008702278137,0.0,3.0,-0.06933333973089854
08-10,-0.052999973297119085,-0.11499999463558196,-0.019000008702278137,0.0,3.0,-0.06233332554499306
08-11,0.004999995231628362,-0.15000000596046448,-0.020999997854232788,1.0,2.0,-0.0553333361943563
08-12,-0.022000014781951904,-0.15000000596046448,0.00500001013278964,1.0,2.0,-0.055666670203208916
08-13,-0.022000014781951904,-0.13499999046325686,-0.010999992489814758,0.0,3.0,-0.055999999245007835
08-14,0.004999995231628418,-0.10500000417232516,-0.02000000327825545,1.0,2.0,-0.04000000407298406
08-15,0.013000011444091795,-0.10199999809265134,-0.040000006556510925,1.0,2.0,-0.042999997735023485
08-16,-0.02500000596046453,-0.0939999967813492,-0.05000000447034837,0.0,3.0,-0.05633333573738737
08-17,-0.03700000047683717,-0.085999995470047,-0.05000000447034837,0.0,3.0,-0.05766666680574418
08-18,-0.02000001072883606,-0.10500000417232512,-0.046999998390674605,0.0,3.0,-0.05733333776394526
08-19,-0.009999990463256836,-0.10500000417232512,-0.01600000262260437,0.0,3.0,-0.04366666575272878
08-20,-0.009999990463256836,-0.10999999940395358,-0.020000010728836073,0.0,3.0,-0.04666666686534884
08-21,0.016000002622604426,-0.09199999272823332,-0.013999998569488524,1.0,2.0,-0.029999996225039138
08-22,-0.008000016212463323,-0.08699999749660492,-0.019000008702278186,0.0,3.0,-0.03800000747044882
08-23,0.008000016212463379,-0.08399999141693118,-0.015000008046627059,1.0,2.0,-0.03033332775036496
08-24,0.022999972105026245,-0.06499999761581415,-0.015000008046627059,1.0,2.0,-0.01900001118580499
08-25,0.0029999911785125732,-0.07199999690055843,-0.014000006020069108,1.0,2.0,-0.027666670580704985
08-26,-0.02000001072883606,-0.07199999690055843,-0.013999998569488498,0.0,3.0,-0.035333335399627665
08-27,-0.02000001072883606,-0.0989999920129776,-0.017999991774559018,0.0,3.0,-0.045666664838790894
08-28,-0.008000016212463379,-0.07600000500679016,-0.02800000458955764,0.0,3.0,-0.0373333419362704
08-29,-0.1879999935626984,-0.0850000083446503,-0.02600000053644179,0.0,3.0,-0.09966666748126347
08-30,-0.18800002336502075,-0.10600000619888306,-0.02600000053644179,0.0,3.0,-0.1066666767001152
08-31,-0.25599998235702515,-0.10099999606609343,-0.02600000053644179,0.0,3.0,-0.1276666596531868
09-01,-0.2289999723434448,-0.0949999988079071,-0.02800000458955764,0.0,3.0,-0.11733332524696985
09-02,-0.25099995732307434,-0.0949999988079071,-0.039999999105930335,0.0,3.0,-0.12866665174563727
09-03,-0.25099995732307434,-0.0949999988079071,-0.04499999433755876,0.0,3.0,-0.13033331682284674
09-04,-0.25099995732307434,-0.12300001084804535,-0.02700000256299974,0.0,3.0,-0.13366665691137314
09-05,-0.20100000500679016,-0.10999998450279236,-0.01799999922513966,0.0,3.0,-0.10966666291157406
09-06,-0.2390000224113465,-0.1189999878406525,-0.01799999922513966,0.0,3.0,-0.12533333649237952
09-07,-0.22299998998641968,-0.09899999201297766,-0.01799999922513966,0.0,3.0,-0.11333332707484567
09-08,-0.20699998736381525,-0.08599999547004705,-0.01799999922513966,0.0,3.0,-0.103666660686334
09-09,-0.20399999618530268,-0.08599999547004705,-0.02700000256299974,0.0,3.0,-0.1056666647394498
09-10,-0.20399999618530268,-0.07099999487400058,-0.03599999099969865,0.0,3.0,-0.10366666068633396
09-11,-0.15599998831748962,-0.061999991536140435,-0.0379999950528145,0.0,3.0,-0.08533332496881485
09-12,-0.11499997973442085,-0.07099999487400055,-0.04499999433755876,0.0,3.0,-0.07699998964866005
09-13,-0.085999995470047,-0.06899999082088472,-0.04499999433755876,0.0,3.0,-0.06666666020949684
09-14,-0.09499999880790724,-0.07400000095367434,-0.04499999433755876,0.0,3.0,-0.0713333313663801
09-15,-0.07400000095367433,-0.07600000500679016,-0.03599999099969865,0.0,3.0,-0.06199999898672104
09-16,-0.06999999284744263,-0.07600000500679016,-0.0379999950528145,0.0,3.0,-0.06133333096901576
09-17,-0.06999999284744263,-0.07400000095367433,-0.02800000458955764,0.0,3.0,-0.057333332796891526
09-18,-0.07899999618530272,-0.06700000166893008,-0.02499999850988389,0.0,3.0,-0.05699999878803892
09-19,-0.07800000905990599,-0.06000000238418578,-0.01900000125169756,0.0,3.0,-0.05233333756526312
09-20,-0.06200000643730168,-0.05099999904632571,-0.01900000125169756,0.0,3.0,-0.044000002245108326
09-21,-0.05399999022483826,-0.06399999558925629,-0.01900000125169756,0.0,3.0,-0.04566666235526403
09-22,-0.07999998331069946,-0.0559999942779541,-0.02499999850988389,0.0,3.0,-0.05366665869951248
09-23,-0.09000000357627869,-0.0559999942779541,0.004000000655651079,1.0,2.0,-0.04733333239952723
09-24,-0.09000000357627869,-0.0429999977350235,-0.004999995231628446,0.0,3.0,-0.045999998847643546
09-25,-0.07300001382827759,-0.03200000524520877,0.004000000655651079,1.0,2.0,-0.03366667280594509
09-26,-0.07599997520446783,-0.050999999046325684,-0.0009999945759773254,0.0,3.0,-0.04266665627559029
09-27,-0.050999999046325684,-0.08100000023841858,-0.0009999945759773254,0.0,3.0,-0.0443333312869072
09-28,-0.03400000929832458,-0.04600000381469724,-0.0009999945759773254,0.0,3.0,-0.027000002562999715
09-29,-0.03499999642372132,-0.043000012636184665,-0.008000001311302199,0.0,3.0,-0.028666670123736058
09-30,-0.03499999642372132,-0.043000012636184665,-0.0210000053048134,0.0,3.0,-0.03300000478823978
10-01,-0.03499999642372132,-0.03200000524520874,-0.03599999099969865,0.0,3.0,-0.0343333308895429
10-02,-0.07800000905990599,-0.03899998962879181,-0.04300000518560411,0.0,3.0,-0.0533333346247673
10-03,-0.1210000216960907,-0.03200000524520874,-0.051999993622303016,0.0,3.0,-0.06833334018786748
10-04,-0.12099999189376832,-0.0419999957084656,-0.051999993622303016,0.0,3.0,-0.07166666040817897
10-05,-0.12400001287460327,-0.020999997854232816,-0.051999993622303016,0.0,3.0,-0.06566666811704637
10-06,-0.15799999237060547,-0.0020000040531158447,-0.04499999433755876,0.0,3.0,-0.06833333025376002
10-07,-0.12999999523162842,-0.0020000040531158447,-0.03599999099969865,0.0,3.0,-0.05599999676148097
10-08,-0.12999999523162842,-0.01000000536441803,-0.036999993026256575,0.0,3.0,-0.05899999787410101
10-09,-0.10999998450279236,-0.020000010728836032,-0.02499999850988389,0.0,3.0,-0.0516666645805041
10-10,-0.0919999778270722,-0.016999989748001126,-0.039999999105930335,0.0,3.0,-0.04966665556033456
10-11,-0.10999998450279236,-0.013999998569488551,-0.039999999105930335,0.0,3.0,-0.054666660726070425
10-12,-0.14699998497962952,-0.03800000250339508,-0.039999999105930335,0.0,3.0,-0.07499999552965164
10-13,-0.20300000905990606,-0.028999999165535,-0.0379999950528145,0.0,3.0,-0.09000000109275186
