,2019,2020,ups,downs,avg
05-13,-0.39999961853027344,-2.0,0.0,2.0,-1.1999998092651367
05-14,0.0,-2.0,0.0,2.0,-1.0
05-15,0.0,-2.0,0.0,2.0,-1.0
05-16,0.0,-2.0,0.0,2.0,-1.0
05-17,0.0,-2.0,0.0,2.0,-1.0
05-18,0.0,-2.0,0.0,2.0,-1.0
05-19,0.0,-2.0,0.0,2.0,-1.0
05-20,0.0,-2.0,0.0,2.0,-1.0
05-21,0.0,-2.0,0.0,2.0,-1.0
05-22,0.0,-2.0,0.0,2.0,-1.0
05-23,0.0,-2.0,0.0,2.0,-1.0
05-24,0.0,-2.0,0.0,2.0,-1.0
05-26,0.0,-2.0,0.0,2.0,-1.0
05-27,0.0,-2.0,0.0,2.0,-1.0
05-28,0.0,3.229999542236328,1.0,1.0,1.614999771118164
05-29,0.0,3.229999542236328,1.0,1.0,1.614999771118164
05-30,0.0,3.229999542236328,1.0,1.0,1.614999771118164
05-31,0.0,3.229999542236328,1.0,1.0,1.614999771118164
06-01,0.0,3.229999542236328,1.0,1.0,1.614999771118164
06-02,0.0,3.229999542236328,1.0,1.0,1.614999771118164
06-03,0.0,3.229999542236328,1.0,1.0,1.614999771118164
06-04,0.0,0.0,0.0,2.0,0.0
06-05,0.0,0.0,0.0,2.0,0.0
06-06,0.0,0.0,0.0,2.0,0.0
06-07,0.0,0.0,0.0,2.0,0.0
06-08,0.0,0.0,0.0,2.0,0.0
06-09,0.0,0.0,0.0,2.0,0.0
06-10,0.0,0.0,0.0,2.0,0.0
06-11,0.0,0.0,0.0,2.0,0.0
06-12,0.0,0.0,0.0,2.0,0.0
06-13,0.0,0.0,0.0,2.0,0.0
06-14,0.0,0.0,0.0,2.0,0.0
06-15,0.0,0.0,0.0,2.0,0.0
06-16,0.0,0.0,0.0,2.0,0.0
06-17,0.0,0.0,0.0,2.0,0.0
06-18,0.0,0.0,0.0,2.0,0.0
06-19,0.0,0.0,0.0,2.0,0.0
06-20,0.0,0.0,0.0,2.0,0.0
06-21,0.0,0.0,0.0,2.0,0.0
06-22,0.0,0.0,0.0,2.0,0.0
06-23,0.0,0.0,0.0,2.0,0.0
06-24,0.0,0.0,0.0,2.0,0.0
06-25,0.0,0.0,0.0,2.0,0.0
06-26,0.0,0.0,0.0,2.0,0.0
06-27,0.0,0.0,0.0,2.0,0.0
06-28,0.0,0.0,0.0,2.0,0.0
06-29,0.0,0.0,0.0,2.0,0.0
06-30,0.0,0.0,0.0,2.0,0.0
07-01,0.0,-2.5,0.0,2.0,-1.25
07-02,0.0,-2.5,0.0,2.0,-1.25
07-03,0.0,-2.5,0.0,2.0,-1.25
07-05,0.0,-2.5,0.0,2.0,-1.25
07-06,0.0,-2.5,0.0,2.0,-1.25
07-07,0.0,-2.5,0.0,2.0,-1.25
07-08,0.0,-2.5,0.0,2.0,-1.25
07-09,0.0,-2.5,0.0,2.0,-1.25
07-10,0.0,-2.5,0.0,2.0,-1.25
07-11,0.0,-2.5,0.0,2.0,-1.25
07-12,0.0,-2.5,0.0,2.0,-1.25
07-13,0.0,-2.5,0.0,2.0,-1.25
07-14,0.0,-2.5,0.0,2.0,-1.25
07-15,0.0,-2.5,0.0,2.0,-1.25
07-16,0.0,-2.5,0.0,2.0,-1.25
07-17,0.0,-2.5,0.0,2.0,-1.25
07-18,0.0,-2.5,0.0,2.0,-1.25
07-19,0.0,-2.5,0.0,2.0,-1.25
07-20,0.0,-2.5,0.0,2.0,-1.25
07-21,0.0,-2.5,0.0,2.0,-1.25
07-22,0.0,-2.5,0.0,2.0,-1.25
07-23,0.0,-2.5,0.0,2.0,-1.25
07-24,0.0,-2.5,0.0,2.0,-1.25
07-25,0.0,-2.5,0.0,2.0,-1.25
07-26,0.0,-2.5,0.0,2.0,-1.25
07-27,0.0,-2.5,0.0,2.0,-1.25
07-28,0.0,-2.5,0.0,2.0,-1.25
07-29,0.0,-2.5,0.0,2.0,-1.25
07-30,0.0,-2.5,0.0,2.0,-1.25
07-31,0.0,-2.5,0.0,2.0,-1.25
08-01,0.0,-2.5,0.0,2.0,-1.25
08-02,0.0,-2.5,0.0,2.0,-1.25
08-03,0.0,-2.5,0.0,2.0,-1.25
08-04,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-05,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-06,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-07,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-08,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-09,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-10,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-11,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-12,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-13,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-14,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-15,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-16,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-17,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-18,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-19,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-20,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-21,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-22,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-23,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-24,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-25,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-26,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-27,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-28,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
