,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-21,0.0,0.3627586364746094,0.08272504806518555,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.20157718658447266,-1.2364156246185303,4.0,7.0,04-05,-0.04649206725033863
01-22,0.0,0.3627586364746094,0.08272504806518555,0.0,0.8197374343872066,-0.3573522567749037,-0.7016677856445312,0.4864894151687622,0.0,-0.20157718658447266,-1.2065701484680176,4.0,7.0,04-06,-0.06504153121601468
01-23,2.240558624267578,0.3627586364746094,0.08272504806518555,0.0,0.8197374343872066,-0.3573522567749037,-0.7016677856445312,0.4864894151687622,0.0,-0.17330884933471702,-1.2065701484680176,5.0,6.0,04-07,0.14121546528556114
01-24,2.240558624267578,0.3627586364746094,0.08272504806518555,0.0,0.8197374343872066,-0.3573522567749037,-0.7016677856445312,0.4864894151687622,0.019117593765259233,-0.17330884933471702,-1.4028267860412607,6.0,5.0,04-08,0.12511191584847167
01-25,2.240558624267578,0.3627586364746094,0.08272504806518555,0.0,0.8197374343872066,-0.3573522567749037,-0.7016677856445312,0.4864894151687622,0.019117593765259233,-0.17330884933471702,-1.3537623882293701,6.0,5.0,04-09,0.12957231564955263
01-26,2.240558624267578,0.3627586364746094,0.08272504806518555,0.0,0.8197374343872066,-0.3573522567749037,-0.7016677856445312,0.4864894151687622,0.019117593765259233,-0.17330884933471702,-1.3537623882293701,6.0,5.0,04-10,0.12957231564955263
01-27,2.240558624267578,0.3627586364746094,0.08272504806518555,0.0,0.8197374343872066,-0.3573522567749037,-0.7016677856445312,0.4864894151687622,0.019117593765259233,-0.10507488250732422,-1.3537623882293701,6.0,5.0,04-11,0.13577540354295198
01-28,2.240558624267578,0.3627586364746094,0.08272504806518555,0.0,0.8197374343872066,-0.3573522567749037,-0.7016677856445312,0.4864894151687622,0.019117593765259233,-0.10507488250732422,-1.3537623882293701,6.0,5.0,04-12,0.13577540354295198
01-29,2.240558624267578,0.3627586364746094,0.08272504806518555,0.0,0.8197374343872066,-0.3573522567749037,-0.7016677856445312,0.4864894151687622,0.019117593765259233,-0.10507488250732422,-1.3537623882293701,6.0,5.0,04-13,0.13577540354295198
01-30,2.240558624267578,0.3627586364746094,0.08272504806518555,0.0,0.8197374343872066,-0.3573522567749037,-0.7016677856445312,0.4864894151687622,0.019117593765259233,-0.10507488250732422,-1.4715166091918945,6.0,5.0,04-14,0.12507047436454066
01-31,2.240558624267578,0.3627586364746094,0.08272504806518555,0.0,0.8197374343872066,-0.3573522567749037,-0.7016677856445312,0.4864894151687622,0.019117593765259233,-0.10507488250732422,-1.2654471397399902,6.0,5.0,04-15,0.14380406249653196
02-01,2.240558624267578,0.3627586364746094,0.08272504806518555,0.0,0.8197374343872066,-0.3573522567749037,-0.7016677856445312,0.4864894151687622,0.019117593765259233,-0.10507488250732422,-1.2654471397399902,6.0,5.0,04-16,0.14380406249653196
02-02,2.240558624267578,0.3627586364746094,0.08272504806518555,0.0,0.8197374343872066,-0.3573522567749037,-0.7016677856445312,0.4864894151687622,0.019117593765259233,-0.10507488250732422,-1.2654471397399902,6.0,5.0,04-17,0.14380406249653196
02-03,2.240558624267578,0.3627586364746094,0.03953886032104492,0.0,0.8197374343872066,-0.3573522567749037,-0.23388957977294922,0.4864894151687622,0.019117593765259233,-0.10507488250732422,-1.2654471397399902,6.0,5.0,04-18,0.18240333687175392
