,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,ups,downs,avg
01-18,-3.0638791752280885,-1.6128464521762569,0.2625913459717857,0.0,10.05586862040732,-1.1764675963158702,8.554393434126998,-0.5168804706517452,-1.5449074988321048,0.0,3.0,5.0,1.0957872207302037
01-19,-3.0638791752280885,-3.278741387104716,0.2625913459717857,0.0,10.227268540169495,-0.584793843123152,9.150133582179162,-2.6389391896261074,-1.5449074988321048,0.0,3.0,5.0,0.8528732374406273
01-20,-3.0638791752280885,-3.278741387104716,0.2625913459717857,0.0,9.714282807849688,-1.1764675963158702,7.757059971608814,-2.6389391896261074,-1.5449074988321048,0.0,3.0,5.0,0.6030999278323402
01-21,-3.621078398763275,-3.278741387104716,0.2625913459717857,0.0,11.235954735117858,-1.775143387846872,5.051107885172311,-2.6389391896261074,-1.5449074988321048,0.0,3.0,5.0,0.36908441040888784
01-22,-3.621078398763275,-3.0928287995511523,4.648381606649312,0.0,14.594591845263219,-1.775143387846872,5.802761561108142,0.8992782720976644,-1.5449074988321048,0.0,4.0,4.0,1.5911055200124933
01-23,-3.621078398763275,-3.0928287995511523,4.648381606649312,0.0,14.05405267938836,-1.775143387846872,5.809753865911904,1.7241320656382162,-1.5449074988321048,0.0,4.0,4.0,1.6202362132594388
01-24,-13.09533780190108,-3.0928287995511523,4.191533400233071,0.0,14.05405267938836,0.0,4.684683188239277,-0.8849585336476199,-2.3085023420060136,0.0,3.0,5.0,0.3548641790754843
01-25,-13.09533780190108,-3.329410091350767,3.9035906261975604,0.0,17.94871794871795,1.1627877749298976,1.7945542363323008,-0.8849585336476199,-2.439665087183128,0.0,4.0,4.0,0.506027907209511
01-26,-13.09533780190108,-3.329410091350767,0.03616539347798184,0.0,16.666664459087173,1.1627877749298976,2.248233514446271,-1.2557421998499356,-2.098633944061827,0.0,4.0,4.0,0.03347271047777132
01-27,-13.09533780190108,-3.329410091350767,0.03616539347798184,0.0,14.893619323794887,1.7341069352958407,3.501232336962411,-2.358335703157893,0.8616136368956119,0.0,5.0,3.0,0.22436540300169944
01-28,-13.09533780190108,-3.329410091350767,2.337373070828239,0.0,13.04347946272755,1.15607374022753,3.8697852674663866,-1.3476220708909754,0.2088721095326285,0.0,5.0,3.0,0.2843213686639513
01-29,-13.09533780190108,-3.329410091350767,1.9999459336099539,0.0,12.568308440986787,1.7341069352958407,4.330472037133791,-1.7457876514107604,0.2088721095326285,0.0,5.0,3.0,0.2671169911896393
01-30,-13.09533780190108,-3.977616193307355,1.3302442733413913,0.0,12.568308440986787,2.890173325432475,4.780635280421818,-1.7764103805560507,0.2088721095326285,0.0,5.0,3.0,0.2928869053950616
01-31,-15.47609076952748,-4.99999401760022,-5.232380896139881,0.0,12.568308440986787,1.1627877749298976,-0.5884131970328296,-1.7764103805560507,0.44385945778511365,0.0,3.0,5.0,-1.3898333587154665
02-01,-15.47609076952748,-6.4189730784581664,-1.4269407854421199,0.0,9.67741538533055,1.15607374022753,1.8137915828502131,-1.7764103805560507,2.088770895552491,0.0,4.0,4.0,-1.0362363410023034
02-02,-15.47609076952748,-4.99999401760022,-1.7200288533242716,0.0,11.956525720284988,1.15607374022753,2.7253664691417585,-2.174575961075814,1.5143551642585953,0.0,4.0,4.0,-0.7018368507614915
02-03,-15.454547827728895,-4.683333632453322,-1.7200288533242716,0.0,10.989011296115395,4.469276521007535,3.2142799565578626,-1.8682902515970687,0.8093931195011212,0.0,4.0,4.0,-0.4244239671921647
02-04,-15.454547827728895,-4.166605845602239,0.19998555849296795,0.0,10.497239121596733,5.555555555555555,3.2142799565578626,-1.7457876514107604,0.8355083582209966,0.0,5.0,3.0,-0.1064372774317777
02-05,-15.454547827728895,-3.799932598295814,-0.7248496998782176,0.0,4.705885344860601,5.555555555555555,3.273805131176773,-0.3368967550188461,0.8355083582209966,0.0,4.0,4.0,-0.5945472491107846
02-06,-15.454547827728895,-3.166611828002018,5.187585995680813,0.0,4.705885344860601,5.555555555555555,3.04659639100921,3.1546727060000688,0.8355083582209966,0.0,6.0,2.0,0.3864644695596331
02-07,-9.677408262707166,-2.483450136787058,4.615380955692932,0.0,4.705885344860601,5.02793431020366,3.8495683134101912,2.1961056344243763,0.704962044757437,0.0,6.0,2.0,0.8938978203854973
02-08,-22.622924452767926,-1.9769408414235399,3.93324904641006,0.0,4.733730749040277,5.02793431020366,1.216908196469819,2.1961056344243763,0.2872078656469758,0.0,6.0,2.0,-0.7204729491996296
02-09,-22.622924452767926,-3.631115078169712,3.93324904641006,0.0,2.4390259031121326,3.9547994999369966,4.359350541906106,3.1240398361509367,0.4699746965049517,0.0,6.0,2.0,-0.7973600006916453
02-10,-16.511006236679826,-3.631115078169712,3.93324904641006,0.0,4.761907645273747,1.7341069352958407,6.5095756764570485,5.382003030990983,0.0,0.0,5.0,3.0,0.21787210195781412
02-11,-15.576424916333965,-3.631115078169712,3.218110781858187,0.0,9.090907777308074,2.298852002683163,5.567008386378598,2.8765918956153844,0.0,0.0,5.0,3.0,0.3843930849339728
02-12,-15.264691562743716,-4.166605845602239,3.041805916935674,0.0,-1.7045483690977132,2.298852002683163,7.275408439458508,5.041759900395484,0.0,0.0,4.0,4.0,-0.34780195179708395
02-13,-11.838107089654502,-3.3506724305163487,3.041805916935674,0.0,-5.113637882487541,2.298852002683163,3.0338809156037505,2.350764284524269,0.0,0.0,4.0,4.0,-0.9577114282911534
02-14,-11.838107089654502,-0.7311923405355162,3.041805916935674,0.0,-9.0909077773081,2.298852002683163,3.0633310520058394,2.350764284524269,0.0,0.0,4.0,4.0,-1.0905453951349173
02-15,-11.838107089654502,0.7998923052548741,3.8322568161272845,0.0,-3.977277119626118,0.5780405451591923,3.0633310520058394,2.350764284524269,0.0,0.0,5.0,3.0,-0.5191099206209161
02-16,-11.838107089654502,0.7998923052548741,3.8322568161272845,0.0,-1.162795167754288,2.2727287505283913,3.0633310520058394,2.350764284524269,0.0,0.0,5.0,3.0,-0.0681929048968132
02-17,-12.187481632182404,0.7998923052548741,3.8322568161272845,0.0,-2.352942672430314,0.0,3.0633310520058394,1.7012097533532393,0.0,0.0,4.0,4.0,-0.5143734377871482
02-18,-12.187481632182404,1.5999454175097227,4.761859453024029,0.0,-0.5780331950683242,0.5780405451591923,3.5051617515876146,1.2372456023021023,0.0,0.0,5.0,3.0,-0.10832620576680671
02-19,-12.187481632182404,1.5999454175097227,5.357142450176873,0.0,-2.352942672430314,1.15607374022753,2.533138706996312,1.7183227084046127,0.0,0.0,5.0,3.0,-0.21758012812976682
