,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-20,0.0,-14.024391529249517,-21.53846929764635,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-6.375523493417107
01-21,0.0,-14.024391529249517,-21.53846929764635,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-6.375523493417107
01-22,0.0,-14.024391529249517,-21.53846929764635,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-6.375523493417107
01-23,0.0,-14.024391529249517,1.2499987892806848,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,1.0,9.0,-4.3038445764237405
01-24,0.0,-14.024391529249517,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-4.902329574936192
01-25,0.0,-14.024391529249517,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-4.902329574936192
01-26,0.0,-14.024391529249517,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-4.902329574936192
01-27,0.0,-14.024391529249517,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-4.902329574936192
01-28,0.0,-14.024391529249517,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-4.902329574936192
01-29,0.0,-18.902442969076034,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-5.345788796738603
01-30,0.0,-15.3846142994148,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-5.025986190405764
01-31,0.0,-23.41772118472001,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-5.756268634524418
02-01,0.0,-23.41772118472001,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-5.756268634524418
02-02,0.0,0.632910771622848,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,3.5714290465931358,0.0,0.0,2.0,8.0,-3.2451721797120556
02-03,0.0,13.924052065485734,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,3.5714290465931358,0.0,0.0,2.0,8.0,-2.0368866075427023
02-04,0.0,-6.3291077162284815,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,3.5714290465931358,-166.66667849298526,0.0,1.0,9.0,-19.029599177969928
02-05,0.0,-6.3291077162284815,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,3.5714290465931358,-166.66667849298526,0.0,1.0,9.0,-19.029599177969928
02-06,0.0,-6.3291077162284815,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,3.5714290465931358,-166.66667849298526,0.0,1.0,9.0,-19.029599177969928
02-07,0.0,-6.3291077162284815,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,3.5714290465931358,-166.66667849298526,0.0,1.0,9.0,-19.029599177969928
02-08,0.0,-6.3291077162284815,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,3.5714290465931358,-166.66667849298526,0.0,1.0,9.0,-19.029599177969928
02-09,0.0,-6.3291077162284815,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,3.5714290465931358,-166.66667849298526,0.0,1.0,9.0,-19.029599177969928
02-10,0.0,-6.3291077162284815,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,3.5714290465931358,-166.66667849298526,0.0,1.0,9.0,-19.029599177969928
02-11,0.0,-6.3291077162284815,-5.333336194356283,0.0,0.0,-34.56789760069231,0.0,0.0,3.5714290465931358,-166.66667849298526,0.0,1.0,9.0,-19.029599177969928
02-12,0.0,-6.3291077162284815,-5.333336194356283,0.0,0.0,0.0,0.0,0.0,3.5714290465931358,-166.66667849298526,0.0,1.0,9.0,-15.887063032452444
