,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs,close_ups,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
111,DDOG,Datadog Inc,85.81999969,TRUE,2019,,,,,,,,,,
112,DLEXF,Datalex PLC,$2.63 ,TRUE,,No data fetched for symbol DLEXF using YahooDailyReader,,,,,,,,,
113,DLEXY,Datalex PLC,$1.50 ,TRUE,,No data fetched for symbol DLEXY using YahooDailyReader,,,,,,,,,
114,DTLK,Datalink Corp,$11.24 ,TRUE,,'Date',,,,,,,,,
115,DLGCF,Datalogic SPA,12.25,TRUE,2015,,,,,,,,,,
116,DTMXF,DataMetrex AI Ltd,0.069600001,TRUE,2017,,,,,,,,,,
117,DIPGF,Datang International Power Generation Co Ltd,0.119999997,FALSE,2009,,1-Oct,15-Dec,4,7,4,7,30-Sep,14-Dec,2.913733185
118,DIPGY,Datang International Power Generation Co Ltd,2.480000019,FALSE,2010,,10-Feb,25-Apr,6,4,6,4,10-Feb,25-Apr,3.229892289
119,DTSS,Datasea Inc,1.879999995,TRUE,2018,,,,,,,,,,
120,DTTLF,Datatec Ltd,2.359999895,TRUE,2013,,,,,,,,,,
121,DTTLY,Datatec Ltd,$4.20 ,TRUE,,No data fetched for symbol DTTLY using YahooDailyReader,,,,,,,,,
122,DTRK,DATATRAK International Inc,5.860000134,FALSE,2009,,6-Apr,20-Jun,7,4,7,4,6-Apr,20-Jun,13.77701399
123,DWCH,Datawatch Corp,13.10000038,TRUE,2012,,,,,,,,,,
124,MSP,Datto Holding Corp,32.72000122,TRUE,2020,,,,,,,,,,
125,PLAY,Dave & Buster's Entertainment Inc,21.85000038,TRUE,2014,,,,,,,,,,
126,DVDCF,Davide Campari-Milano NV,11.40999985,TRUE,2011,,,,,,,,,,
127,DVDCY,Davide Campari-Milano NV,9.850000381,FALSE,2010,,19-May,2-Aug,6,4,6,4,19-May,2-Aug,11.20683566
128,DVCMY,Davide Campari-Milano NV,11.22999954,TRUE,2020,,,,,,,,,,
129,DVOO,Davidson Optronics Inc,$0.85 ,TRUE,,'Date',,,,,,,,,
130,DTEA,DAVIDsTEA Inc,1.169999957,TRUE,2015,,,,,,,,,,
131,DVFL,Davis Trust Financial Corp.,$22.19 ,TRUE,,No data fetched for symbol DVFL using YahooDailyReader,,,,,,,,,
132,DVA,DaVita Inc,110.5500031,FALSE,2009,,24-Dec,9-Mar,9,2,9,2,24-Dec,9-Mar,5.842176964
133,DWSN,Dawson Geophysical Co,1.779999971,FALSE,2009,,14-Nov,28-Jan,6,5,6,5,14-Nov,28-Jan,1.239598829
134,DWSGF,Dawson Gold Corp,$0.04 ,TRUE,,No data fetched for symbol DWSGF using YahooDailyReader,,,,,,,,,
135,^GDAXI,DAX 30,13076.71973,FALSE,2009,,25-Sep,9-Dec,6,5,6,5,25-Sep,9-Dec,4.769678182
136,DXR,Daxor Corp,14,FALSE,2009,,26-Jun,9-Sep,6,5,6,5,20-Dec,5-Mar,7.587749938
137,DBRM,Daybreak Oil & Gas Inc,0.0093,TRUE,2012,,,,,,,,,,
138,DMRR,Dayton & Michigan Railroad Co,43,TRUE,2012,,,,,,,,,,
139,DBMG,DBM Global Inc,60.25,FALSE,2009,,20-Sep,4-Dec,6,5,6,5,20-Sep,4-Dec,8.56380001
140,DBSDF,DBS Group Holdings Ltd,17.65999985,FALSE,2009,,14-Mar,28-May,6,5,6,5,22-Feb,7-May,5.086206452
141,DBSDY,DBS Group Holdings Ltd,71.30000305,FALSE,2009,,24-Sep,8-Dec,6,5,6,5,24-Sep,8-Dec,6.375183916
142,DBUB,DBUB Group Inc,0.75,FALSE,2009,,30-Dec,15-Mar,7,4,7,4,30-Dec,15-Mar,15.21412438
143,DBVT,DBV Technologies SA,2.480000019,TRUE,2014,,,,,,,,,,
144,DBVTF,DBV Technologies SA,4.159999847,TRUE,2014,,,,,,,,,,
145,DCBB,DCB Bancshares Inc,$25.25 ,TRUE,,No data fetched for symbol DCBB using YahooDailyReader,,,,,,,,,
146,DCBF,DCB Financial Corp,$18.04 ,TRUE,,'Date',,,,,,,,,
147,DCCPF,DCC PLC,67,TRUE,2012,,,,,,,,,,
148,DCCPY,DCC PLC,41.5,TRUE,2015,,,,,,,,,,
149,DCP,DCP Midstream LP,14.85999966,FALSE,2009,,14-Mar,28-May,6,5,4,7,10-Mar,24-May,10.11454125
150,DCT,DCT Industrial Trust Inc,39.5,TRUE,2020,,,,,,,,,,
151,DCWRF,DCW Ltd,$2.10 ,TRUE,,No data fetched for symbol DCWRF using YahooDailyReader,,,,,,,,,
152,DDLX,DD's Deluxe Rod Holder Inc,1.600000024,TRUE,2018,,,,,,,,,,
153,DDMX,DD3 Acquisition Corp,$9.10 ,TRUE,,No data fetched for symbol DDMX using YahooDailyReader,,,,,,,,,
154,DDDGY,DDD Group PLC,$0.01 ,TRUE,,'Date',,,,,,,,,
155,DGMLF,De Grey Mining Ltd,0.88499999,FALSE,2009,,31-Jan,15-Apr,2,8,2,8,31-Jan,15-Apr,12.92997884
156,DELRF,De La Rue PLC,2.150000095,FALSE,2009,,6-Apr,20-Jun,4,7,4,7,6-Apr,20-Jun,5.812462839
157,DLUEY,De La Rue PLC,6.090000153,TRUE,2015,,,,,,,,,,
158,DEMBF,DE Master Blenders 1753 NV,$16.80 ,TRUE,,No data fetched for symbol DEMBF using YahooDailyReader,,,,,,,,,
159,DELHF,De'Longhi SPA,32.90000153,TRUE,2015,,,,,,,,,,
160,MGQG,Deaf-Talk Inc,$0.02 ,TRUE,,No data fetched for symbol MGQG using YahooDailyReader,,,,,,,,,
161,DFODQ,Dean Foods Co,0.039999999,FALSE,2009,,13-Nov,27-Jan,5,6,5,6,14-Nov,28-Jan,7.048101494
162,DRCR,Dear Cashmere Holding Co,0.150000006,TRUE,2011,,,,,,,,,,
163,DEAR,Dearborn Bancorp Inc,0.01,TRUE,2012,,,,,,,,,,
164,DBHSF,Debenhams PLC,$0.03 ,TRUE,,No data fetched for symbol DBHSF using YahooDailyReader,,,,,,,,,
165,DBDIF,Debut Diamonds Inc,0.061000001,TRUE,2013,,,,,,,,,,
166,DECXF,Decade Resources Ltd,0.04992,TRUE,2012,,,,,,,,,,
167,DCHPF,Dechra Pharmaceuticals PLC,44.90000153,TRUE,2016,,,,,,,,,,
168,DPHAY,Dechra Pharmaceuticals PLC,$69.50 ,TRUE,,No data fetched for symbol DPHAY using YahooDailyReader,,,,,,,,,
169,DBCCF,Decibel Cannabis Co Inc,0.058400001,TRUE,2019,,,,,,,,,,
170,DCPH,Deciphera Pharmaceuticals Inc,65.08999634,TRUE,2017,,,,,,,,,,
171,DECN,Decision Diagnostics Corp,0.150000006,FALSE,2010,,24-Sep,8-Dec,6,4,6,4,24-Sep,8-Dec,-23.26830918
172,DPSI,DecisionPoint Systems Inc,2.349999905,TRUE,2012,,,,,,,,,,
173,DMFG,Decker Manufacturing Corp,46.00999832,FALSE,2010,,12-Apr,26-Jun,8,2,6,4,12-Apr,26-Jun,5.917477566
174,DECK,Deckers Outdoor Corp,251.1000061,FALSE,2009,,25-Sep,9-Dec,6,5,6,5,25-Sep,9-Dec,11.86914483
175,DKLRF,Decklar Resources Inc,0.261099994,TRUE,2020,,,,,,,,,,
176,DPDW,Deep Down Inc,0.400000006,FALSE,2009,,18-Feb,3-May,5,6,5,6,18-Feb,3-May,4.231396778
177,DGWR,Deep Green Waste & Recycling Inc,0.017200001,FALSE,2009,,24-Oct,7-Jan,7,4,7,4,24-Oct,7-Jan,25.2008674
178,DSSPF,Deep Sea Supply PLC,$0.12 ,TRUE,,No data fetched for symbol DSSPF using YahooDailyReader,,,,,,,,,
179,DWOG,Deep Well Oil & Gas Inc,0.02,FALSE,2009,,23-Jul,6-Oct,3,8,3,8,23-Jul,6-Oct,8.182972048
180,DYLLF,Deep Yellow Ltd,0.279000014,FALSE,2009,,29-Aug,12-Nov,4,7,4,7,29-Aug,12-Nov,25.14818171
181,JAUGF,Deep-South Resources Inc,0.083999999,FALSE,2010,,3-Jul,16-Sep,4,6,4,6,3-Jul,16-Sep,-37.73227274
182,MKTDF,DeepMarkit Corp,0.029999999,TRUE,2011,,,,,,,,,,
183,DEER,Deer Consumer Products Inc,0.0136,FALSE,2009,,20-May,3-Aug,3,8,3,8,20-May,3-Aug,-1.631110424
184,GODYF,Deer Horn Capital Inc,0.039999999,FALSE,2009,,27-Nov,10-Feb,7,4,7,4,27-Nov,10-Feb,-606.9461196
185,DVLY,Deer Valley Corp,0.349999994,FALSE,2009,,13-Apr,27-Jun,4,7,4,7,13-Apr,27-Jun,14.32518583
186,DE,Deere & Co,249.8300018,FALSE,1990,,28-Oct,11-Jan,20,10,20,10,26-Oct,9-Jan,8.226744819
187,DFHT,Deerfield Healthcare Technology Acquisitions Corp,10.19999981,TRUE,2020,,,,,,,,,,
188,DFMTF,Defense Metals Corp,0.13775,TRUE,2019,,,,,,,,,,
189,DTII,Defense Technologies International Corp,0.012,TRUE,2013,,,,,,,,,,
190,DNCVF,Defiance Silver Corp,0.629999995,TRUE,2012,,,,,,,,,,
191,DEGA,Dega Technology Inc,$0.03 ,TRUE,,'Date',,,,,,,,,
192,DEIX,DEI Holdings Inc,$4.51 ,TRUE,,'Date',,,,,,,,,
193,DNOVF,Deinove SA,4.019999981,TRUE,2019,,,,,,,,,,
194,DFRG,Del Frisco?s Restaurant Group Inc,$7.98 ,TRUE,,No data fetched for symbol DFRG using YahooDailyReader,,,,,,,,,
195,DMPLF,Del Monte Pacific Ltd,0.090000004,TRUE,2013,,,,,,,,,,
196,PDMXY,Del Monte Pacific Ltd,$2.82 ,TRUE,,No data fetched for symbol PDMXY using YahooDailyReader,,,,,,,,,
197,XXNCD,Del Taco Restaurant Properties I,$732.00 ,TRUE,,No data fetched for symbol XXNCD using YahooDailyReader,,,,,,,,,
198,XXNCB,Del Taco Restaurant Properties II,$240.00 ,TRUE,,'Date',,,,,,,,,
199,XXNCC,Del Taco Restaurant Properties III,$260.00 ,TRUE,,'Date',,,,,,,,,
200,TACO,Del Taco Restaurants Inc,8.350000381,TRUE,2014,,,,,,,,,,
201,DTOR,Del Toro Silver Corp,$0.06 ,TRUE,,'Date',,,,,,,,,
202,DLNO,Delanco Bancorp Inc,16.14999962,TRUE,2012,,,,,,,,,,
203,DBAI,Delaware Bancshares Inc,$16.76 ,TRUE,,'Date',,,,,,,,,
204,DEX,Delaware Enhanced Global Dividend & Income Fund,9.600000381,FALSE,2009,,28-Feb,13-May,10,1,8,3,19-Feb,4-May,2.013733658
205,VCF,Delaware Investments Colorado Municipal Income Fun,13.85999966,FALSE,2009,,20-Mar,3-Jun,6,5,6,5,25-Mar,8-Jun,2.586279692
206,DDF,"Delaware Investments Div & Income Fund, Inc",8.56000042,FALSE,2009,,30-Oct,13-Jan,10,1,6,5,29-Oct,12-Jan,4.397306864
207,VMM,"Delaware Investments MN Muni Inc Fund II, Inc",12.93999958,FALSE,2009,,24-Dec,9-Mar,10,1,9,2,24-Dec,9-Mar,3.96717232
208,VFL,Delaware Investments Natl Muni Income,12.60000038,FALSE,2009,,12-Jun,26-Aug,8,3,6,5,17-Jun,31-Aug,1.266348386
209,DCTH,Delcath Systems Inc,11.75,TRUE,2018,,,,,,,,,,
210,DCLMF,Delclima SpA,$4.95 ,TRUE,,No data fetched for symbol DCLMF using YahooDailyReader,,,,,,,,,
211,DKDRF,Delek Drilling LP,1.100000024,TRUE,2013,,,,,,,,,,
212,DGRLY,Delek Group Ltd,2.00999999,FALSE,2010,,29-Mar,12-Jun,5,5,5,5,26-Sep,10-Dec,3.940484556
213,DLKGF,Delek Group Ltd,18.25,FALSE,2010,,15-Nov,29-Jan,3,7,3,7,15-Nov,29-Jan,1.1034385
214,DKL,Delek Logistics Partners LP,26.71999931,TRUE,2012,,,,,,,,,,
215,DK,Delek US Holdings Inc,13.76000023,FALSE,2009,,11-Feb,26-Apr,7,4,7,4,12-Feb,27-Apr,9.235516402
216,PEFDF,Delfi Ltd,0.5,TRUE,2012,,,,,,,,,,
217,DEG,Delhaize Group SA,$28.11 ,TRUE,,'Date',,,,,,,,,
218,DHLYF,Delhaize Group SA,$110.50 ,TRUE,,'Date',,,,,,,,,
219,DWNX,Delhi Bank Corp,34.5,FALSE,2009,,21-Aug,4-Nov,8,3,8,3,21-Aug,4-Nov,1.782962153
220,DLVHF,Delivery Hero SE,119,TRUE,2018,,,,,,,,,,
221,DLRVF,Delivra Corp,$0.33 ,TRUE,,No data fetched for symbol DLRVF using YahooDailyReader,,,,,,,,,
222,DELL,Dell Technologies Inc,66.11000061,TRUE,2016,,,,,,,,,,
223,DVMT,Dell-VMWare Tracking Stock,80,TRUE,2016,,,,,,,,,,
224,DLMV,Delmarva Bancshares Inc,8.800000191,FALSE,2009,,19-Jul,2-Oct,5,4,5,4,4-Aug,18-Oct,1.84641863
225,DLHLY,Delong Holdings Ltd,$39.27 ,TRUE,,No data fetched for symbol DLHLY using YahooDailyReader,,,,,,,,,
226,DPGYF,Delphi Energy Corp,0.254999995,FALSE,2009,,9-Feb,24-Apr,4,7,4,7,9-Feb,24-Apr,10.08862682
227,DLPH,Delphi Technologies PLC,17.02000046,TRUE,2017,,,,,,,,,,
228,DPXCF,Delphx Capital Markets Inc,0.080219999,TRUE,2018,,,,,,,,,,
229,VRNDF,Delta 9 Cannabis Inc,0.43900001,TRUE,2017,,,,,,,,,,
230,DAL,Delta Air Lines Inc,36.45999908,FALSE,2009,,9-Oct,23-Dec,5,6,5,6,9-Oct,23-Dec,13.43314927
231,DLA,Delta Apparel Inc,17.94000053,FALSE,2009,,26-Aug,9-Nov,4,7,4,7,26-Aug,9-Nov,6.181323578
232,DLRWF,Delta Drone SA,0.025,TRUE,2015,,,,,,,,,,
233,DLEUF,Delta Electronics (Thailand) PCL,1.710000038,TRUE,2016,,,,,,,,,,
234,DLEGF,Delta Electronics (Thailand) PCL,3.788199902,TRUE,2020,,,,,,,,,,
235,DELTF,Delta Galil Industries Ltd,18.54999924,TRUE,2013,,,,,,,,,,
236,DELTY,Delta Galil Industries Ltd,29.99990082,FALSE,2009,,16-Feb,1-May,7,4,5,6,16-Mar,30-May,8.877815103
237,DLLLF,Delta Lloyd N.V,$5.91 ,TRUE,,No data fetched for symbol DLLLF using YahooDailyReader,,,,,,,,,
238,DLLLY,Delta Lloyd N.V,$2.90 ,TRUE,,No data fetched for symbol DLLLY using YahooDailyReader,,,,,,,,,
239,DEBC,Delta National Bancorp,$17.50 ,TRUE,,'Date',,,,,,,,,
240,DGAS,Delta Natural Gas Co Inc,$30.69 ,TRUE,,'Date',,,,,,,,,
241,GOLHF,Delta Resources Ltd,0.272899985,FALSE,2009,,12-Jul,25-Sep,6,5,6,5,12-Jul,25-Sep,9.650975741
242,DTXMF,Deltex Medical Group PLC,0.029999999,FALSE,2009,,18-Jul,1-Oct,0,8,0,8,18-Jul,1-Oct,8.095238013
243,DEL,Deltic Timber Corp,93.27999878,TRUE,2012,,,,,,,,,,
244,DTOOF,Delticom AG,$53.55 ,TRUE,,No data fetched for symbol DTOOF using YahooDailyReader,,,,,,,,,
