,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs
38,BBBK,Baker Boyer Bancorp,69.25,False,2009.0,,12-12,02-25,8.0,4.0
39,BKR,Baker Hughes Co,17.510000228881836,False,2009.0,,03-09,05-23,6.0,6.0
40,BKUH,"Bakhu Holdings, Corp.",5.25,True,2018.0,,,,,
41,BKFKF,Bakkafrost P/F,64.375,True,2015.0,,,,,
42,BKKVF,Bakkavor Group PLC,1.4094200134277344,True,2019.0,,,,,
43,BKKN,Bakken Resources Inc,$0.08 ,True,,No data fetched for symbol BKKN using YahooDailyReader,,,,
44,BWTX,Bakken Water Transfer Services Inc,0.009999999776482582,False,2009.0,,08-02,10-16,6.0,6.0
45,BLNC,Balance Labs Inc,0.625,True,2016.0,,,,,
46,BCPC,Balchem Corp,106.16999816894531,False,2009.0,,08-06,10-20,4.0,8.0
47,BAFBF,Balfour Beatty PLC,2.650000095367432,False,2010.0,,12-14,02-27,5.0,6.0
48,BAFYY,Balfour Beatty PLC,6.75600004196167,True,2012.0,,,,,
49,BCNN,Balincan USA Inc,0.20000000298023224,False,2009.0,,03-16,05-30,1.0,11.0
50,BLL,Ball Corp,94.4499969482422,False,2009.0,,01-07,03-22,10.0,2.0
51,BTN,Ballantyne Strong Inc,1.6100000143051147,False,2009.0,,11-20,02-03,7.0,5.0
52,BLDP,Ballard Power Systems Inc,16.170000076293945,False,2009.0,,12-10,02-23,10.0,2.0
53,BRSI,Ballistic Recovery Systems Inc,0.02850000001490116,False,2009.0,,12-28,03-13,9.0,3.0
54,BSPA,Ballston SpA Bancorp Inc,43.0,False,2009.0,,01-21,04-05,12.0,0.0
55,BLYQ,Bally Corp,0.5600000023841858,True,2018.0,,,,,
56,BLLY,Bally Total Fitness Holding Corp,$0.50 ,True,,No data fetched for symbol BLLY using YahooDailyReader,,,,
57,BALY,Ballys Corp,28.6299991607666,True,2020.0,,,,,
58,BALMF,Balmoral Resources Ltd,$0.58 ,True,,No data fetched for symbol BALMF using YahooDailyReader,,,,
59,BLHEF,Baloise Holding AG,139.0,True,2012.0,,,,,
60,BLHEY,Baloise Holding AG,14.380000114440918,False,2009.0,,07-01,09-14,3.0,9.0
61,RWWDF,Balsam Technologies Corp,13.039999961853027,False,2009.0,,01-02,03-17,4.0,8.0
62,BISA,Baltic International USA Inc,0.014499999582767487,True,2012.0,,,,,
63,BWPPF,Balwin Properties Limited,$0.16 ,True,,No data fetched for symbol BWPPF using YahooDailyReader,,,,
64,BYYLF,Balyo SA,1.2100000381469727,True,2018.0,,,,,
65,NPEZF,Bam Bam Resources Corp,0.7081000208854675,True,2018.0,,,,,
66,BSKZF,Bambuser AB,1.2000000476837158,True,2020.0,,,,,
67,BANC,Banc of California Inc,13.199999809265135,False,2009.0,,05-18,08-01,8.0,4.0
68,BNCDY,Banca Mediolanum,14.100000381469727,True,2016.0,,,,,
69,BNMDF,Banca Mediolanum,7.650000095367432,True,2014.0,,,,,
70,MDLAY,Banca Mediolanum,$13.80 ,True,,No data fetched for symbol MDLAY using YahooDailyReader,,,,
71,BMDPF,Banca Monte dei Paschi di Siena,1.2100000381469727,True,2012.0,,,,,
72,BMDPY,Banca Monte dei Paschi di Siena,0.6000000238418579,True,2014.0,,,,,
73,BPMLF,Banca Popolare di Milano BPM Bipiemme,$0.39 ,True,,'Date',,,,
74,BPMLY,Banca Popolare di Milano BPM Bipiemme,$2.42 ,True,,'Date',,,,
75,BAFI,BancAffiliated Inc,106.0,True,2012.0,,,,,
76,BANF,BancFirst Corp,52.02999877929688,False,2009.0,,05-20,08-03,7.0,5.0
77,BBAR,Banco BBVA Argentina SA,3.059999942779541,False,2009.0,,11-17,01-31,4.0,8.0
78,BBVXF,Banco Bilbao Vizcaya Argentaria Brasil SA,3.742500066757202,True,2012.0,,,,,
79,BBVA,Banco Bilbao Vizcaya Argentaria SA,3.714999914169312,False,2009.0,,08-20,11-03,7.0,5.0
80,BBVXF,Banco Bilbao Vizcaya Argentaria SA,3.742500066757202,True,2012.0,,,,,
81,BBSPY,Banco BPI SA,$2.65 ,True,,No data fetched for symbol BBSPY using YahooDailyReader,,,,
82,BNCZF,Banco BPM SpA,1.7091000080108643,True,2014.0,,,,,
83,BPSAY,Banco BPM SpA,$1.70 ,True,,No data fetched for symbol BPSAY using YahooDailyReader,,,,
84,BPCGY,Banco Comercial Portugues SA,$2.17 ,True,,No data fetched for symbol BPCGY using YahooDailyReader,,,,
85,BPCGF,Banco Comercial Portugues SA,0.10000000149011612,True,2012.0,,,,,
86,BDYVY,Banco Daycoval S.A.,$4.09 ,True,,No data fetched for symbol BDYVY using YahooDailyReader,,,,
87,BCH,Banco De Chile,18.5,False,2009.0,,01-28,04-12,7.0,5.0
88,BCCDF,Banco de Credito del Peru,$1.85 ,True,,'Date',,,,
89,BNDSF,Banco de Sabadell S.A,0.3700000047683716,False,2010.0,,07-31,10-14,3.0,8.0
90,BNDSY,Banco de Sabadell S.A,0.7160000205039978,True,2012.0,,,,,
91,BBAJF,Banco del Bajio SA,1.0,True,2019.0,,,,,
92,BDORY,Banco do Brasil SA BB Brasil,5.9724998474121085,False,2009.0,,05-20,08-03,6.0,6.0
93,BHPTY,Banco Hipotecario SA,$2.80 ,True,,No data fetched for symbol BHPTY using YahooDailyReader,,,,
94,BNZIF,Banco Invex SA Institucion De Banca Multiple-Invex,0.8234000205993652,True,2015.0,,,,,
95,BLX,Banco Latinoamericano de Comercio Exterior SA,13.960000038146973,False,2009.0,,09-01,11-15,6.0,6.0
96,BMA,Banco Macro SA,14.967700004577637,False,2009.0,,09-30,12-14,4.0,8.0
97,BCVMF,Banco Macro SA,$2.35 ,True,,No data fetched for symbol BCVMF using YahooDailyReader,,,,
98,BPATL,Banco Patagonia SA,$18.21 ,True,,No data fetched for symbol BPATL using YahooDailyReader,,,,
99,BPESF,Banco Popular Espanol SA,$0.04 ,True,,'Date',,,,
100,BSBR,Banco Santander (Brasil) SA,6.440000057220459,False,2009.0,,08-23,11-06,6.0,6.0
101,BSAC,Banco Santander Chile,17.729999542236328,False,2009.0,,05-22,08-05,8.0,4.0
102,BSMX,Banco Santander Mexico SA,4.650000095367432,True,2012.0,,,,,
103,BMEXF,Banco Santander Mexico SA,0.6187700033187866,True,2013.0,,,,,
104,BRPBF,Banco Santander Rio SA,2.2899999618530273,True,2019.0,,,,,
105,SAN,Banco Santander SA,2.6600000858306885,False,2009.0,,11-20,02-03,7.0,5.0
106,BCDRF,Banco Santander SA,2.815000057220459,False,2009.0,,11-24,02-07,6.0,6.0
107,CIB,BanColombia SA,29.28000068664551,False,2009.0,,02-17,05-02,6.0,6.0
108,BCTF,Bancorp 34 Inc,10.75,False,2009.0,,09-18,12-02,7.0,5.0
109,BKJ,Bancorp of New Jersey Inc,$17.89 ,True,,No data fetched for symbol BKJ using YahooDailyReader,,,,
110,BCSO,Bancorp Southern Indiana,42.0,True,2012.0,,,,,
111,BXS,BancorpSouth Bank,26.399999618530273,False,2009.0,,10-18,01-01,6.0,6.0
112,BCV,Bancroft Fund Ltd,26.59000015258789,False,2009.0,,12-09,02-22,9.0,3.0
113,NCBDF,BANDAI NAMCO Holdings Inc,73.5199966430664,False,2009.0,,06-06,08-20,4.0,8.0
114,NCBDY,BANDAI NAMCO Holdings Inc,36.720001220703125,True,2019.0,,,,,
115,BANAF,Bandanna Energy Ltd,$0.10 ,True,,No data fetched for symbol BANAF using YahooDailyReader,,,,
116,BAND,Bandwidth Inc,145.51499938964844,True,2017.0,,,,,
117,BGOUF,Bang & Olufsen A/S,2.994999885559082,False,2009.0,,01-08,03-23,6.0,5.0
118,BXNG,Bang Holdings Corp,0.4009999930858612,True,2016.0,,,,,
119,BFGX,Bangfu Technology Group Co Ltd,6,True,2020.0,,,,,
120,BKKLF,Bangkok Bank PCL,6.550000190734863,True,2012.0,,,,,
121,BKKLY,Bangkok Bank PCL,18.360000610351562,True,2012.0,,,,,
122,BKKPF,Bangkok Bank PCL,3.0199999809265137,False,2009.0,,06-29,09-12,8.0,4.0
123,BKKLF,Bangkok Bank PCL,6.550000190734863,True,2012.0,,,,,
124,BKKCF,Bangkok Chain Hospital PLC,9.420000076293945,True,2020.0,,,,,
125,BDULF,Bangkok Dusit Medical Services PCL,0.6399999856948853,False,2009.0,,10-06,12-20,8.0,4.0
126,BDUUF,Bangkok Dusit Medical Services PCL,0.6000000238418579,False,2010.0,,03-25,06-08,6.0,5.0
127,BDUUY,Bangkok Dusit Medical Services PCL,23.25,True,2013.0,,,,,
128,BKENF,Bangkok Expressway PLC,$1.10 ,True,,No data fetched for symbol BKENF using YahooDailyReader,,,,
129,BGLAF,Bangkok Life Assurance PCL,$0.40 ,True,,No data fetched for symbol BGLAF using YahooDailyReader,,,,
130,BGOPF,Bango PLC,$1.24 ,True,,No data fetched for symbol BGOPF using YahooDailyReader,,,,
131,BQAZF,Bank Audi SAL,6.889999866485596,True,2013.0,,,,,
132,BBD,Bank Bradesco SA,4.360099792480469,False,2009.0,,08-12,10-26,6.0,6.0
133,BBDO,Bank Bradesco SA,3.9100000858306885,True,2012.0,,,,,
134,PBDIF,Bank Danamon Indonesia Tbk,0.3100000023841858,True,2019.0,,,,,
135,BFTL,Bank Fincastle VA,2.299999952316284,True,2016.0,,,,,
136,BFC,Bank First Corp,65.34999847412111,False,2009.0,,03-15,05-29,8.0,4.0
137,BKHPF,Bank Hapoalim BM,5.806399822235107,True,2012.0,,,,,
138,BKHYY,Bank Hapoalim BM,31.399999618530273,False,2009.0,,05-26,08-09,5.0,7.0
139,BKSNF,Bank J Safra Sarasin Ltd,$27.35 ,True,,No data fetched for symbol BKSNF using YahooDailyReader,,,,
140,BLMIF,Bank Leumi Le-Israel BM,4.800000190734863,True,2012.0,,,,,
141,BKMU,Bank Mutual Corp,$10.40 ,True,,'Date',,,,
142,PTBRY,Bank Negara Indonesia (Persero) Tbk,9.399999618530273,True,2014.0,,,,,
143,PBNNF,Bank Negara Indonesia (Persero) Tbk,0.23000000417232513,True,2018.0,,,,,
144,AOCN,Bank Ocean City,$0.01 ,True,,No data fetched for symbol AOCN using YahooDailyReader,,,,
145,BARK,Bank of Akron,130.0,True,2012.0,,,,,
146,BAC,Bank of America Corp,26.97500038146973,False,2009.0,,11-04,01-18,8.0,4.0
147,BKAHF,Bank Of Ayudhya PCL,0.6100000143051147,False,2010.0,,04-11,06-25,6.0,5.0
148,BKAYY,Bank Of Ayudhya PCL,14.329999923706055,True,2014.0,,,,,
149,BORT,Bank of Botetourt Buchanan VA,24.0,False,2009.0,,12-14,02-27,9.0,3.0
150,BACHF,Bank Of China Ltd,0.3700000047683716,False,2009.0,,05-18,08-01,6.0,6.0
151,BACHY,Bank Of China Ltd,8.720000267028809,False,2009.0,,09-26,12-10,6.0,6.0
152,BOCH,Bank of Commerce Holdings Inc,9.125,False,2009.0,,10-23,01-06,5.0,7.0
153,BCMXY,Bank of Communications Co Ltd,12.979999542236328,True,2012.0,,,,,
154,BKFCF,Bank of Communications Co Ltd,0.5,False,2010.0,,05-04,07-18,2.0,9.0
155,BKCYF,Bank of Cyprus Holdings PLC,0.699999988079071,True,2017.0,,,,,
156,BACPY,Bank of Cyprus Public Company Ltd,$25.10 ,True,,No data fetched for symbol BACPY using YahooDailyReader,,,,
157,BKEAF,Bank of East Asia Ltd,1.9600000381469729,False,2009.0,,02-22,05-07,8.0,4.0
158,BKEAY,Bank of East Asia Ltd,2.0,False,2009.0,,03-24,06-07,8.0,4.0
159,BDGSF,Bank of Georgia Group PLC,10.767999649047852,True,2016.0,,,,,
160,BOH,Bank of Hawaii Corp,73.44999694824219,False,2009.0,,10-14,12-28,7.0,5.0
161,BOID,Bank Of Idaho Holding Co,18.530000686645508,True,2019.0,,,,,
162,ILDBY,Bank of Ireland Group PLC,$13.30 ,True,,No data fetched for symbol ILDBY using YahooDailyReader,,,,
163,BKRIF,Bank of Ireland Group PLC,2.809999942779541,False,2009.0,,07-03,09-16,5.0,6.0
164,BKRIY,Bank of Ireland Group PLC,2.890000104904175,True,2018.0,,,,,
165,BKIWF,Bank of Iwate Ltd,40.0,True,2019.0,,,,,
166,BOFKF,Bank of Kyoto Ltd,27.388900756835938,True,2012.0,,,,,
167,BHDB,Bank of Labor Bancshares Inc,40.75,True,2012.0,,,,,
168,BMRC,Bank of Marin Bancorp,33.509998321533196,False,2009.0,,09-22,12-06,7.0,5.0
169,BMO,Bank of Montreal,66.26000213623047,False,2009.0,,08-06,10-20,7.0,5.0
170,NTB,Bank of N.T Butterfield & Son Ltd,31.514999389648438,True,2016.0,,,,,
171,BNNP,Bank of Napa NA,$20.65 ,True,,'Date',,,,
172,BK,Bank of New York Mellon Corp,38.38000106811523,False,2009.0,,10-17,12-31,7.0,5.0
173,BNS,Bank of Nova Scotia,46.2400016784668,False,2009.0,,08-22,11-05,7.0,5.0
174,BKQNF,Bank of Queensland Ltd,3.950000047683716,True,2012.0,,,,,
175,BKQNY,Bank of Queensland Ltd,8.880000114440918,True,2012.0,,,,,
176,BSFO,Bank of San Francisco New,19.600000381469727,True,2018.0,,,,,
177,BSCA,Bank Of Santa Clarita Ca,10.0,False,2009.0,,03-21,06-04,9.0,3.0
178,BKSC,Bank of South Carolina Corp,16.475000381469727,False,2009.0,,08-25,11-08,7.0,5.0
179,BOTJ,Bank of the James Financial Group Inc,10.789999961853027,False,2009.0,,11-25,02-08,6.0,6.0
180,BPHLF,Bank of The Philippine Islands,1.840000033378601,True,2013.0,,,,,
181,BPHLY,Bank of The Philippine Islands,31.459999084472656,True,2013.0,,,,,
182,BKUT,Bank Of Utica (ny),600.0,False,2009.0,,10-19,01-02,6.0,6.0
183,BKUTK,Bank Of Utica (ny),392.0499877929688,False,2009.0,,12-17,03-02,9.0,3.0
184,OZK,Bank OZK,28.20000076293945,False,2009.0,,10-19,01-02,8.0,4.0
185,PBPJF,Bank Pan Indonesia Tbk,0.05000000074505806,True,2019.0,,,,,
186,PXBBF,Bank Permata Tbk,0.10999999940395355,True,2013.0,,,,,
187,PKSKY,Bank Polska Kasa Opieki SA,$16.45 ,True,,'Date',,,,
188,PKSVF,Bank Polska Kasa Opieki SA,12.020000457763672,True,2012.0,,,,,
189,BKPKF,Bank Polska Kasa Opieki SA,12.803899765014648,True,2013.0,,,,,
190,BKRKF,Bank Rakyat Indonesia (Persero) Tbk,0.30000001192092896,False,2010.0,,04-03,06-17,4.0,7.0
191,BKRKY,Bank Rakyat Indonesia (Persero) Tbk,14.069999694824219,True,2011.0,,,,,
192,BKRL,Bank Reale,5.010000228881836,True,2012.0,,,,,
193,BSSC,Bank Southside VA Corp,222.0,True,2013.0,,,,,
194,BSVN,Bank7 Corp,11.220000267028809,True,2018.0,,,,,
195,BNKJF,Bankers Petroleum Ltd,$1.68 ,True,,'Date',,,,
196,BFIN,BankFinancial Corp,8.114999771118164,False,2009.0,,10-25,01-08,6.0,6.0
197,BFCC,BankFirst Capital Corp,20.0,True,2019.0,,,,,
198,BKGM,BankGuam Holding Co,8.0,True,2012.0,,,,,
199,BNKXF,Bankia SA,1.4199999570846558,True,2012.0,,,,,
200,BNKXY,Bankia SA,13.300000190734863,True,2018.0,,,,,
201,BKIMF,Bankinter SA,4.690000057220459,True,2012.0,,,,,
202,BKNIY,Bankinter SA,4.710000038146973,False,2009.0,,08-10,10-24,5.0,7.0
203,RATE,Bankrate Inc,$14.00 ,True,,'Date',,,,
204,BKFY,Bankshares Fayetteville Inc,$50.00 ,True,,'Date',,,,
205,BKU,BankUnited Inc,28.469100952148438,True,2011.0,,,,,
206,BWFG,Bankwell Financial Group Inc,17.25,False,2010.0,,12-08,02-21,5.0,6.0
207,BANR,Banner Corp,43.209999084472656,False,2009.0,,09-03,11-17,8.0,4.0
208,BANM,Banner Energy SVCS Corp,0.28999999165534973,True,2015.0,,,,,
209,BNNLF,Bannerman Resources Ltd,0.03099999949336052,False,2009.0,,11-06,01-20,4.0,8.0
210,CMHZ,Banny Cosmic International Holdings Inc,0.008000000379979609,False,2009.0,,03-15,05-29,6.0,6.0
211,BAPUF,Banpu PCL,$0.45 ,True,,No data fetched for symbol BAPUF using YahooDailyReader,,,,
212,BNPJF,Banpu PCL,$0.96 ,True,,No data fetched for symbol BNPJF using YahooDailyReader,,,,
213,BNPJY,Banpu PCL,4.460000038146973,True,2018.0,,,,,
214,BQCNF,Banque Cantonale Vaudoise,104.0,True,2017.0,,,,,
215,BQNBF,Banque Nationale de Belgique SA,"$3,000.00 ",True,,No data fetched for symbol BQNBF using YahooDailyReader,,,,
216,BRGGF,Banregio Grupo Financiero SAB de CV,0.551800012588501,True,2018.0,,,,,
217,BAA,Banro Corp,$0.11 ,True,,'Date',,,,
218,BYAGF,Banyan Gold Corp,0.216389998793602,True,2017.0,,,,,
219,BYNEF,Banyan Tree Holdings Ltd,0.1599999964237213,False,2009.0,,03-23,06-06,3.0,9.0
220,BZUN,Baozun Inc,41.43000030517578,True,2015.0,,,,,
221,BHB,Bar Harbor Bankshares Inc,23.239999771118164,False,2009.0,,02-12,04-27,7.0,5.0
222,BAOB,Baraboo Bancorp Inc,3.009999990463257,False,2009.0,,04-06,06-20,4.0,8.0
223,BRANF,Baran Group Ltd,1.5,False,2009.0,,09-17,12-01,1.0,10.0
224,BCS,Barclays PLC,7.0349998474121085,False,2009.0,,12-11,02-24,7.0,5.0
225,BCLYF,Barclays PLC,1.7300000190734863,False,2009.0,,12-10,02-23,7.0,5.0
226,BCNAF,Barco NV,17.6200008392334,False,2010.0,,03-29,06-12,5.0,6.0
227,BCNAY,Barco NV,13.40999984741211,True,2016.0,,,,,
228,BRMT,Bare Metal Standard Inc,0.3499999940395355,True,2017.0,,,,,
229,BRFH,Barfresh Food Group Inc,0.20499999821186066,True,2012.0,,,,,
230,BBDC,Barings BDC Inc,8.414999961853027,False,2009.0,,05-09,07-23,8.0,4.0
231,MCI,Barings Corporate Investors,13.404999732971193,False,2009.0,,06-12,08-26,6.0,6.0
232,BGH,Barings Global Short Duration High Yield Fund,13.744999885559082,True,2012.0,,,,,
233,MPV,Barings Participation Investors,12.18000030517578,False,2009.0,,04-03,06-17,7.0,5.0
234,BHAC,Barington/Hilco Acquisition Corp,$10.90 ,True,,No data fetched for symbol BHAC using YahooDailyReader,,,,
235,BCCI,Baristas Coffee Co Inc,0.016899999231100082,True,2012.0,,,,,
236,BPTNF,Barito Pacific Tbk,$0.12 ,True,,'Date',,,,
237,BKMNF,Barker Minerals Ltd,0.011500000022351742,True,2018.0,,,,,
238,BGMZF,Barkerville Gold Mines Ltd,$0.30 ,True,,No data fetched for symbol BGMZF using YahooDailyReader,,,,
239,BRKCF,Barksdale Resources Corp,0.536899983882904,True,2016.0,,,,,
240,BRRAF,Barloworld Ltd,8.300000190734863,True,2012.0,,,,,
241,BRRAY,Barloworld Ltd,3.920000076293945,False,2009.0,,01-21,04-05,6.0,6.0
242,BNED,Barnes & Noble Education Inc,3.549999952316284,True,2015.0,,,,,
243,BKS,Barnes & Noble Inc,$6.49 ,True,,No data fetched for symbol BKS using YahooDailyReader,,,,
244,B,Barnes Group Inc,44.0,False,2009.0,,12-11,02-24,8.0,4.0
245,BRN,Barnwell Industries Inc,1.017300009727478,False,2009.0,,08-11,10-25,3.0,9.0
246,RNGTF,Barolo Ventures Corp,0.005499999970197678,True,2012.0,,,,,
247,BDEYF,Baron de Ley SA,$97.00 ,True,,'Date',,,,
248,BROE,Baron Energy Inc,0.005100000184029341,False,2009.0,,12-31,03-16,8.0,4.0
249,GDOLF,Baron Oil PLC,$0.03 ,True,,No data fetched for symbol GDOLF using YahooDailyReader,,,,
250,BARX,Barotex Technology Corp,$0.03 ,True,,No data fetched for symbol BARX using YahooDailyReader,,,,
251,BRYGF,Baroyeca Gold & Silver Inc,0.17249000072479248,True,2018.0,,,,,
252,BRCSF,Barra Resources Ltd,0.009999999776482582,True,2019.0,,,,,
253,CUDA,Barracuda Networks Inc,27.540000915527344,True,2013.0,,,,,
254,BTDPF,Barratt Developments PLC,6.73199987411499,True,2012.0,,,,,
255,BTDPY,Barratt Developments PLC,16.334999084472656,True,2016.0,,,,,
256,BBSI,Barrett Business Services Inc,69.98999786376953,False,2009.0,,05-20,08-03,5.0,7.0
257,GOLD,Barrick Gold Corp,26.024999618530273,False,2009.0,,12-21,03-06,5.0,7.0
258,BYCBF,Barry Callebaut AG,2158.0,False,2010.0,,04-09,06-23,9.0,2.0
259,BRRLY,Barry Callebaut AG,22.0,True,2018.0,,,,,
260,BRSLF,Barsele Minerals Corp,0.5525000095367432,True,2015.0,,,,,
261,EAIAF,Baru Gold Corp,0.1120000034570694,False,2009.0,,12-26,03-11,7.0,5.0
262,BASA,Basanite Inc,0.5099999904632568,True,2013.0,,,,,
263,BAINF,BASE Inc,31.435800552368164,True,2020.0,,,,,
264,BSRUF,Base Resources Ltd,0.19890999794006348,True,2017.0,,,,,
265,BSENF,Baselode Energy Corp,0.33889999985694885,True,2020.0,,,,,
266,BASFY,Basf SE,16.530000686645508,False,2009.0,,09-01,11-15,7.0,5.0
267,BFFAF,Basf SE,65.05000305175781,False,2010.0,,04-01,06-15,7.0,4.0
268,BHNFF,Bashneft PJSOC,$27.10 ,True,,No data fetched for symbol BHNFF using YahooDailyReader,,,,
269,BASX,Basic Energy Services Inc,0.1462000012397766,True,2019.0,,,,,
270,BSFFF,Basic-Fit NV,28.649999618530273,True,2018.0,,,,,
271,BPMUF,Basilea Pharmaceutica Ltd,54.0,True,2015.0,,,,,
272,BSLAF,Basler AG,$48.50 ,True,,No data fetched for symbol BSLAF using YahooDailyReader,,,,
273,BSSRF,Bassari Resources Ltd,0.004999999888241291,True,2019.0,,,,,
274,BSET,Bassett Furniture Industries Inc,14.739999771118164,False,2009.0,,09-18,12-02,7.0,5.0
275,BOYJF,Basware Oyj,41.0099983215332,True,2014.0,,,,,
276,BELDF,Batero Gold Corp,0.0689999982714653,False,2010.0,,11-17,01-31,4.0,7.0
277,BTURF,Bathurst Resources Ltd,0.035999998450279236,True,2017.0,,,,,
278,BTAVF,BATM Advanced Communications Ltd,1.2365000247955322,False,2010.0,,02-23,05-08,3.0,8.0
279,BATL,Battalion Oil Corp,7.499899864196777,True,2019.0,,,,,
280,BTRYF,Battery Minerals Ltd,0.020400000736117363,True,2020.0,,,,,
281,BMTNF,Battle Mountain Gold Inc,$0.42 ,True,,No data fetched for symbol BMTNF using YahooDailyReader,,,,
282,BNAUF,Battle North Gold Corp,1.5281000137329102,False,2009.0,,06-30,09-13,1.0,11.0
283,BXRX,Baudax Bio Inc,1.090000033378601,True,2019.0,,,,,
284,BRAGF,Bauer AG,16.979999542236328,True,2013.0,,,,,
285,BHC,Bausch Health Companies Inc,19.309999465942386,False,2009.0,,11-17,01-31,7.0,5.0
286,BVIKF,BAVARIA Industries Group AG,$35.74 ,True,,No data fetched for symbol BVIKF using YahooDailyReader,,,,
287,BVNKF,Bavarian Nordic A/S,33.5,False,2010.0,,12-29,03-14,8.0,3.0
288,BVNRY,Bavarian Nordic A/S,9.6850004196167,True,2013.0,,,,,
289,BWAGF,Bawag Group AG,35.0,True,2018.0,,,,,
290,BXLT,Baxalta Inc,$46.02 ,True,,'Date',,,,
291,BAX,Baxter International Inc,81.83999633789062,False,2009.0,,05-13,07-27,7.0,5.0
292,CHPMF,Bay Area Gold Group Ltd,$0.01 ,True,,No data fetched for symbol CHPMF using YahooDailyReader,,,,
293,BYBK,Bay Bancorp Inc,13.300000190734863,True,2012.0,,,,,
294,BAYK,Bay Banks of Virginia Inc,7.269899845123291,False,2009.0,,12-17,03-02,8.0,4.0
295,BCML,BayCom Corp,13.5600004196167,False,2009.0,,03-31,06-14,7.0,5.0
296,BAYRY,Bayer AG,14.119999885559082,False,2009.0,,11-16,01-30,6.0,6.0
297,BAYZF,Bayer AG,56.35100173950195,False,2009.0,,11-16,01-30,6.0,6.0
298,BAMXF,Bayerische Motoren Werke AG,83.98999786376953,False,2009.0,,10-02,12-16,4.0,8.0
299,BMWYY,Bayerische Motoren Werke AG,27.88500022888184,False,2009.0,,09-25,12-09,5.0,7.0
300,BYMOF,Bayerische Motoren Werke AG,61.0,True,2012.0,,,,,
